"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"359","Magnus Paajarvi","STL","L","32","388.98333333333","8","5","3","2","13","65.00","51","15.69","81","63","51","31","3","3","6","3","3","0","0","5","0","11","29","39","16","1","2","33.33"
"109","Marc Methot","OTT","D","68","1347.75","0","12","5","7","12","21.82","69","0.00","113","80","41","9","2","3","24","12","12","0","0","10","38","11","164","67","77","0","0","-"
"162","Marc Staal","NYR","D","72","1380.7","3","7","4","3","10","17.54","70","4.29","146","104","39","14","3","7","34","17","17","0","0","11","47","22","89","91","97","0","1","0.00"
"169","Marc-Edouard Vlasic","S.J","D","75","1592.5833333333","6","22","14","8","28","40.58","144","4.17","317","214","76","7","5","14","35","12","10","1","1","12","62","23","18","104","146","0","0","-"
"312","Marco Scandella","MIN","D","71","1302.0333333333","4","9","4","5","13","24.07","88","4.55","200","123","39","7","2","12","25","11","10","1","0","8","36","28","50","88","85","0","0","-"
"382","Marcus Foligno","BUF","L","80","1237.7333333333","13","10","4","6","23","56.10","97","13.40","175","139","92","55","13","8","73","23","14","9","0","31","35","33","279","90","57","1","4","20.00"
"344","Marcus Johansson","WSH","L","82","1393.5","24","34","18","16","58","58.59","129","18.60","220","165","135","57","4","15","10","5","5","0","0","17","48","40","32","109","22","13","15","46.43"
"405","Marcus Kruger","CHI","C","70","981.43333333333","5","12","4","8","17","51.52","83","6.02","125","105","69","36","3","5","34","17","17","0","0","8","10","24","31","101","62","357","370","49.11"
"471","Marcus Sorensen","S.J","R","19","205.46666666667","1","3","1","2","4","80.00","27","3.70","43","32","26","17","3","5","4","2","2","0","0","3","11","9","15","25","6","3","1","75.00"
"483","Marek Hrivik","NYR","L","16","166.71666666667","0","2","1","1","2","50.00","15","0.00","28","24","15","11","1","0","2","1","1","0","0","2","2","5","19","24","5","32","48","40.00"
"27","Marian Gaborik","L.A","R","56","828.21666666667","10","11","9","2","21","58.33","123","8.13","216","169","145","51","10","17","18","9","9","0","0","5","24","7","21","35","15","0","1","0.00"
"10","Marian Hossa","CHI","R","73","1230.6","26","19","11","8","45","78.95","167","15.57","303","226","162","49","9","13","8","4","4","0","0","11","29","47","32","66","36","5","9","35.71"
"330","Mark Barberio","COL, MTL","D","60","1095.6666666667","2","11","6","5","13","31.71","80","2.50","198","129","45","8","1","8","14","7","7","0","0","4","33","16","20","62","55","0","0","-"
"325","Mark Borowiecki","OTT","D","70","980.75","1","2","2","0","3","12.50","50","2.00","115","74","28","3","4","6","154","48","32","14","2","34","18","6","364","137","90","1","0","100.00"
"186","Mark Fayne","EDM","D","4","31.666666666667","0","2","2","0","2","100.00","4","0.00","7","7","1","0","0","1","0","0","0","0","0","0","2","0","1","6","2","0","0","-"
"119","Mark Giordano","CGY","D","81","1910.1666666667","12","27","12","15","39","37.86","151","7.95","373","229","95","9","4","19","59","28","27","1","0","15","43","45","78","94","184","0","0","-"
"618","Mark Jankowski","CGY","C","1","10.3","0","0","0","0","0","-","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","5","3","62.50"
"234","Mark Letestu","EDM","C","78","1110.5","16","19","12","7","35","55.56","121","13.22","223","166","137","53","4","16","17","7","6","1","0","7","24","24","71","31","34","452","444","50.45"
"576","Mark McNeill","DAL","C","1","13.816666666667","0","0","0","0","0","-","1","0.00","1","1","1","1","0","0","0","0","0","0","0","0","1","0","0","3","1","0","2","0.00"
"461","Mark Pysyk","FLA","D","82","1521.9833333333","4","13","3","10","17","33.33","86","4.65","172","124","39","8","2","6","10","5","5","0","0","5","36","31","72","77","99","0","1","0.00"
"565","Mark Scheifele","WPG","C","79","1624.1166666667","32","50","26","24","82","68.91","160","20.00","278","217","204","99","8","14","38","19","19","0","0","31","42","67","49","152","34","635","826","43.46"
"482","Mark Stone","OTT","R","71","1317.8666666667","22","32","17","15","54","62.07","134","16.42","229","188","144","70","6","15","25","11","10","1","0","22","47","96","43","67","53","10","15","40.00"
"26","Mark Streit","PHI, PIT","D","68","1273.1","6","21","6","15","27","48.21","114","5.26","224","154","45","14","0","13","28","14","14","0","0","7","39","16","38","91","92","0","0","-"
"92","Mark Stuart","WPG","D","42","523.08333333333","2","2","1","1","4","23.53","24","8.33","52","33","9","1","1","3","27","11","10","1","0","7","23","3","68","36","79","0","0","-"
"708","Marko Dano","WPG","C","38","406.01666666667","4","7","3","4","11","73.33","44","9.09","77","66","57","33","6","7","10","5","5","0","0","9","10","18","83","39","14","1","3","25.00"
"549","Markus Granlund","VAN","C","69","1193.7333333333","19","13","8","5","32","66.67","122","15.57","220","174","144","69","5","12","14","7","7","0","0","14","18","33","32","61","11","40","61","39.60"
"850","Markus Hannikainen","CBJ","L","10","91.266666666667","1","1","0","1","2","50.00","8","12.50","14","11","6","4","0","1","6","3","3","0","0","1","0","0","16","14","5","0","0","-"
"861","Markus Nutivaara","CBJ","D","66","872.03333333333","2","5","1","4","7","21.88","66","3.03","134","90","40","9","0","6","6","3","3","0","0","2","20","9","36","57","38","0","0","-"
"648","Martin Frk","CAR","R","2","16.666666666667","0","0","0","0","0","-","1","0.00","3","2","0","0","0","0","0","0","0","0","0","1","1","0","3","2","1","0","0","-"
"163","Martin Hanzal","ARI, MIN","C","71","1258.1","20","19","12","7","39","65.00","169","11.83","272","227","160","101","9","24","53","25","24","1","0","27","30","31","145","70","58","767","593","56.40"
"421","Martin Marincin","TOR","D","25","451.18333333333","1","6","2","4","7","33.33","22","4.55","67","39","11","2","3","1","16","8","8","0","0","7","15","7","25","28","27","0","0","-"
"153","Mason Raymond","ANA","L","4","35.633333333333","0","0","0","0","0","-","3","0.00","5","4","1","0","0","0","0","0","0","0","0","0","1","0","3","0","0","0","1","0.00"
"835","Mathew Barzal","NYI","C","2","19.5","0","0","0","0","0","-","0","-","0","0","0","0","0","0","6","3","3","0","0","0","0","0","1","1","0","6","7","46.15"
"232","Mathieu Perreault","WPG","C","65","1058.75","13","32","18","14","45","60.00","134","9.70","218","184","142","75","4","13","30","15","15","0","0","21","20","33","97","39","26","97","92","51.32"
"418","Mats Zuccarello","NYR","C, R","80","1506.3","15","44","23","21","59","66.29","189","7.94","327","250","172","64","14","14","26","13","13","0","0","22","54","70","85","94","52","6","7","46.15"
"335","Matt Bartkowski","CGY","D","24","369.3","1","1","0","1","2","15.38","16","6.25","49","28","15","1","0","0","26","6","3","2","1","3","13","3","46","21","12","0","0","-"
"210","Matt Beleskey","BOS","L","49","650.01666666667","3","5","1","4","8","44.44","79","3.80","149","113","70","14","5","4","47","19","16","3","0","11","12","7","98","50","18","29","41","41.43"
"323","Matt Calvert","CBJ","L","65","867.56666666667","10","5","2","3","15","50.00","92","10.87","154","126","99","62","9","9","48","17","14","2","1","13","15","23","61","88","34","2","14","12.50"
"100","Matt Carle","NSH","D","6","78.866666666667","0","1","1","0","1","33.33","2","0.00","4","3","0","0","0","0","0","0","0","0","0","1","4","0","3","6","5","0","0","-"
"4","Matt Cullen","PIT","C","72","1002.1333333333","13","18","10","8","31","70.45","95","13.68","157","128","113","65","6","16","30","14","14","0","0","15","32","20","36","78","27","440","419","51.22"
"354","Matt Duchene","COL","C","77","1409.4166666667","18","23","14","9","41","75.93","160","11.25","275","227","175","89","11","18","12","6","6","0","0","15","46","60","42","71","41","687","411","62.57"
"610","Matt Dumba","MIN","D","76","1544.7666666667","11","23","10","13","34","36.96","131","8.40","292","180","75","17","3","7","59","24","22","1","1","14","43","18","96","91","71","0","0","-"
"66","Matt Greene","L.A","D","26","342.73333333333","1","1","0","1","2","22.22","14","7.14","50","24","5","0","0","3","19","8","7","1","0","2","17","3","71","34","27","0","0","-"
