"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"395","Patrice Cormier","WPG","C","2","8.9833333333333","12","3","80.00","8","2","80.00","6","1","85.71","0","0","-","3","1","75.00","2","1","66.67","0","0","-","1","0","100.00","0","0","-","6","1","85.71","0","0","-","0.00","100.00","1.000","4","1","0","8","100.00","5","3","1","83.33"
"883","Evan Rodrigues","BUF","L","2","23.5","34","12","73.91","27","10","72.97","18","6","75.00","2","0","100.00","16","7","69.57","3","4","42.86","0","0","-","13","3","81.25","1","0","100.00","17","3","85.00","1","0","100.00","11.11","100.00","1.111","4","1","2","25","66.67","11","2","7","61.11"
"504","Nic Dowd","L.A","C","5","52.883333333333","69","27","71.88","41","25","62.12","25","20","55.56","2","1","66.67","28","13","68.29","11","7","61.11","0","0","-","17","6","73.91","2","0","100.00","33","11","75.00","0","1","0.00","8.00","95.00","1.030","11","8","3","52","78.57","17","12","6","73.91"
"591","Michael Sgarbossa","ANA","C","1","8.35","10","4","71.43","6","2","75.00","4","2","66.67","0","0","-","2","1","66.67","0","1","0.00","0","0","-","2","0","100.00","0","0","-","5","1","83.33","0","0","-","0.00","100.00","1.000","0","1","0","12","-","1","3","0","100.00"
"704","Jeremy Welsh","STL","C","2","16.616666666667","17","7","70.83","12","7","63.16","9","4","69.23","0","0","-","11","2","84.62","3","1","75.00","0","0","-","8","1","88.89","0","0","-","5","4","55.56","0","0","-","0.00","100.00","1.000","1","3","6","16","14.29","5","6","8","38.46"
"805","Emile Poirier","CGY","L","2","27.783333333333","32","15","68.09","24","12","66.67","15","6","71.43","0","1","0.00","14","7","66.67","5","4","55.56","0","0","-","9","3","75.00","0","1","0.00","14","6","70.00","0","0","-","0.00","83.33","0.833","8","8","4","19","66.67","15","11","5","75.00"
"442","Chris Brown","WSH","R","1","7.6833333333333","6","3","66.67","4","2","66.67","3","1","75.00","0","0","-","4","1","80.00","2","0","100.00","0","0","-","2","1","66.67","0","0","-","1","2","33.33","0","0","-","0.00","100.00","1.000","0","4","2","5","0.00","0","5","2","0.00"
"49","Brad Boyes","TOR","R","60","718.21666666667","905","493","64.74","653","387","62.79","450","285","61.22","38","32","54.29","444","223","66.57","172","93","64.91","20","12","62.50","272","130","67.66","12","12","50.00","410","231","63.96","5","8","38.46","8.44","88.77","0.972","223","145","97","565","69.69","322","198","177","64.53"
"594","Mark Arcobello","TOR","R","20","253.55","331","187","63.90","248","145","63.10","173","121","58.84","13","11","54.17","153","90","62.96","63","43","59.43","10","4","71.43","90","47","65.69","1","3","25.00","156","77","66.95","2","4","33.33","7.51","90.91","0.984","114","58","32","191","78.08","159","72","65","70.98"
"12","Joe Thornton","S.J","C","82","1505.7166666667","1864","1054","63.88","1398","750","65.08","996","538","64.93","123","52","70.29","911","461","66.40","415","169","71.06","66","20","76.74","496","292","62.94","33","15","68.75","833","470","63.93","21","11","65.63","12.35","90.33","1.027","425","320","159","983","72.77","800","501","386","67.45"
"320","Eric Tangradi","DET","L","1","6.9166666666667","7","4","63.64","5","2","71.43","3","1","75.00","0","0","-","3","2","60.00","1","0","100.00","0","0","-","2","2","50.00","0","0","-","4","1","80.00","0","0","-","0.00","100.00","1.000","1","2","2","7","33.33","1","2","2","33.33"
"299","Mathieu Perreault","WPG","C","71","1174.9833333333","1415","810","63.60","1017","603","62.78","716","447","61.56","67","53","55.83","668","393","62.96","260","174","59.91","30","30","50.00","408","219","65.07","25","13","65.79","643","345","65.08","11","8","57.89","9.36","88.14","0.975","256","250","119","820","68.27","489","357","247","66.44"
"34","Pavel Datsyuk","DET","C","66","1297.2333333333","1469","842","63.57","1116","664","62.70","813","479","62.93","73","41","64.04","743","401","64.95","307","179","63.17","36","21","63.16","436","222","66.26","21","10","67.74","644","362","64.02","14","6","70.00","8.98","91.44","1.004","331","279","136","808","70.88","590","387","282","67.66"
"271","Milan Lucic","L.A","L","81","1396.2","1743","1000","63.54","1289","768","62.66","855","534","61.56","97","46","67.83","793","448","63.90","313","181","63.36","47","20","70.15","480","267","64.26","25","13","65.79","808","461","63.67","24","10","70.59","11.35","91.39","1.027","356","317","161","857","68.86","631","478","351","64.26"
"417","Luke Witkowski","T.B","D, R","4","28.516666666667","33","19","63.46","24","17","58.54","14","11","56.00","0","0","-","16","8","66.67","6","2","75.00","0","0","-","10","6","62.50","0","0","-","16","10","61.54","0","0","-","0.00","100.00","1.000","7","4","2","14","77.78","12","10","5","70.59"
"468","Tomas Tatar","DET","L","81","1162.45","1252","739","62.88","952","607","61.06","682","451","60.19","67","41","62.04","618","364","62.93","240","166","59.11","32","26","55.17","378","198","65.63","17","5","77.27","548","320","63.13","18","8","69.23","9.82","90.91","1.007","313","237","130","904","70.65","498","330","233","68.13"
"568","Teemu Pulkkinen","DET","L","36","416.41666666667","457","270","62.86","348","205","62.93","240","142","62.83","15","9","62.50","204","128","61.45","88","56","61.11","8","6","57.14","116","72","61.70","1","0","100.00","229","120","65.62","6","2","75.00","6.25","93.66","0.999","134","82","38","336","77.91","199","114","73","73.16"
"249","Patric Hornqvist","PIT","R","82","1381.6","1683","995","62.85","1238","730","62.91","925","553","62.58","89","42","67.94","847","408","67.49","366","180","67.03","44","26","62.86","481","228","67.84","30","8","78.95","717","482","59.80","13","7","65.00","9.62","92.41","1.020","409","359","195","905","67.72","735","503","382","65.80"
"26","Mike Ribeiro","NSH","C","81","1413.4166666667","1609","974","62.29","1196","739","61.81","875","573","60.43","86","50","63.24","742","451","62.20","282","163","63.37","43","27","61.43","460","288","61.50","24","14","63.16","747","410","64.56","19","6","76.00","9.83","91.27","1.011","431","297","11","984","97.51","709","400","93","88.40"
"407","Gustav Nyquist","DET","R","82","1243.9666666667","1324","806","62.16","987","648","60.37","717","487","59.55","67","46","59.29","669","393","62.99","257","166","60.76","35","27","56.45","412","227","64.48","21","8","72.41","565","359","61.15","9","8","52.94","9.34","90.55","0.999","344","278","139","868","71.22","552","388","254","68.49"
"147","Corey Potter","NSH","D","1","14.733333333333","18","11","62.07","12","9","57.14","7","8","46.67","0","0","-","7","6","53.85","2","4","33.33","0","0","-","5","2","71.43","0","0","-","10","3","76.92","0","0","-","0.00","100.00","1.000","2","1","2","14","50.00","4","3","2","66.67"
"855","William Nylander","TOR","C","22","359.43333333333","424","261","61.90","297","211","58.46","191","151","55.85","15","11","57.69","178","118","60.14","63","48","56.76","7","5","58.33","115","70","62.16","6","5","54.55","220","128","63.22","2","1","66.67","7.85","92.72","1.006","114","64","31","262","78.62","173","94","82","67.84"
"195","Kris Versteeg","CAR, L.A","R","77","1184.8666666667","1387","858","61.78","1015","653","60.85","696","449","60.79","52","39","57.14","653","393","62.43","282","178","61.30","35","20","63.64","371","215","63.31","7","13","35.00","640","394","61.90","10","4","71.43","7.47","91.31","0.988","276","279","127","877","68.49","481","387","256","65.26"
"168","Evgeni Malkin","PIT","C","57","1104.0166666667","1301","811","61.60","998","655","60.38","751","498","60.13","73","41","64.04","676","403","62.65","280","160","63.64","39","25","60.94","396","243","61.97","21","8","72.41","554","348","61.42","13","8","61.90","9.72","91.77","1.015","336","206","76","728","81.55","599","317","211","73.95"
"45","Marian Gaborik","L.A","R","54","807","922","575","61.59","720","418","63.27","501","299","62.63","36","31","53.73","437","261","62.61","176","105","62.63","18","12","60.00","261","156","62.59","11","9","55.00","433","259","62.57","7","8","46.67","7.19","89.63","0.968","193","152","122","580","61.27","348","230","217","61.59"
"63","Jason Spezza","DAL","C","75","1238.7666666667","1618","1010","61.57","1191","736","61.81","837","515","61.91","89","44","66.92","821","504","61.96","314","224","58.36","50","29","63.29","507","280","64.42","19","8","70.37","672","397","62.86","17","7","70.83","10.63","91.46","1.021","346","230","154","876","69.20","637","376","310","67.27"
"324","James van Riemsdyk","TOR","L","40","710.51666666667","905","565","61.56","671","443","60.23","451","315","58.88","40","27","59.70","465","252","64.85","183","81","69.32","23","7","76.67","282","171","62.25","11","11","50.00","387","282","57.85","4","8","33.33","8.87","91.43","1.003","246","161","82","504","75.00","373","230","152","71.05"
"765","Connor Brown","TOR","R","7","104.8","120","75","61.54","86","64","57.33","59","51","53.64","9","8","52.94","41","32","56.16","18","16","52.94","3","2","60.00","23","16","58.97","3","3","50.00","70","37","65.42","3","3","50.00","15.25","84.31","0.996","39","23","8","71","82.98","53","31","23","69.74"
"875","Pavel Zacha","N.J","C","1","16.85","16","10","61.54","15","8","65.22","14","7","66.67","4","0","100.00","14","3","82.35","5","1","83.33","2","0","100.00","9","2","81.82","1","0","100.00","1","7","12.50","0","0","-","28.57","100.00","1.286","2","3","2","14","50.00","7","5","4","63.64"
"167","Alex Ovechkin","WSH","L","79","1604.3666666667","1981","1239","61.52","1479","885","62.56","1053","616","63.09","122","49","71.35","929","547","62.94","343","202","62.94","64","24","72.73","586","345","62.94","40","17","70.18","932","579","61.68","16","5","76.19","11.59","92.05","1.036","359","358","169","822","67.99","721","525","407","63.92"
"358","Wayne Simmonds","PHI","R","81","1395.9666666667","1794","1126","61.44","1298","815","61.43","934","603","60.77","92","61","60.13","792","502","61.21","340","210","61.82","54","37","59.34","452","292","60.75","26","11","70.27","845","502","62.73","9","8","52.94","9.85","89.88","0.997","402","338","219","867","64.73","710","479","435","62.01"
"284","Phil Kessel","PIT","R","82","1507.2666666667","1786","1129","61.27","1344","878","60.49","1024","648","61.24","99","53","65.13","894","559","61.53","352","232","60.27","55","29","65.48","542","327","62.37","26","13","66.67","794","485","62.08","17","10","62.96","9.67","91.82","1.015","451","302","110","1015","80.39","793","439","286","73.49"
"86","PA Parenteau","TOR","R","77","1251.9333333333","1549","980","61.25","1133","777","59.32","765","568","57.39","66","49","57.39","738","445","62.38","303","169","64.19","41","28","59.42","435","276","61.18","14","12","53.85","712","467","60.39","8","6","57.14","8.63","91.37","1.000","415","273","151","868","73.32","632","367","323","66.18"
