Name;Last_Name;First_Name;Team;Age;Position;GP_13;GP_14;GP_15;GP_16;GP_17;GP_18;GP_var;GP_mean;G_13;G_14;G_15;G_16;G_17;G_18;A_13;A_14;A_15;A_16;A_17;A_18;PTS_13;PTS_14;PTS_15;PTS_16;PTS_17;PTS_18;PTS_var;PTS_mean;PAX_18;PTS/G_13;PTS/G_14;PTS/G_15;PTS/G_16;PTS/G_17;PTS/G_18;PTS/G_var;PTS/G_mean;$/PTS_13;$/PTS_14;$/PTS_15;$/PTS_16;$/PTS_17;$/PTS_18;Sh%_13;Sh%_14;Sh%_15;Sh%_16;Sh%_17;iSF_13;iSF_14;iSF_15;iSF_16;iSF_17;iSF_18;TOI/G_13;TOI/G_14;TOI/G_15;TOI/G_16;TOI/G_17;TOI/G_18;PPTOI/GP_17;PPTOI/GP_18;Sh%_18;ZS%_18;GC_18;SCF_18;GS/G_18;OWAR_18;OPS_18;PDO_17;PDO_18;iCF_17;iCF_18;iFF_17;iFF_18;Cap Cost_13;Cap Cost_14;Cap Cost_15;Cap Hit_16;Cap Hit_17;Cap Hit_18;Cap_Hit;END;Star;Score;POS;PTS
SIEMENSDUNCAN;Siemens;Duncan;COL;25.0;D;;;1.0;;3.0;16.0;44.22222222222221;6.666666666666667;;;0.0;;0.0;1.0;;;0.0;;0.0;1.0;;;0.0;;0.0;2.0;0.888888888888889;0.6666666666666666;2.0;;;0.0;;0.0;0.125;0.0034722222222222225;0.041666666666666664;;;182.9268292682927;;31980.182926829268;73170.73170731707;;;0.0;;0.0;;;0.0;;2.0;14.0;;;14.0;;12.32;12.32;0.0;0.0;0.049;0.226;0.8;76.0;0.15;0.16;0.1;900;0.03700000000000003;4.0;30.0;3.0;20.0;;;15000.0;;874125.0;750000.0;;;0.0588;1.7094575403309111;;
SKJEIBRADY;Skjei;Brady;NYR;24.0;D;;;;7.0;80.0;82.0;1217.5555555555554;56.333333333333336;;;;0.0;5.0;4.0;;;;0.0;34.0;21.0;;;;0.0;39.0;25.0;260.22222222222223;21.333333333333332;-11.8;;;;0.0;0.4875;0.3048780487804878;0.04043973907726882;0.2641260162601626;;;;78963.41463414635;23139.462163852408;37000.0;;;;0.0;0.113;;;;6.0;127.0;153.0;;;;17.7;17.47;21.03;1.43;1.2;0.069;0.5429999999999999;8.3;831.0;0.23;0.33;0.9;1031;0.02200000000000002;229.0;282.0;171.0;202.0;;;;925000.0;925000.0;925000.0;;;1.4875;3.9325942860609526;D;36.0
SLAVINJACCOB;Slavin;Jaccob;CAR;24.0;D;;;;63.0;82.0;82.0;80.22222222222223;75.66666666666667;;;;2.0;5.0;8.0;;;;18.0;29.0;22.0;;;;20.0;34.0;30.0;34.666666666666664;28.0;-0.5;;;;0.31746031746031744;0.4146341463414634;0.36585365853658536;0.0015738004967142322;0.3659827074461221;;;;28542.073170731706;21838.235294117647;24750.0;;;;0.024;0.095;;;;84.0;99.0;154.0;;;;21.0;23.43;22.59;0.97;0.61;0.084;0.409;10.4;839.0;0.65;-0.03;1.6;1007;0.04300000000000004;230.0;299.0;156.0;207.0;;;;743000.0;742500.0;742500.0;5300000.0;;2.5681;5.212818808863135;D;33.0
SMITHBRENDAN;Smith;Brendan;NYR;29.0;D;34.0;71.0;76.0;63.0;51.0;44.0;143.6;61.0;0.0;5.0;4.0;3.0;3.0;1.0;8.0;14.0;9.0;12.0;6.0;7.0;8.0;19.0;13.0;15.0;9.0;8.0;16.16;12.8;-2.1;0.23529411764705882;0.2676056338028169;0.17105263157894737;0.23809523809523808;0.17647058823529413;0.18181818181818182;0.0013608451404686485;0.21172273186292287;45350.60975609756;25633.82541720154;89973.73358348968;140853.65853658537;190040.65040650408;291768.29268292687;0.0;0.055999999999999994;0.045;0.037000000000000005;0.083;33.0;90.0;88.0;82.0;62.0;66.0;18.4;18.4;17.9;17.6;19.25;17.17;0.91;0.05;0.091;0.493;2.6;324.0;0.14;0.25;0.0;1000;0.01100000000000001;143.0;119.0;94.0;85.0;875000.0;562500.0;1262000.0;2750000.0;2750000.0;4350000.0;4350000.0;21.0;0.2478;3.059845848506453;;
SOUCYCARSON;Soucy;Carson;MIN;24.0;D;;;;;;3.0;0.0;3.0;;;;;;0.0;;;;;;0.0;;;;;;0.0;0.0;0.0;0.0;;;;;;0.0;0.0;0.0;;;;;;33841.46341463414;;;;;;;;;;;4.0;;;;;;14.84;;0.02;0.0;0.483;0.0;18.0;0.08;0.0;-0.1;;0.09099999999999997;;5.0;;4.0;;;;;;925000.0;925000.0;;0.0042;1.848958025937729;;
SPROULRYAN;Sproul;Ryan;NYR;26.0;D;;1.0;;;27.0;16.0;113.55555555555556;14.666666666666666;;0.0;;;1.0;1.0;;0.0;;;6.0;4.0;;0.0;;;7.0;5.0;8.666666666666666;4.0;1.0;;0.0;;;0.25925925925925924;0.3125;0.01863402110958695;0.19058641975308643;;11006.09756097561;;;29398.95470383275;24390.243902439026;;0.0;;;0.071;;3.0;;;46.0;15.0;;18.4;;;15.15;16.37;2.08;0.21;0.09;0.624;1.7;129.0;0.26;0.03;0.3;985;0.019000000000000017;81.0;46.0;67.0;28.0;;902500.0;;;625000.0;625000.0;;;0.0485;2.4603841849005503;;
SPURGEONJARED;Spurgeon;Jared;MIN;29.0;D;39.0;67.0;66.0;77.0;76.0;61.0;37.839999999999996;69.4;5.0;5.0;9.0;11.0;10.0;9.0;10.0;21.0;16.0;18.0;28.0;28.0;15.0;26.0;25.0;29.0;38.0;37.0;30.0;31.0;14.1;0.38461538461538464;0.3880597014925373;0.3787878787878788;0.37662337662337664;0.5;0.6065573770491803;0.007477558104771592;0.43910728642805963;16699.19756097561;83802.38696060037;85864.39024390245;86357.8637510513;126524.39024390244;104297.132498352;0.075;0.055;0.07;0.09;0.102;67.0;91.0;128.0;122.0;144.0;110.0;21.5;22.6;22.6;22.7;24.03;24.55;2.23;2.62;0.09300000000000001;0.475;12.7;718.0;0.6;1.02;2.9;1027;0.01100000000000001;272.0;234.0;199.0;161.0;526667.0;2666667.0;2667000.0;2667000.0;5187500.0;5187500.0;5187500.0;20.0;4.1192;5.643240238241122;D;36.0
STAALMARC;Staal;Marc;NYR;32.0;D;21.0;72.0;80.0;77.0;72.0;72.0;11.04;74.6;2.0;3.0;5.0;2.0;3.0;1.0;9.0;11.0;15.0;13.0;7.0;7.0;11.0;14.0;20.0;15.0;10.0;8.0;17.439999999999998;13.4;-8.3;0.5238095238095238;0.19444444444444445;0.25;0.19480519480519481;0.1388888888888889;0.1111111111111111;0.018580093202808453;0.23550986050986053;92544.34589800444;249303.13588850174;193902.43902439025;356829.26829268294;500487.8048780488;625609.756097561;0.1;0.033;0.052000000000000005;0.031;0.091;20.0;92.0;97.0;65.0;70.0;68.0;24.5;20.5;21.1;19.7;19.18;18.53;0.09;0.04;0.092;0.294;2.6;515.0;0.03;-0.71;-0.7;1001;-0.018000000000000016;146.0;147.0;104.0;100.0;3975000.0;3975000.0;3975000.0;5700000.0;5700000.0;5700000.0;5700000.0;21.0;0.3354;2.7766816362182487;;
STECHERTROY;Stecher;Troy;VAN;24.0;D;;;;;71.0;68.0;2.25;69.5;;;;;3.0;1.0;;;;;21.0;10.0;;;;;24.0;11.0;42.25;17.5;-12.0;;;;;0.3380281690140845;0.16176470588235295;0.007767202108797822;0.2498964374482187;;;;;33371.4430894309;69733.92461197339;;;;;0.085;;;;;125.0;94.0;;;;;19.98;18.81;2.64;0.24;0.078;0.45399999999999996;3.5;532.0;0.19;0.02;-0.4;999;0.01200000000000001;307.0;213.0;184.0;137.0;;;;;925000.0;925000.0;;;0.7945;3.8721894530125995;;
STONEMICHAEL;Stone;Michael;CGY;28.0;D;40.0;70.0;81.0;75.0;64.0;82.0;45.839999999999996;74.4;5.0;8.0;3.0;6.0;3.0;3.0;4.0;13.0;15.0;30.0;12.0;7.0;9.0;21.0;18.0;36.0;15.0;10.0;77.2;20.0;-14.4;0.225;0.3;0.2222222222222222;0.48;0.234375;0.12195121951219512;0.012045640899162902;0.2639247402890696;30512.899728997287;46747.96747967479;63109.75609756098;29217.47967479675;208130.08130081304;350000.0;0.1;0.076;0.021;0.037000000000000005;0.085;50.0;105.0;144.0;161.0;81.0;98.0;16.7;18.2;20.9;22.5;19.82;16.75;1.3;0.58;0.066;0.44799999999999995;3.5;593.0;0.23;0.17;-0.4;1010;0.029000000000000026;186.0;251.0;127.0;160.0;562963.0;1150000.0;1150000.0;1150000.0;4000000.0;3500000.0;3500000.0;20.0;0.7003;3.9347404658585754;;
