"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"784","Mike Hoffman","OTT","L","1","9.0166666666667","9.0166666666667","66.54","66.54","50.00","53.23","53.23","50.00","26.62","33.27","44.44","0","6.65","0.00","26.62","33.27","44.44","6.65","19.96","25.00","0","0","-","26.62","17.74","60.00","0","0","-","48.06","38.45","55.56","0","9.61","0.00","0.00","80.00","0.800","13.31","13.31","6.65","46.58","66.67","26.62","19.96","6.65","80.00"
"59","Toni Lydman","ANA","D","74","1398.6833333333","18.901126126126","42.3","66.28","38.96","31.92","47.83","40.02","22.52","32.77","40.73","2.06","3.3","38.40","20.72","31.44","39.72","8.88","12.87","40.83","1.5","1.76","46.05","15.79","24.77","38.93","0.29","1.32","17.86","27.14","44.24","38.02","0.43","0.81","35.00","9.14","89.92","0.991","6.22","12.61","12.48","40.24","33.26","12.27","20.42","24.24","33.61"
"633","Justin Falk","MIN","D","47","916.15","19.492553191489","42.37","66.28","39.00","30.26","47.28","39.02","22.73","33.07","40.73","1.77","3.27","35.06","17.62","30.06","36.95","7.34","13.62","35.00","0.98","2.42","28.85","13.71","21.92","38.48","0.35","0.79","30.77","29.61","42.66","40.97","0.76","0.38","66.67","7.78","90.10","0.979","7.07","11.85","12.9","48.07","35.41","13.56","18.93","24.82","35.32"
"666","Brandon Sutter","CAR","C","82","1426.6333333333","17.397967479675","48.28","66.24","42.16","35.87","49","42.27","25.82","33.65","43.42","1.81","2.82","39.09","21.7","29.94","42.02","9.17","12.95","41.44","0.93","1.43","39.29","16.71","22.65","42.45","0.45","1.01","30.77","30.74","44.29","40.97","0.61","0.79","43.48","7.00","91.63","0.986","6.1","15.65","16.7","50.47","26.75","11.65","21.2","27.88","29.47"
"859","Jason Zucker","MIN","L","6","66.15","11.025","39.91","66.21","37.61","29.93","52.61","36.26","22.68","32.65","40.98","1.81","3.63","33.33","17.23","31.75","35.19","7.26","14.51","33.33","1.81","3.63","33.33","13.3","22.98","36.67","0","0","-","28.82","45.86","38.60","0","0","-","8.00","88.89","0.969","8.16","12.7","7.26","36.28","52.94","16.33","19.95","12.7","56.25"
"551","Chris Conner","DET","R","8","84.5","10.5625","47.57","66.04","41.88","36.21","45.44","44.35","26.27","30.53","46.25","2.13","1.42","60.00","22.72","33.37","40.51","8.52","12.78","40.00","1.42","0.71","66.67","18.93","27.46","40.82","0.95","0.95","50.00","31.79","42.05","43.06","0","0","-","8.11","95.35","1.035","6.39","14.2","7.1","56.09","47.37","8.52","17.04","9.23","48.00"
"581","Theo Peckham","EDM","D","54","911.3","16.875925925926","41.74","65.97","38.75","30.15","50.04","37.60","21.53","36.01","37.41","2.11","3.23","39.51","18.63","31.6","37.09","7.57","14.88","33.72","1.12","1.71","39.53","14.75","22.3","39.81","0.7","0.79","47.06","26.91","43.37","38.29","0.57","1.33","30.00","9.79","91.04","1.008","7.37","10.27","11.65","53.13","38.75","14.95","17.38","20.81","41.80"
"691","Kevin Marshall","PHI","D","10","87.6","8.76","56.16","65.75","46.07","39.73","50","44.27","32.19","34.93","47.96","3.42","4.79","41.67","31.51","34.25","47.92","13.7","13.7","50.00","2.05","3.42","37.50","23.74","27.4","46.43","0.91","1.83","33.33","33.64","34.63","49.28","0.99","0","100.00","10.64","86.27","0.969","12.33","8.22","8.22","65.75","60.00","17.81","13.01","10.96","61.90"
"48","Derek Morris","PHX","D","59","1120.35","18.988983050847","48.15","65.71","42.29","36.95","51.89","41.59","26.35","37.27","41.41","1.82","2.89","38.64","20.99","29.88","41.26","9","13.98","39.16","1.02","1.93","34.55","16","21.21","42.99","0.57","0.71","44.44","30.48","44.25","40.79","0.46","0.62","42.86","6.91","92.24","0.992","8.3","12.37","12","43.38","40.90","17.62","19.71","22.55","43.87"
"202","Warren Peters","MIN","C","58","613.85","10.583620689655","39.49","65.68","37.55","29.03","45.55","38.93","18.86","32.55","36.69","0.59","2.93","16.67","14.95","27.27","35.42","6.06","10.36","36.90","0.49","2.25","17.86","11.86","22.55","34.47","0","0.52","0.00","28.52","45.89","38.33","0.14","0.42","25.00","3.11","90.99","0.941","7.43","12.71","14.27","56.98","34.23","10.56","18.18","23.26","31.21"
"314","Jed Ortmeyer","MIN","R","35","340.15","9.7185714285714","40.22","65.62","38.00","29.63","46.21","39.07","20.64","33.16","38.36","0.71","2.82","20.00","15.35","25.58","37.50","6.7","10.05","40.00","0.53","1.76","23.08","11.52","20.7","35.77","0.24","0.94","20.00","28.79","45.86","38.57","0","0.51","0.00","3.42","91.49","0.949","7.58","13.41","11.99","60.15","38.74","11.47","17.64","20.64","35.71"
"663","Carson McMillan","MIN","R","11","121.66666666667","11.060606060606","42.41","65.59","39.27","33.04","42.9","43.51","22.19","31.07","41.67","1.97","1.97","50.00","14.3","25.15","36.25","4.93","12.33","28.57","0.99","1.97","33.33","12.49","17.1","42.22","0","0","-","32.05","46.3","40.91","1.42","0","100.00","8.89","93.65","1.025","6.9","13.32","7.89","60.66","46.67","10.36","19.23","16.77","38.18"
"155","Douglas Murray","S.J","D","60","1102.8833333333","18.381388888889","48.85","65.5","42.72","37.37","46.02","44.81","26.98","32.91","45.05","1.74","2.34","42.67","21","27.91","42.94","7.83","10.28","43.24","0.92","1.25","42.50","17.55","23.5","42.76","0.8","0.73","52.38","32.93","45.81","41.82","0.31","0.71","30.77","6.45","92.89","0.993","7.67","13.98","12.35","45.37","38.32","16.32","20.84","22.31","42.25"
"98","Bryan Allen","CAR","D","82","1571.15","19.160365853659","48.16","65.46","42.39","34.71","47.43","42.26","24.56","34.22","41.78","2.18","3.21","40.43","21.5","29.83","41.89","9.78","12.68","43.54","1.37","1.91","41.86","15.63","22.86","40.61","0.61","0.97","38.71","30.78","43.3","41.55","0.39","0.83","31.82","8.86","90.63","0.995","6.95","14.17","14.7","41.24","32.10","12.75","21.08","26.77","32.27"
