"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"853","Mikael Backlund","CGY","C","1","10.733333333333","16","5","76.19","11","5","68.75","7","4","63.64","0","0","-","6","1","85.71","2","1","66.67","0","0","-","4","0","100.00","0","0","-","10","4","71.43","0","0","-","0.00","100.00","1.000","3","2","1","9","75.00","4","3","2","66.67"
"738","Justin Abdelkader","DET","L","2","18.583333333333","22","9","70.97","16","8","66.67","10","6","62.50","0","0","-","15","4","78.95","6","0","100.00","0","0","-","9","4","69.23","0","0","-","6","3","66.67","0","0","-","0.00","100.00","1.000","2","2","2","20","50.00","4","3","2","66.67"
"562","Josh Hennessy","OTT","C","1","13.666666666667","14","6","70.00","10","4","71.43","7","3","70.00","0","0","-","8","4","66.67","2","3","40.00","0","0","-","6","1","85.71","0","0","-","6","0","100.00","0","0","-","0.00","100.00","1.000","1","4","1","10","50.00","1","6","2","33.33"
"867","Jason Garrison","FLA","D","1","11.95","16","7","69.57","8","5","61.54","4","5","44.44","0","0","-","3","3","50.00","2","3","40.00","0","0","-","1","0","100.00","0","0","-","11","3","78.57","0","0","-","0.00","100.00","1.000","3","1","1","10","75.00","4","2","2","66.67"
"120","Tomas Holmstrom","DET","L","53","809.1","1005","469","68.18","776","386","66.78","562","275","67.14","75","22","77.32","385","219","63.74","149","85","63.68","29","10","74.36","236","134","63.78","18","8","69.23","545","209","72.28","28","4","87.50","13.35","92.00","1.053","214","175","75","478","74.05","364","275","159","69.60"
"203","Mike York","CBJ","L","1","13.25","17","8","68.00","12","5","70.59","8","3","72.73","0","0","-","4","3","57.14","1","0","100.00","0","0","-","3","3","50.00","0","0","-","12","3","80.00","0","0","-","0.00","100.00","1.000","1","2","2","11","33.33","3","3","4","42.86"
"774","Clay Wilson","ATL, CBJ","D","7","78.95","91","43","67.91","67","37","64.42","43","29","59.72","2","3","40.00","34","24","58.62","13","13","50.00","0","3","0.00","21","11","65.63","0","0","-","48","17","73.85","2","0","100.00","4.65","89.66","0.943","22","10","11","54","66.67","35","18","19","64.81"
"493","Jiri Hudler","DET","R","82","1119.3166666667","1378","670","67.29","1099","553","66.53","828","420","66.35","82","37","68.91","577","289","66.63","201","112","64.22","33","13","71.74","376","177","67.99","28","15","65.12","710","332","68.14","21","8","72.41","9.90","91.19","1.011","315","202","77","767","80.36","508","295","175","74.38"
"294","Derek MacKenzie","CBJ","C","1","7.25","8","4","66.67","4","4","50.00","2","4","33.33","0","1","0.00","2","2","50.00","0","1","0.00","0","0","-","2","1","66.67","0","1","0.00","3","2","60.00","0","0","-","0.00","75.00","0.750","1","3","0","8","100.00","1","3","1","50.00"
"882","David Sloane","PHI","R","1","6.7333333333333","6","3","66.67","5","2","71.43","4","2","66.67","0","0","-","5","3","62.50","3","0","100.00","0","0","-","2","3","40.00","0","0","-","0","0","-","0","0","-","0.00","100.00","1.000","0","0","0","0","-","5","1","0","100.00"
"885","Jamie Fritsch","PHI","D","1","4.5666666666667","6","3","66.67","3","3","50.00","3","3","50.00","2","1","66.67","2","3","40.00","1","3","25.00","1","1","50.00","1","0","100.00","1","0","100.00","3","0","100.00","0","0","-","66.67","66.67","1.333","2","1","0","6","100.00","2","2","0","100.00"
"817","Ivan Vishnevskiy","DAL","D","3","58.666666666667","69","36","65.71","57","28","67.06","44","23","65.67","3","0","100.00","30","15","66.67","9","7","56.25","3","0","100.00","21","8","72.41","0","0","-","31","19","62.00","0","0","-","6.82","100.00","1.068","10","8","3","56","76.92","18","10","9","66.67"
"809","Derick Brassard","CBJ","C","31","446.21666666667","496","262","65.44","361","205","63.78","265","150","63.86","35","14","71.43","229","111","67.35","96","46","67.61","17","7","70.83","133","65","67.17","9","4","69.23","225","127","63.92","9","2","81.82","13.21","90.67","1.039","108","86","23","372","82.44","189","135","58","76.52"
"253","Mikael Samuelsson","DET","R","81","1244.8333333333","1491","794","65.25","1175","639","64.77","885","496","64.08","74","39","65.49","614","362","62.91","210","151","58.17","35","19","64.81","404","211","65.69","21","12","63.64","764","360","67.97","18","8","69.23","8.36","92.14","1.005","283","276","126","841","69.19","486","387","261","65.06"
"190","Marian Hossa","DET","R","74","1317.0833333333","1613","868","65.01","1263","707","64.11","907","515","63.78","105","46","69.54","679","359","65.41","245","141","63.47","34","21","61.82","434","218","66.56","39","8","82.98","819","433","65.42","32","13","71.11","11.58","91.07","1.026","282","292","136","855","67.46","504","449","290","63.48"
"492","Barry Tallackson","N.J","R","4","17.95","24","13","64.86","19","10","65.52","13","7","65.00","0","1","0.00","9","5","64.29","2","5","28.57","0","1","0.00","7","0","100.00","0","0","-","15","7","68.18","0","0","-","0.00","85.71","0.857","3","6","2","20","60.00","8","8","2","80.00"
"666","Johan Franzen","DET","R","71","1285.2","1504","822","64.66","1215","656","64.94","905","495","64.64","89","45","66.42","664","363","64.65","241","142","62.92","41","21","66.13","423","221","65.68","25","10","71.43","739","386","65.69","22","11","66.67","9.83","90.91","1.007","251","302","191","787","56.79","422","449","319","56.95"
"868","Ville Leino","DET","L","13","165.18333333333","183","100","64.66","129","74","63.55","92","52","63.89","16","9","64.00","89","54","62.24","40","25","61.54","8","7","53.33","49","29","62.82","5","1","83.33","80","35","69.57","3","0","100.00","17.39","82.69","1.001","45","30","20","118","69.23","60","44","34","63.83"
"849","Yannick Weber","MTL","D","3","45.283333333333","53","29","64.63","38","21","64.41","31","14","68.89","1","1","50.00","27","12","69.23","10","3","76.92","0","0","-","17","9","65.38","1","1","50.00","21","15","58.33","0","0","-","3.23","92.86","0.961","13","7","5","24","72.22","25","11","9","73.53"
"269","Jason Krog","VAN","C","4","40.933333333333","42","23","64.62","27","13","67.50","22","10","68.75","2","0","100.00","17","7","70.83","8","1","88.89","1","0","100.00","9","6","60.00","0","0","-","15","10","60.00","0","0","-","9.09","100.00","1.091","10","9","9","28","52.63","17","11","14","54.84"
"543","Zach Parise","N.J","L","82","1538.1","1889","1046","64.36","1500","782","65.73","1129","595","65.49","114","44","72.15","887","441","66.79","377","166","69.43","69","20","77.53","510","275","64.97","26","14","65.00","877","499","63.74","18","8","69.23","10.10","92.61","1.027","309","285","145","932","68.06","640","452","309","67.44"
"545","Ryan Getzlaf","ANA","C","81","1630.6","1983","1103","64.26","1566","907","63.32","1110","660","62.71","124","69","64.25","1006","488","67.34","438","195","69.19","70","33","67.96","568","293","65.97","36","17","67.92","815","532","60.50","17","13","56.67","11.17","89.55","1.007","335","312","158","932","67.95","676","482","302","69.12"
"554","Corey Perry","ANA","R","78","1450.9166666667","1745","976","64.13","1388","813","63.06","1001","593","62.80","104","57","64.60","886","429","67.38","402","171","70.16","64","26","71.11","484","258","65.23","29","16","64.44","704","472","59.86","9","10","47.37","10.39","90.39","1.008","308","307","135","892","69.53","581","461","252","69.75"
"260","Pavel Datsyuk","DET","C","81","1556.25","1888","1057","64.11","1464","853","63.19","1045","620","62.76","137","68","66.83","819","478","63.15","312","188","62.40","58","32","64.44","507","290","63.61","35","20","63.64","944","482","66.20","43","13","76.79","13.11","89.03","1.021","357","341","217","938","62.20","614","522","410","59.96"
"819","Jonathan Toews","CHI","C","82","1527.3","1632","915","64.08","1251","732","63.09","937","574","62.01","104","56","65.00","721","416","63.41","279","165","62.84","44","36","55.00","442","251","63.78","29","9","76.32","796","429","64.98","27","10","72.97","11.10","90.24","1.013","366","312","106","1069","77.54","708","499","255","73.52"
"691","Mark Mancari","BUF","R","7","92.833333333333","105","59","64.02","80","44","64.52","63","35","64.29","2","5","28.57","47","29","61.84","24","14","63.16","2","2","50.00","23","15","60.53","0","3","0.00","54","24","69.23","0","0","-","3.17","85.71","0.889","27","14","8","67","77.14","39","22","15","72.22"
"268","Brian Rafalski","DET","D","78","1807.6333333333","2115","1191","63.97","1663","1002","62.40","1194","727","62.16","125","70","64.10","865","529","62.05","331","202","62.10","51","34","60.00","534","327","62.02","39","20","66.10","1101","565","66.09","35","13","72.92","10.47","90.37","1.008","300","370","177","1116","62.89","684","630","431","61.35"
"123","Daymond Langkow","CGY","C","73","1254.65","1423","807","63.81","1081","652","62.38","783","444","63.81","76","43","63.87","657","347","65.44","280","155","64.37","37","25","59.68","377","192","66.26","19","6","76.00","663","392","62.84","19","11","63.33","9.71","90.32","1.000","296","229","114","850","72.20","528","368","228","69.84"
"624","Alex Ovechkin","WSH","L","79","1817.3666666667","2480","1413","63.70","1823","1067","63.08","1287","779","62.29","162","82","66.39","1184","710","62.51","387","274","58.55","66","42","61.11","797","436","64.64","60","23","72.29","1124","590","65.58","35","14","71.43","12.59","89.47","1.021","269","221","125","902","68.27","803","476","342","70.13"
"851","Patrick Kane","CHI","R","80","1492.7166666667","1641","942","63.53","1274","761","62.60","960","594","61.78","96","51","65.31","721","445","61.84","280","178","61.14","44","24","64.71","441","267","62.29","26","16","61.90","799","433","64.85","25","10","71.43","10.00","91.41","1.014","396","301","68","988","85.34","691","457","191","78.34"
"729","Matt Pelech","CGY","R","5","66.35","80","46","63.49","60","37","61.86","38","30","55.88","4","3","57.14","31","20","60.78","8","10","44.44","2","1","66.67","23","10","69.70","2","1","66.67","48","24","66.67","0","1","0.00","10.53","90.00","1.005","16","17","12","60","57.14","30","22","13","69.77"
"713","Bobby Ryan","ANA","R","64","987.83333333333","1109","639","63.44","882","522","62.82","605","373","61.86","82","40","67.21","536","290","64.89","224","132","62.92","49","20","71.01","312","158","66.38","20","12","62.50","499","303","62.22","13","4","76.47","13.55","89.28","1.028","238","191","72","649","76.77","384","285","139","73.42"
"490","David Van Der Gulik","CGY","L","6","50.883333333333","57","33","63.33","45","22","67.16","36","16","69.23","2","3","40.00","25","14","64.10","7","4","63.64","1","1","50.00","18","10","64.29","1","2","33.33","28","15","65.12","0","0","-","5.56","81.25","0.868","5","13","7","48","41.67","16","16","10","61.54"
"31","Teemu Selanne","ANA","R","65","1071.6166666667","1268","735","63.31","1008","596","62.84","715","439","61.96","78","41","65.55","628","328","65.69","252","152","62.38","43","17","71.67","376","176","68.12","27","11","71.05","549","342","61.62","8","7","53.33","10.91","90.66","1.016","291","209","87","634","76.98","495","313","171","74.32"
"276","Martin Havlat","CHI","R","81","1410.2166666667","1462","859","62.99","1174","695","62.81","902","530","62.99","107","53","66.88","644","427","60.13","276","186","59.74","52","32","61.90","368","241","60.43","26","12","68.42","726","389","65.11","27","8","77.14","11.86","90.00","1.019","245","327","137","1098","64.14","474","502","269","63.80"
"183","Joe Thornton","S.J","C","82","1595.9166666667","1915","1127","62.95","1436","884","61.90","1047","646","61.84","109","53","67.28","932","490","65.54","358","189","65.45","56","32","63.64","574","301","65.60","33","14","70.21","870","552","61.18","20","6","76.92","10.41","91.80","1.022","401","342","173","1053","69.86","705","500","352","66.70"
"6","Sergei Fedorov","WSH","C","52","858.7","1029","609","62.82","763","458","62.49","574","335","63.15","59","37","61.46","493","295","62.56","156","109","58.87","20","21","48.78","337","186","64.44","22","11","66.67","463","269","63.25","16","4","80.00","10.28","88.96","0.992","155","198","121","516","56.16","328","304","237","58.05"
