"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"826","A.J. Greer","COL","L","21","1996-12-14","Joliette","QC","CAN","CAN","75","210","2015","COL","2","9","39"
"770","Aaron Ekblad","FLA","D","22","1996-02-07","Windsor","ON","CAN","CAN","76","220","2014","FLA","1","1","1"
"306","Aaron Ness","WSH","D","28","1990-05-18","Roseau","MN","USA","USA","70","184","2008","NYI","2","10","40"
"543","Adam Clendening","NYR","D","26","1992-10-26","Niagara Falls","NY","USA","USA","72","196","2011","CHI","2","6","36"
"148","Adam Cracknell","DAL","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","209","2004","CGY","9","21","279"
"712","Adam Erne","T.B","L","23","1995-04-20","New Haven","CT","USA","USA","73","214","2013","T.B","2","3","33"
"316","Adam Henrique","N.J","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","197","2008","N.J","3","21","82"
"562","Adam Larsson","EDM","D","26","1992-11-12","Skellefteå","","SWE","SWE","75","208","2011","N.J","1","4","4"
"522","Adam Lowry","WPG","C, L","25","1993-03-29","St. Louis","MO","USA","USA","77","210","2011","WPG","3","6","67"
"172","Adam McQuaid","BOS","D","32","1986-10-12","Charlottetown","PE","CAN","CAN","76","210","2005","CBJ","2","25","55"
"143","Adam Pardy","NSH","D","34","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"642","Adam Pelech","NYI","D","24","1994-08-16","Toronto","ON","CAN","CAN","75","218","2012","NYI","3","4","65"
"794","Adrian Kempe","L.A","L","22","1996-09-13","Kramfors","","SWE","SWE","74","201","2014","L.A","1","29","29"
"529","Alan Quine","NYI","C","25","1993-02-25","Belleville","ON","CAN","CAN","72","203","2013","NYI","6","15","166"
"276","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","209","2007","L.A","4","4","95"
"731","Aleksander Barkov","FLA","C","23","1995-09-02","Tampere","","FIN","FIN","75","213","2013","FLA","1","2","2"
