"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"400","Evgeni Malkin","PIT","C","75","1575.1166666667","50","59","46","13","109","82.58","339","14.75","611","456","323","125","17","30","70","34","34","0","0","48","73","52","29","140","41","575","635","47.52"
"717","Steven Stamkos","T.B","C","82","1805.6666666667","60","37","25","12","97","76.38","303","19.80","540","412","347","129","19","29","66","33","33","0","0","42","45","42","109","93","37","558","669","45.48"
"580","Claude Giroux","PHI","C","77","1657.8","28","65","37","28","93","84.55","242","11.57","456","338","253","99","20","31","29","13","12","1","0","35","44","50","70","93","44","828","715","53.66"
"206","Jason Spezza","OTT","C","80","1593.7166666667","34","50","28","22","84","71.19","232","14.66","453","343","206","84","13","19","36","18","18","0","0","13","84","64","28","66","23","909","791","53.47"
"205","Ilya Kovalchuk","N.J","R","77","1881.6833333333","37","46","26","20","83","76.85","310","11.94","572","425","259","58","15","28","33","15","14","1","0","15","120","42","27","67","18","13","24","35.14"
"590","Phil Kessel","TOR","R","82","1644.5166666667","37","45","26","19","82","76.64","295","12.54","538","391","293","95","17","35","20","10","10","0","0","17","82","39","12","58","21","9","19","32.14"
"133","Henrik Sedin","VAN","C","82","1565.2166666667","14","67","44","23","81","75.00","113","12.39","209","156","127","65","6","10","52","25","25","0","0","21","37","31","32","50","17","652","650","50.08"
"499","James Neal","PIT","L, R","80","1529.1833333333","40","41","21","20","81","68.07","329","12.16","599","452","346","100","22","46","87","38","36","1","1","33","26","30","108","81","15","4","11","26.67"
"803","John Tavares","NYI","C","82","1686.6","31","50","36","14","81","75.00","286","10.84","464","366","319","184","14","35","26","13","13","0","0","42","65","99","27","181","23","813","772","51.29"
"30","Patrik Elias","N.J","C","81","1608.1","26","52","32","20","78","83.87","164","15.85","280","217","154","65","1","12","16","8","8","0","0","14","50","32","61","71","26","604","765","44.12"
"730","Erik Karlsson","OTT","D","81","2050.6666666667","19","59","36","23","78","57.78","261","7.28","594","372","143","19","7","37","42","21","21","0","0","18","84","67","60","103","65","0","1","0.00"
"5","Ray Whitney","PHX","L","82","1528.9666666667","24","53","36","17","77","80.21","185","12.97","344","256","191","91","15","24","28","10","9","0","1","16","39","34","28","62","10","4","11","26.67"
"74","Joe Thornton","S.J","C","82","1678.4833333333","18","59","29","30","77","77.00","156","11.54","259","209","159","82","8","24","31","14","13","1","0","29","95","96","42","74","26","557","436","56.09"
"78","Marian Hossa","CHI","R","81","1617.1333333333","29","48","32","16","77","82.80","248","11.69","437","326","265","95","16","22","20","10","10","0","0","24","29","94","73","94","40","3","6","33.33"
"166","Marian Gaborik","NYR","R","82","1600.3","41","35","23","12","76","77.55","276","14.86","448","364","324","157","12","20","34","15","15","0","0","14","41","30","63","101","40","0","2","0.00"
"486","Anze Kopitar","L.A","C","82","1749.7833333333","25","51","24","27","76","75.25","230","10.87","418","333","250","104","15","21","20","10","10","0","0","23","56","76","72","147","53","763","655","53.81"
"736","Jordan Eberle","EDM","C, R","78","1372.5833333333","34","42","27","15","76","76.77","180","18.89","314","240","209","80","7","17","10","5","5","0","0","17","47","40","45","119","24","12","15","44.44"
"90","Martin St. Louis","T.B","R","77","1742.7166666667","25","49","30","19","74","62.18","185","13.51","344","263","194","84","14","17","16","8","8","0","0","22","53","66","17","65","39","18","23","43.90"
"226","Jason Pominville","BUF","R","82","1613.75","30","43","26","17","73","80.22","235","12.77","407","317","181","78","12","15","12","6","6","0","0","20","38","45","30","95","52","179","196","47.73"
"339","Loui Eriksson","DAL","L","82","1620.4666666667","26","45","27","18","71","73.96","187","13.90","301","242","193","98","15","18","12","6","6","0","0","20","43","50","20","97","40","7","9","43.75"
"315","Eric Staal","CAR","C","82","1766.85","24","46","31","15","70","72.92","262","9.16","476","362","269","133","16","35","48","24","24","0","0","37","47","66","48","84","35","882","799","52.47"
"150","Henrik Zetterberg","DET","L","82","1626.8166666667","22","47","31","16","69","68.32","267","8.24","478","356","246","89","11","11","47","18","16","1","1","19","54","42","45","108","26","548","567","49.15"
"233","Patrick Sharp","CHI","L","74","1472.55","33","36","19","17","69","70.41","282","11.70","483","368","242","93","24","24","38","13","12","0","1","13","29","55","80","90","18","139","152","47.77"
"327","Zach Parise","N.J","L","82","1761.7833333333","31","38","27","11","69","69.00","293","10.58","416","361","274","148","11","27","32","16","16","0","0","41","35","65","65","126","39","30","33","47.62"
"385","Matt Moulson","NYI","L","82","1582.8","36","33","19","14","69","65.71","219","16.44","358","280","264","150","15","28","6","3","3","0","0","15","32","57","33","84","40","2","2","50.00"
"41","Jarome Iginla","CGY","R","82","1689.8333333333","32","35","25","10","67","71.28","251","12.75","451","347","233","91","8","31","43","17","14","3","0","21","58","52","124","87","43","214","212","50.23"
"125","Pavel Datsyuk","DET","C","70","1369.8","19","48","28","20","67","80.72","164","11.59","300","231","175","59","8","13","14","7","7","0","0","19","40","97","76","105","31","702","547","56.20"
"132","Daniel Sedin","VAN","L","72","1354.6833333333","30","37","22","15","67","72.83","229","13.10","413","326","219","99","15","30","40","20","20","0","0","10","25","28","21","53","15","6","13","31.58"
"169","Scott Hartnell","PHI","L","82","1457.1666666667","37","30","17","13","67","63.21","232","15.95","374","315","234","134","8","17","134","49","42","4","3","37","42","27","188","115","37","20","43","31.75"
"250","PA Parenteau","NYI","R","80","1492.2","18","49","29","20","67","71.28","167","10.78","272","217","163","70","8","18","89","35","32","1","2","24","56","37","99","142","23","10","16","38.46"
"290","Joffrey Lupul","TOR","L","66","1228.3166666667","25","42","27","15","67","74.44","191","13.09","342","259","221","115","10","29","48","23","23","0","0","25","41","26","110","139","25","21","37","36.21"
"872","Tyler Seguin","BOS","C","81","1372.0666666667","29","38","21","17","67","69.79","242","11.98","429","331","241","92","20","25","30","15","15","0","0","20","42","30","26","51","17","46","60","43.40"
"3","Teemu Selanne","ANA","R","82","1466.3333333333","26","40","24","16","66","72.53","210","12.38","369","305","249","116","7","21","50","17","15","0","2","28","46","29","23","77","20","145","155","48.33"
"110","Brad Richards","NYR","C","82","1661.75","25","41","21","20","66","72.53","229","10.92","428","324","221","69","8","20","22","11","11","0","0","12","46","47","51","80","49","682","634","51.82"
"264","Valtteri Filppula","DET","C","81","1478.9333333333","23","43","29","14","66","74.16","144","15.97","262","207","187","89","6","16","14","7","7","0","0","16","30","39","42","129","23","193","180","51.74"
"681","Patrick Kane","CHI","R","82","1656.2","23","43","29","14","66","68.04","253","9.09","447","342","275","97","9","15","40","18","18","0","0","34","32","77","19","127","27","240","329","42.18"
"399","Alex Ovechkin","WSH","L","78","1544.4166666667","38","27","14","13","65","69.15","303","12.54","610","438","285","88","18","21","26","13","13","0","0","30","51","34","215","162","42","6","9","40.00"
"630","Teddy Purcell","T.B","L","81","1306.7","24","41","28","13","65","69.89","152","15.79","272","208","147","57","9","15","16","8","8","0","0","12","36","34","17","78","11","3","14","17.65"
"657","Logan Couture","S.J","C","80","1485.0333333333","31","34","24","10","65","81.25","245","12.65","426","328","219","105","13","31","16","8","8","0","0","13","36","61","42","139","76","468","442","51.43"
"689","Max Pacioretty","MTL","L","79","1442.6","33","32","18","14","65","72.22","286","11.54","468","385","241","112","12","22","56","25","23","2","0","25","36","33","104","133","39","1","4","20.00"
"75","Patrick Marleau","S.J","C, L","82","1679.4333333333","30","34","16","18","64","62.14","251","11.95","418","344","247","116","15","30","26","13","13","0","0","11","45","38","84","96","33","243","224","52.03"
"342","Patrice Bergeron","BOS","C","81","1505.1166666667","22","42","31","11","64","71.11","191","11.52","355","276","223","96","14","17","20","10","10","0","0","21","25","55","73","92","67","973","668","59.29"
"403","Blake Wheeler","WPG","R","80","1526.0333333333","17","47","31","16","64","67.37","208","8.17","371","310","232","109","15","23","55","26","25","1","0","29","33","50","113","144","46","4","6","40.00"
"109","Mike Ribeiro","DAL","C","74","1483.5166666667","18","45","25","20","63","82.89","142","12.68","247","195","122","52","5","12","66","21","18","0","3","15","64","39","113","107","46","341","467","42.20"
"634","Jamie Benn","DAL","L","71","1283.3166666667","26","37","16","21","63","82.89","203","12.81","366","284","193","80","14","14","55","26","25","1","0","25","51","56","136","94","52","347","404","46.21"
"127","Michael Ryder","DAL","R","82","1425.3166666667","35","27","17","10","62","74.70","211","16.59","384","285","221","92","18","16","46","22","22","0","0","14","39","48","86","100","50","34","37","47.89"
"151","Radim Vrbata","PHX","R","77","1435.4666666667","35","27","16","11","62","75.61","232","15.09","399","314","192","56","9","19","24","12","12","0","0","2","24","37","57","60","16","27","40","40.30"
"426","David Krejci","BOS","C","79","1455.4333333333","23","39","23","16","62","70.45","145","15.86","259","202","156","75","6","8","36","18","18","0","0","16","34","43","69","99","46","544","501","52.06"
"76","Olli Jokinen","CGY","C","82","1554.7333333333","23","38","25","13","61","66.30","223","10.31","346","277","178","73","6","19","54","25","25","0","0","15","60","55","53","51","31","620","713","46.51"
