"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"713","Greg McKegg","TOR","C","1","3.7166666666667","3","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","2","0","100.00","0","0","-","0.00","-","0.00","0","3","2","1","0.00","0","3","3","0.00"
"803","Ryan Sproul","DET","D","1","18.416666666667","21","5","80.77","15","3","83.33","6","3","66.67","0","0","-","9","2","81.82","3","0","100.00","0","0","-","6","2","75.00","0","0","-","11","2","84.62","0","0","-","0.00","100.00","1.000","4","5","1","15","80.00","8","6","2","80.00"
"699","Bobby Butler","FLA","R","2","27.666666666667","32","12","72.73","22","11","66.67","19","8","70.37","2","1","66.67","12","6","66.67","5","1","83.33","1","1","50.00","7","5","58.33","1","0","100.00","16","6","72.73","0","0","-","10.53","87.50","0.980","5","4","4","25","55.56","9","6","8","52.94"
"380","Nick Drazenovic","PIT","C","1","10.3","9","4","69.23","8","4","66.67","6","3","66.67","0","1","0.00","5","3","62.50","3","3","50.00","0","1","0.00","2","0","100.00","0","0","-","4","1","80.00","0","0","-","0.00","66.67","0.667","1","1","1","12","50.00","1","1","2","33.33"
"748","Teemu Pulkkinen","DET","L","3","22.4","22","10","68.75","17","9","65.38","9","8","52.94","0","0","-","10","2","83.33","3","1","75.00","0","0","-","7","1","87.50","0","0","-","9","7","56.25","0","0","-","0.00","100.00","1.000","5","4","2","22","71.43","6","6","3","66.67"
"831","Karl Stollery","COL","D","2","13.016666666667","11","5","68.75","9","4","69.23","6","2","75.00","1","0","100.00","6","3","66.67","2","1","66.67","1","0","100.00","4","2","66.67","0","0","-","3","2","60.00","0","0","-","16.67","100.00","1.167","1","4","0","15","100.00","2","7","1","66.67"
"450","Joe Piskula","NSH","D","2","24.35","22","12","64.71","18","9","66.67","16","7","69.57","1","0","100.00","8","4","66.67","5","2","71.43","0","0","-","3","2","60.00","0","0","-","11","6","64.71","1","0","100.00","6.25","100.00","1.063","8","4","1","18","88.89","12","6","3","80.00"
"355","James Neal","PIT","L, R","59","1088.5","1402","766","64.67","1053","601","63.66","780","436","64.14","95","39","70.90","670","342","66.21","236","138","63.10","41","19","68.33","434","204","68.03","37","16","69.81","657","358","64.73","17","4","80.95","12.18","91.06","1.032","263","191","101","668","72.25","562","315","238","70.25"
"35","Joe Thornton","S.J","C","82","1552.35","2114","1160","64.57","1550","856","64.42","1109","615","64.33","112","57","66.27","1055","482","68.64","415","206","66.83","61","31","66.30","640","276","69.87","26","18","59.09","917","551","62.47","24","7","77.42","10.10","90.73","1.008","424","326","310","1071","57.77","758","523","575","56.86"
"659","Jeremy Morin","CHI","L","24","219.95","254","142","64.14","176","110","61.54","132","87","60.27","16","9","64.00","119","61","66.11","47","30","61.04","8","5","61.54","72","31","69.90","3","2","60.00","105","69","60.34","5","2","71.43","12.12","89.66","1.018","53","46","7","226","88.33","90","69","36","71.43"
"709","Tyler Toffoli","L.A","C","62","802.15","930","522","64.05","677","412","62.17","446","291","60.52","42","12","77.78","416","245","62.93","164","107","60.52","21","9","70.00","252","138","64.62","12","0","100.00","420","231","64.52","9","2","81.82","9.42","95.88","1.053","181","145","81","674","69.08","327","233","174","65.27"
"509","Jake Muzzin","L.A","D","76","1446.3166666667","1662","934","64.02","1222","719","62.96","831","515","61.74","56","37","60.22","722","394","64.70","302","178","62.92","32","20","61.54","420","216","66.04","17","7","70.83","796","462","63.28","7","7","50.00","6.74","92.82","0.996","304","354","205","1132","59.72","622","512","368","62.83"
"110","Justin Williams","L.A","R","82","1390.25","1630","928","63.72","1224","734","62.51","847","521","61.92","62","38","62.00","712","413","63.29","304","182","62.55","30","20","60.00","408","231","63.85","22","13","62.86","780","450","63.41","8","5","61.54","7.32","92.71","1.000","300","318","188","975","61.48","548","466","363","60.15"
"682","Mitch Callahan","DET","R","1","9.0166666666667","7","4","63.64","4","3","57.14","1","3","25.00","0","0","-","2","1","66.67","0","1","0.00","0","0","-","2","0","100.00","0","0","-","4","3","57.14","0","0","-","0.00","100.00","1.000","0","2","0","11","-","0","2","3","0.00"
"784","Johnny Gaudreau","CGY","L","1","15.183333333333","14","8","63.64","10","5","66.67","7","2","77.78","1","0","100.00","8","5","61.54","2","2","50.00","1","0","100.00","6","3","66.67","0","0","-","5","3","62.50","0","0","-","14.29","100.00","1.143","1","3","3","13","25.00","3","5","5","37.50"
