"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"794","Zach Hamill","BOS","C","1","12.133333333333","12.133333333333","0","4.95","0","4.95","4.95","100.00","4.95","0.00","9.89","9.89","4.95","0","0","0","0","0","0","0","0","4.95","0","0","0","0","9.89","4.95","14.84","123.63"
"619","Kyle Wilson","WSH","C","2","19.383333333333","9.6916666666667","0","6.19","3.1","3.1","6.19","100.00","3.1","0.00","18.57","9.29","6.19","6.19","0","0","0","0","0","0","0","0","0","0","3.1","3.1","0","12.38","27.86","95.24"
"797","P.K. Subban","MTL","D","2","40.2","20.1","0","2.99","0","2.99","2.99","100.00","5.97","0.00","13.43","10.45","1.49","0","0","1.49","2.99","1.49","1.49","0","0","2.99","4.48","2.99","1.49","5.97","2.99","0","0","-"
"612","Tyler Eckford","N.J","D","3","22.133333333333","7.3777777777778","0","2.71","0","2.71","2.71","100.00","2.71","0.00","2.71","2.71","0","0","0","0","10.84","5.42","5.42","0","0","0","0","0","2.71","5.42","8.13","0","0","-"
"369","Keith Aucoin","WSH","C","9","79.183333333333","8.7981481481481","0.76","3.03","0.76","2.27","3.79","83.33","3.03","25.00","6.06","3.79","3.79","1.52","0","0","0","0","0","0","0","0","0","3.79","1.52","7.58","0","23.49","18.94","41.95"
"493","Philippe Dupuis","COL","C","4","32.933333333333","8.2333333333333","0","1.82","0","1.82","1.82","100.00","7.29","0.00","10.93","10.93","9.11","5.47","0","0","3.64","1.82","1.82","0","0","1.82","3.64","3.64","7.29","3.64","7.29","16.4","20.04","81.98"
"221","Henrik Sedin","VAN","C","82","1614.5666666667","19.689837398374","1.08","3.08","1.71","1.37","4.16","83.58","6.17","17.47","9.74","7.73","6.69","3.79","0.19","0.74","1.78","0.89","0.89","0","0","0.93","1.56","1.64","0.48","2.34","0.48","28.09","28.65","1.84"
"716","Ville Koistinen","FLA","D","17","133.18333333333","7.8343137254902","0.45","1.35","0","1.35","1.8","80.00","5.41","8.33","9.91","6.76","4.05","0.45","0","1.35","3.6","1.8","1.8","0","0","1.35","0.9","0","3.6","4.96","0.45","0","0","-"
"639","Jack Skille","CHI","R","6","45.966666666667","7.6611111111111","1.31","1.31","0","1.31","2.61","100.00","11.75","11.11","16.97","14.36","7.83","6.53","0","0","0","0","0","0","0","1.31","0","2.61","15.66","5.22","1.31","0","0","-"
"240","Alexandre Giroux","WSH","L","9","93.35","10.372222222222","0.64","1.29","0","1.29","1.93","42.86","10.93","5.88","17.35","14.14","12.85","5.14","0.64","0.64","2.57","1.29","1.29","0","0","4.5","0","2.57","9","4.5","0.64","0","0","-"
