"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"859","Alexandre Carrier","NSH","D","2","20.783333333333","15","16","48.39","12","11","52.17","7","9","43.75","1","0","100.00","4","4","50.00","3","2","60.00","1","0","100.00","1","2","33.33","0","0","-","10","8","55.56","0","0","-","14.29","100.00","1.143","2","3","1","27","66.67","3","6","4","42.86"
"683","Chad Ruhwedel","PIT","D","34","589.43333333333","526","562","48.35","394","415","48.70","305","311","49.51","32","20","61.54","250","261","48.92","101","125","44.69","19","14","57.58","149","136","52.28","9","5","64.29","237","253","48.37","4","1","80.00","10.49","93.57","1.041","80","118","93","502","46.24","159","175","181","46.76"
"261","Brendan Smith","DET, NYR","D","51","981.33333333333","830","887","48.34","627","678","48.05","439","500","46.75","38","42","47.50","396","437","47.54","146","190","43.45","21","27","43.75","250","247","50.30","14","8","63.64","367","386","48.74","2","7","22.22","8.66","91.60","1.003","170","197","184","734","48.02","307","307","361","45.96"
"437","Alex Petrovic","FLA","D","49","889.35","755","807","48.34","603","634","48.75","441","473","48.25","35","40","46.67","344","385","47.19","125","175","41.67","16","27","37.21","219","210","51.05","12","7","63.16","363","377","49.05","5","6","45.45","7.94","91.54","0.995","58","148","154","659","27.36","205","267","338","37.75"
"318","David Warsofsky","PIT","D","7","110.13333333333","115","123","48.32","87","94","48.07","65","67","49.24","5","8","38.46","48","60","44.44","19","27","41.30","3","6","33.33","29","33","46.77","2","1","66.67","60","45","57.14","0","1","0.00","7.69","88.06","0.958","24","25","14","95","63.16","51","35","28","64.56"
"188","Anton Stralman","T.B","D","73","1671.7333333333","1445","1547","48.30","1105","1200","47.94","774","875","46.94","71","83","46.10","690","723","48.83","294","276","51.58","36","29","55.38","396","447","46.98","23","26","46.94","688","728","48.59","8","23","25.81","9.17","90.51","0.997","267","387","359","888","42.65","558","559","645","46.38"
"670","Connor Brown","TOR","R","82","1328.8833333333","1261","1351","48.28","925","1036","47.17","642","721","47.10","67","62","51.94","608","609","49.96","232","228","50.43","37","24","60.66","376","381","49.67","14","23","37.84","540","626","46.31","14","13","51.85","10.44","91.40","1.018","296","367","210","1018","58.50","454","483","414","52.30"
"377","Brian Dumoulin","PIT","D","70","1438.2333333333","1272","1366","48.22","966","1007","48.96","726","770","48.53","61","71","46.21","632","623","50.36","273","257","51.51","35","36","49.30","359","366","49.52","16","22","42.11","543","640","45.90","7","13","35.00","8.40","90.78","0.992","208","410","269","1015","43.61","484","588","514","48.50"
"390","Cody Eakin","DAL","C","60","1008.9166666667","947","1017","48.22","699","751","48.21","497","511","49.31","30","54","35.71","431","480","47.31","180","192","48.39","13","24","35.14","251","288","46.57","13","18","41.94","439","452","49.27","2","10","16.67","6.04","89.43","0.955","210","271","233","753","47.40","363","371","407","47.14"
"544","Boone Jenner","CBJ","C","82","1317.0333333333","1243","1335","48.22","909","952","48.84","683","702","49.31","57","49","53.77","575","620","48.12","246","287","46.15","31","23","57.41","329","333","49.70","13","11","54.17","554","572","49.20","10","13","43.48","8.35","93.02","1.014","210","331","275","918","43.30","384","429","531","41.97"
"36","Paul Martin","S.J","D","81","1557.35","1521","1635","48.19","1099","1193","47.95","751","827","47.59","62","70","46.97","728","785","48.12","311","342","47.63","33","41","44.59","417","443","48.49","14","14","50.00","643","710","47.52","13","14","48.15","8.26","91.54","0.998","221","315","236","1215","48.36","491","496","487","50.20"
"282","Micheal Haley","S.J","C","58","532.31666666667","463","498","48.18","338","334","50.30","245","237","50.83","22","16","57.89","204","201","50.37","90","86","51.14","12","10","54.55","114","115","49.78","3","5","37.50","218","234","48.23","5","1","83.33","8.98","93.25","1.022","84","113","55","545","60.43","155","175","131","54.20"
"131","Carl Soderberg","COL","C","80","1075.6166666667","903","972","48.16","667","728","47.81","474","563","45.71","30","60","33.33","364","399","47.71","138","165","45.54","14","40","25.93","226","234","49.13","9","12","42.86","438","476","47.92","7","8","46.67","6.33","89.34","0.957","196","220","197","823","49.87","311","304","356","46.63"
"277","Carl Hagelin","PIT","L","61","944.88333333333","856","922","48.14","664","674","49.63","494","505","49.45","39","43","47.56","398","425","48.36","173","172","50.14","22","23","48.89","225","253","47.07","12","14","46.15","396","436","47.60","4","6","40.00","7.89","91.49","0.994","186","226","199","681","48.31","316","327","318","49.84"
"145","Troy Brouwer","CGY","R","74","1200.4833333333","1065","1148","48.12","762","874","46.58","553","645","46.16","54","55","49.54","469","500","48.40","185","209","46.95","29","27","51.79","284","291","49.39","17","16","51.52","509","561","47.57","7","9","43.75","9.76","91.47","1.012","325","255","203","785","61.55","521","375","377","58.02"
"374","Eric Gelinas","COL","D","27","312.73333333333","266","287","48.10","198","230","46.26","147","174","45.79","10","14","41.67","83","117","41.50","26","37","41.27","3","9","25.00","57","80","41.61","3","2","60.00","155","150","50.82","4","3","57.14","6.80","91.95","0.988","45","44","49","300","47.87","104","79","98","51.49"
"416","Matt Irwin","NSH","D","74","1203.8","1058","1142","48.09","753","840","47.27","549","605","47.57","48","42","53.33","419","479","46.66","164","161","50.46","21","28","42.86","255","318","44.50","12","8","60.00","533","547","49.35","15","5","75.00","8.74","93.06","1.018","195","266","201","948","49.24","388","415","414","48.38"
"533","Dillon Simpson","EDM","D","3","32.65","25","27","48.08","16","19","45.71","13","12","52.00","1","1","50.00","10","12","45.45","3","3","50.00","0","0","-","7","9","43.75","1","0","100.00","13","12","52.00","0","1","0.00","7.69","91.67","0.994","5","8","4","33","55.56","13","12","6","68.42"
