"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"845","Matt Halischuk","N.J","R","1","9.7833333333333","9.7833333333333","0","6.13","0","6.13","6.13","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.13","0","0","0","-"
"181","Aaron Downey","DET","R","4","20.833333333333","5.2083333333333","2.88","2.88","0","2.88","5.76","100.00","5.76","50.00","5.76","5.76","2.88","2.88","0","0","20.16","5.76","2.88","2.88","0","5.76","5.76","0","31.68","11.52","2.88","0","0","-"
"729","Matt Pelech","CGY","R","5","66.35","13.27","0","2.71","0","2.71","2.71","75.00","3.62","0.00","10.85","6.33","0","0","0","0","8.14","2.71","1.81","0.9","0","1.81","0","0","4.52","1.81","2.71","0","0","-"
"619","Garrett Stafford","DAL","D","3","54.016666666667","18.005555555556","0","2.22","0","2.22","2.22","100.00","5.55","0.00","15.55","8.89","4.44","0","0","1.11","0","0","0","0","0","0","0","0","4.44","5.55","2.22","0","0","-"
"436","Tomas Mojzis","MIN","D","4","28.983333333333","7.2458333333333","0","2.07","0","2.07","2.07","100.00","4.14","0.00","10.35","6.21","0","0","0","2.07","4.14","2.07","2.07","0","0","2.07","2.07","4.14","8.28","0","0","0","0","-"
"843","John Negrin","CGY","D","3","29.966666666667","9.9888888888889","0","2","0","2","2","100.00","6.01","0.00","16.02","10.01","0","0","0","2","4","2","2","0","0","0","0","2","0","6.01","6.01","0","0","-"
"444","Keith Aucoin","WSH","C","12","123.81666666667","10.318055555556","0.97","1.94","0","1.94","2.91","75.00","7.27","13.33","10.66","8.24","4.36","2.91","0","0.97","1.94","0.97","0.97","0","0","1.94","1.45","3.39","1.94","6.78","0.97","15.99","24.23","19.27"
"337","Kurtis Foster","MIN","D","10","135.86666666667","13.586666666667","0.44","2.21","0.44","1.77","2.65","40.00","4.42","10.00","13.69","7.95","2.65","0","0","0.88","2.65","1.32","1.32","0","0","0","1.77","0","3.53","1.77","3.53","0","0","-"
"791","Trevor Lewis","L.A","C","6","69.583333333333","11.597222222222","0.86","1.72","0","1.72","2.59","100.00","8.62","10.00","13.8","12.93","8.62","1.72","0.86","0.86","0","0","0","0","0","0.86","0.86","0","3.45","2.59","3.45","0.86","2.59","21.56"
"679","Janne Niskala","T.B","D","6","82.216666666667","13.702777777778","0.73","1.46","0","1.46","2.19","100.00","7.3","10.00","13.14","9.49","3.65","0","0","1.46","4.38","2.19","2.19","0","0","0","4.38","0.73","3.65","2.19","0.73","0","0","-"
"578","Ryan Potulny","EDM","C","8","83.916666666667","10.489583333333","0","2.14","0.71","1.43","2.14","75.00","6.43","0.00","12.87","7.86","7.15","2.86","0.71","0","0","0","0","0","0","0","2.86","5","3.57","5","0.71","0.71","6.43","7.15"
"16","Joe Sakic","COL","C","15","271.7","18.113333333333","0.44","2.21","0.88","1.32","2.65","70.59","10.16","4.35","17.45","13.03","9.5","3.31","0.44","2.21","1.32","0.66","0.66","0","0","1.1","3.09","2.87","1.55","3.09","1.1","25.84","21.86","11.96"
"849","Yannick Weber","MTL","D","3","45.283333333333","15.094444444444","0","1.32","0","1.32","1.32","100.00","7.95","0.00","15.9","9.27","1.32","0","0","0","2.65","1.32","1.32","0","0","0","0","0","5.3","2.65","1.32","0","0","-"
"857","Jon Kalinski","PHI","L","12","91.333333333333","7.6111111111111","0.66","1.31","0","1.31","1.97","100.00","4.6","14.29","7.23","5.26","4.6","2.63","0","0.66","0","0","0","0","0","1.97","0.66","0.66","7.88","9.2","4.6","13.8","16.42","29.99"
"732","Vladimir Mihalik","T.B","D","11","147.35","13.395454545455","0","1.22","0","1.22","1.22","75.00","2.85","0.00","6.92","4.48","0.81","0.41","0","0","2.44","1.22","1.22","0","0","0","3.26","0","3.26","5.7","6.92","0","0","-"
