"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"324","Alex Frolov","L.A","L","36","1982-06-19","Moscow","","RUS","RUS","74","210","2000","L.A","1","20","20"
"655","Alex Goligoski","PIT","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"240","Alex Henry","MTL","D","39","1979-10-18","Elliot Lake","ON","CAN","CAN","78","231","1998","EDM","3","9","67"
"40","Alex Kovalev","MTL","R","45","1973-02-24","Togliatti","","RUS","RUS","74","222","1991","NYR","1","15","15"
"624","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"873","Alex Pietrangelo","STL","D","28","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"223","Alex Tanguay","MTL","L","39","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
"665","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","212","2004","VAN","3","26","91"
"675","Alexander Nikulin","PHX","C","33","1985-08-25","Perm","","RUS","RUS","73","198","2004","OTT","4","24","122"
"471","Alexander Semin","WSH","R","34","1984-03-03","Krasnojarsk","","RUS","RUS","74","211","2002","WSH","1","13","13"
"499","Alexander Steen","STL, TOR","L","34","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"579","Alexander Sulzer","NSH","D","34","1984-05-30","Kaufbeuren","","DEU","DEU","73","198","2003","NSH","3","24","92"
"586","Alexandre Bolduc","VAN","C","33","1985-06-26","Montreal","QC","CAN","CAN","75","200","2003","STL","4","26","127"
"520","Alexandre Burrows","VAN","L","37","1981-04-11","Pincourt","QC","CAN","CAN","73","197","-","-","-","-","-"
"298","Alexandre Giroux","WSH","L","37","1981-06-16","Quebec City","QC","CAN","CAN","75","208","1999","OTT","7","27","213"
"577","Alexandre Picard","OTT","D","33","1985-07-05","Gatineau","QC","CAN","CAN","75","215","2003","PHI","3","17","85"
"630","Alexandre Picard","CBJ","L","33","1985-10-09","Les Saules","QC","CAN","CAN","74","206","2004","CBJ","1","8","8"
"246","Alexei Ponikarovsky","TOR","L","38","1980-04-09","Kiev","","UKR","UKR","76","225","1998","TOR","4","1","87"
"278","Alexei Semenov","S.J","D","37","1981-04-10","Murmansk","","RUS","RUS","78","245","1999","EDM","2","8","36"
"511","Andre Deveaux","TOR","C","34","1984-02-23","Freeport","","BHS","BHS","75","239","2002","MTL","6","16","182"
"115","Andre Roy","CGY","R","43","1975-02-08","Port Chester","NY","USA","USA","76","229","1994","BOS","6","21","151"
"340","Andreas Lilja","DET","D","43","1975-07-13","Helsingborg","","SWE","SWE","75","220","2000","L.A","2","24","54"
"813","Andreas Nodl","PHI","R","31","1987-02-28","Vienna","","AUT","AUT","73","196","2006","PHI","2","9","39"
"537","Andrei Kostitsyn","MTL","L","33","1985-02-03","Novopolotsk","","BLR","BLR","72","214","2003","MTL","1","10","10"
"258","Andrei Markov","MTL","D","39","1978-12-20","Voskresensk","","RUS","RUS","72","200","1998","MTL","6","17","162"
"640","Andrej Meszaros","T.B","D","33","1985-10-13","Povaská Bystrica","","SVK","SVK","74","223","2004","OTT","1","23","23"
"661","Andrej Sekera","BUF","D","32","1986-06-08","Bojnice","","SVK","SVK","72","200","2004","BUF","3","6","71"
"423","Andrew Alberts","PHI","D","37","1981-06-30","Minneapolis","MN","USA","USA","77","218","2001","BOS","6","14","179"
"87","Andrew Brunette","MIN","L","45","1973-08-24","Sudbury","ON","CAN","CAN","73","215","1993","WSH","7","18","174"
"728","Andrew Cogliano","EDM","L","31","1987-06-14","Toronto","ON","CAN","CAN","70","177","2005","EDM","1","25","25"
"822","Andrew Ebbett","ANA","C","35","1983-01-02","Vernon","BC","CAN","CAN","69","174","-","-","-","-","-"
"208","Andrew Ference","BOS","D","39","1979-03-17","Edmonton","AB","CAN","CAN","71","182","1997","PIT","8","18","208"
"689","Andrew Gordon","WSH","R","32","1985-12-13","Porters Lake","NS","CAN","CAN","72","194","2004","WSH","7","4","197"
"282","Andrew Hutchinson","DAL, T.B","D","38","1980-03-24","Evanston","IL","USA","USA","74","195","1999","NSH","2","26","54"
"627","Andrew Ladd","CHI","L","32","1985-12-12","Maple Ridge","BC","CAN","CAN","75","192","2004","CAR","1","4","4"
"818","Andrew MacDonald","NYI","D","32","1986-09-07","Judique","NS","CAN","CAN","73","204","2006","NYI","6","7","160"
"435","Andrew Murray","CBJ","C","37","1981-11-06","Selkirk","MB","CAN","CAN","74","210","2001","CBJ","8","15","242"
"232","Andrew Peters","BUF","L","38","1980-05-05","St. Catharines","ON","CAN","CAN","76","240","1998","BUF","2","7","34"
"781","Andy Greene","N.J","D","36","1982-10-30","Trenton","MI","USA","USA","71","190","-","-","-","-","-"
"335","Andy Hilbert","NYI","L","37","1981-02-06","Howell","MI","USA","USA","70","188","2000","BOS","2","7","37"
"314","Andy McDonald","STL","L","41","1977-08-25","Strathroy","ON","CAN","CAN","70","175","-","-","-","-","-"
"216","Andy Sutton","NYI","D","43","1975-03-10","Kingston","ON","CAN","CAN","78","245","-","-","-","-","-"
"622","Andy Wozniewski","STL","D","38","1980-05-25","Buffalo Grove","IL","USA","USA","77","225","-","-","-","-","-"
"870","Anssi Salmela","ATL, N.J","D","34","1984-08-13","Nokia","","FIN","FIN","73","200","-","-","-","-","-"
"551","Anthony Stewart","FLA","R","33","1985-01-05","LaSalle","QC","CAN","CAN","75","230","2003","FLA","1","25","25"
"341","Antoine Vermette","CBJ, OTT","C","36","1982-07-20","St. Agapit","QC","CAN","CAN","73","197","2000","OTT","2","25","55"
"500","Anton Babchuk","CAR","D","34","1984-05-06","Kiev","","UKR","UKR","77","200","2002","CHI","1","21","21"
"766","Anton Stralman","TOR","D","32","1986-08-01","Tibro","","SWE","SWE","71","190","2005","TOR","7","22","216"
"325","Anton Volchenkov","OTT","D","36","1982-02-25","Moscow","","RUS","RUS","73","220","2000","OTT","1","21","21"
"360","Antti Miettinen","MIN","R","38","1980-07-03","Hämeenlinna","","FIN","FIN","72","190","2000","DAL","7","27","224"
"837","Antti Pihlstrom","NSH","L","34","1984-10-22","Vantaa","","FIN","FIN","71","190","-","-","-","-","-"
"720","Anze Kopitar","L.A","C","31","1987-08-24","Jesenice","","SVN","SVN","75","225","2005","L.A","1","11","11"
"157","Arron Asham","PHI","R","40","1978-04-13","Portage La Prairie","MB","CAN","CAN","71","210","1996","MTL","3","19","71"
"814","Artem Anisimov","NYR","C","30","1988-05-24","Yaroslavl","","RUS","RUS","76","198","2006","NYR","2","24","54"
"567","B.J. Crombeen","DAL, STL","R","33","1985-07-10","Denver","CO","USA","USA","74","209","2003","DAL","2","24","54"
"275","Barret Jackman","STL","D","37","1981-03-05","Trail","BC","CAN","CAN","72","203","1999","STL","1","17","17"
"492","Barry Tallackson","N.J","R","35","1983-04-14","Grafton","ND","USA","USA","77","215","2002","N.J","2","23","53"
"504","Ben Eager","CHI","L","34","1984-01-22","Ottawa","ON","CAN","CAN","74","226","2002","PHX","1","23","23"
"206","Ben Guite","COL","R","40","1978-07-17","Montreal","QC","CAN","CAN","73","210","1997","MTL","7","11","172"
"834","Ben Lovejoy","PIT","D","34","1984-02-20","Concord","NH","USA","USA","73","205","-","-","-","-","-"
"797","Ben Maxwell","MTL","C","30","1988-03-30","North Vancouver","BC","CAN","CAN","73","195","2006","MTL","2","19","49"
"366","Ben Ondrus","TOR","R","36","1982-06-25","Sherwood Park","AB","CAN","CAN","71","208","-","-","-","-","-"
"683","Ben Walter","NYI","C","34","1984-05-11","Beaconsfield","QC","CAN","CAN","73","190","2004","BOS","5","31","160"
"715","Benoit Pouliot","MIN","L","32","1986-09-29","Alfred","ON","CAN","CAN","75","200","2005","MIN","1","4","4"
"23","Bill Guerin","NYI, PIT","R","48","1970-11-09","Worcester","MA","USA","USA","74","220","1989","N.J","1","5","5"
"777","Bill Thomas","PIT","R","35","1983-06-20","Pittsburgh","PA","USA","USA","73","185","-","-","-","-","-"
"234","Blair Betts","NYR","C","38","1980-02-16","Edmonton","AB","CAN","CAN","75","210","1998","CGY","2","6","33"
"649","Blake Comeau","NYI","L","32","1986-02-18","Meadow Lake","SK","CAN","CAN","73","200","2004","NYI","2","17","47"
"628","Blake Wheeler","BOS","R","32","1986-08-31","Plymouth","MN","USA","USA","77","225","2004","PHX","1","5","5"
"7","Bobby Holik","N.J","C","47","1971-01-01","Jihlava","","CZE","CZE","76","230","1989","HFD","1","10","10"
"713","Bobby Ryan","ANA","R","31","1987-03-17","Cherry Hill","NJ","USA","USA","74","209","2005","ANA","1","2","2"
"632","Boris Valabik","ATL","D","32","1986-02-14","Nitra","","SVK","SVK","79","255","2004","ATL","1","10","10"
"142","Boyd Devereaux","TOR","C","40","1978-04-16","Seaforth","ON","CAN","CAN","74","195","1996","EDM","1","6","6"
"482","Boyd Gordon","WSH","C","35","1983-10-19","Unity","SK","CAN","CAN","72","200","2002","WSH","1","17","17"
"159","Boyd Kane","PHI","L","40","1978-04-18","Swift Current","SK","CAN","CAN","74","229","1998","NYR","4","28","114"
"327","Brad Boyes","STL","R","36","1982-04-17","Mississauga","ON","CAN","CAN","72","199","2000","TOR","1","24","24"
"112","Brad Lukowich","S.J","D","42","1976-08-12","Cranbrook","BC","CAN","CAN","73","191","1994","NYI","4","12","90"
"30","Brad May","ANA, TOR","L","47","1971-11-29","Toronto","ON","CAN","CAN","73","213","1990","BUF","1","14","14"
"239","Brad Richards","DAL","C","38","1980-05-02","Murray Hbr.","PE","CAN","CAN","72","199","1998","T.B","3","6","64"
"594","Brad Richardson","L.A","C","33","1985-02-04","Belleville","ON","CAN","CAN","72","190","2003","COL","5","27","163"
"703","Brad Staubitz","S.J","R","34","1984-07-28","Edmonton","AB","CAN","CAN","73","207","-","-","-","-","-"
"219","Brad Stuart","DET","D","39","1979-11-06","Rocky Mountain House","AB","CAN","CAN","74","215","1998","S.J","1","3","3"
"334","Brad Winchester","STL","L","37","1981-03-01","Madison","WI","USA","USA","77","230","2000","EDM","2","5","35"
"430","Brandon Bochenski","T.B","R","36","1982-04-04","Blaine","MN","USA","USA","73","195","2001","OTT","7","27","223"
"654","Brandon Dubinsky","NYR","C","32","1986-04-29","Anchorage","AK","USA","USA","74","205","2004","NYR","2","30","60"
"660","Brandon Prust","CGY, PHX","L","34","1984-03-16","London","ON","CAN","CAN","72","195","2004","CGY","3","5","70"
"439","Brandon Segal","T.B","R","35","1983-07-12","Richmond","BC","CAN","CAN","74","215","2002","NSH","4","6","102"
"844","Brandon Sutter","CAR","C","29","1989-02-14","Huntington","NY","USA","CAN","75","190","2007","CAR","1","11","11"
"535","Braydon Coburn","PHI","D","33","1985-02-27","Shaunavon","SK","CAN","CAN","77","223","2003","ATL","1","8","8"
"402","Brendan Bell","OTT","D","35","1983-03-31","Ottawa","ON","CAN","CAN","74","205","2001","TOR","3","2","65"
"733","Brendan Mikkelson","ANA","D","31","1987-06-22","Regina","SK","CAN","CAN","75","210","2005","ANA","2","1","31"
"77","Brendan Morrison","ANA, DAL","C","43","1975-08-15","Pitt Meadows","BC","CAN","CAN","71","176","1993","N.J","2","13","39"
"18","Brendan Shanahan","N.J","L","49","1969-01-23","Mimico","ON","CAN","CAN","75","220","1987","N.J","1","2","2"
"70","Brendan Witt","NYI","D","43","1975-02-20","Humboldt","SK","CAN","CAN","74","223","1993","WSH","1","11","11"
"193","Brenden Morrow","DAL","L","39","1979-01-16","Carlyle","SK","CAN","CAN","71","212","1997","DAL","1","25","25"
"546","Brent Burns","MIN","D","33","1985-03-09","Barrie","ON","CAN","CAN","77","230","2003","MIN","1","20","20"
"540","Brent Seabrook","CHI","D","33","1985-04-20","Richmond","BC","CAN","CAN","75","220","2003","CHI","1","14","14"
"134","Brent Sopel","CHI","D","41","1977-01-07","Calgary","AB","CAN","CAN","74","205","1995","VAN","6","14","144"
"24","Bret Hedican","ANA","D","48","1970-08-10","St. Paul","MN","USA","USA","74","210","1988","STL","10","9","198"
"670","Brett Carson","CAR","D","33","1985-11-29","Regina","SK","CAN","CAN","76","210","2004","CAR","4","11","109"
"168","Brett Clark","COL","D","41","1976-12-23","Wapella","SK","CAN","CAN","72","194","1996","MTL","6","19","154"
"770","Brett Festerling","ANA","D","32","1986-03-03","Prince George","BC","CAN","CAN","73","210","-","-","-","-","-"
"621","Brett Lebda","DET","D","36","1982-01-15","Buffalo Grove","IL","USA","USA","69","195","-","-","-","-","-"
"179","Brett McLean","FLA","C","40","1978-08-14","Comox","BC","CAN","CAN","71","184","1997","DAL","9","25","242"
"470","Brett Skinner","NYI","D","35","1983-06-28","Brandon","MB","CAN","CAN","73","183","2002","VAN","3","5","68"
"589","Brett Sterling","ATL","L","34","1984-04-24","Los Angeles","CA","USA","USA","67","175","2003","ATL","5","9","145"
"762","Brett Sutter","CGY","L","31","1987-06-02","Viking","AB","CAN","CAN","72","200","2005","CGY","6","17","179"
"552","Brian Boyle","L.A","C","33","1984-12-18","Hingham","MA","USA","USA","78","245","2003","L.A","1","26","26"
"204","Brian Campbell","CHI","D","39","1979-05-23","Strathroy","ON","CAN","CAN","70","192","1997","BUF","6","22","156"
"244","Brian Gionta","N.J","R","39","1979-01-18","Rochester","NY","USA","USA","67","178","1998","N.J","3","24","82"
"719","Brian Lee","OTT","D","31","1987-03-26","Moorhead","MN","USA","USA","75","200","2005","OTT","1","9","9"
"292","Brian McGrattan","PHX","R","37","1981-09-02","Hamilton","ON","CAN","CAN","76","235","1999","L.A","4","8","104"
"312","Brian Pothier","WSH","D","41","1977-04-15","New Bedford","MA","USA","USA","72","204","-","-","-","-","-"
"268","Brian Rafalski","DET","D","45","1973-09-28","Dearborn","MI","USA","USA","70","194","-","-","-","-","-"
"38","Brian Rolston","N.J","R","45","1973-02-21","Flint","MI","USA","USA","74","215","1991","N.J","1","11","11"
"757","Brian Salcido","ANA","D","33","1985-04-14","Hermosa Beach","CA","USA","USA","74","188","2005","ANA","5","16","141"
"329","Brian Sutherby","ANA, DAL","C","36","1982-03-01","Edmonton","AB","CAN","CAN","74","208","2000","WSH","1","26","26"
"167","Brian Willsie","COL","R","40","1978-03-16","Belmont","ON","CAN","CAN","73","202","1996","COL","6","11","146"
"426","Brooks Laich","WSH","C","35","1983-06-23","Wawota","SK","CAN","CAN","74","200","2001","OTT","6","28","193"
"322","Brooks Orpik","PIT","D","38","1980-09-26","San Francisco","CA","USA","USA","75","217","2000","PIT","1","18","18"
"596","Bruno Gervais","NYI","D","34","1984-10-03","Longueuil","QC","CAN","CAN","73","200","2003","NYI","6","15","182"
"220","Bryan Allen","FLA","D","38","1980-08-21","Kingston","ON","CAN","CAN","77","223","1998","VAN","1","4","4"
"63","Bryan Helmer","WSH","D","46","1972-07-15","Sault Ste. Marie","ON","CAN","CAN","74","208","-","-","-","-","-"
"785","Bryan Little","ATL","C","31","1987-11-12","Edmonton","AB","CAN","CAN","72","191","2006","ATL","1","12","12"
"78","Bryan McCabe","FLA","D","43","1975-06-08","St. Catharines","ON","CAN","CAN","74","223","1993","NYI","2","14","40"
"616","Bryan Rodney","CAR","D","34","1984-04-22","London","ON","CAN","CAN","72","195","-","-","-","-","-"
"114","Bryce Salvador","N.J","D","42","1976-02-11","Brandon","MB","CAN","CAN","75","215","1994","T.B","6","8","138"
"583","Byron Bitz","BOS","R","34","1984-07-21","Saskatoon","SK","CAN","CAN","77","215","2003","BOS","4","6","107"
"800","Cal Clutterbuck","MIN","R","31","1987-11-18","Welland","ON","CAN","CAN","71","216","2006","MIN","3","9","72"
"761","Cal O'Reilly","NSH","C","32","1986-09-30","Toronto","ON","CAN","CAN","72","188","2005","NSH","5","25","150"
"626","Cam Barker","CHI","D","32","1986-04-04","Winnipeg","MB","CAN","CAN","75","223","2004","CHI","1","3","3"
"473","Cam Janssen","STL","R","34","1984-04-15","St. Louis","MO","USA","USA","72","215","2002","N.J","4","21","117"
"437","Cam Paddock","STL","C","35","1983-03-22","N. Vancouver","BC","CAN","CAN","72","178","2002","PIT","5","6","137"
"384","Carlo Colaiacovo","STL, TOR","D","35","1983-01-27","Toronto","ON","CAN","CAN","73","202","2001","TOR","1","17","17"
"659","Casey Borer","CAR","D","33","1985-07-28","Minneapolis","MN","USA","USA","74","205","2004","CAR","3","4","69"
"445","Chad LaRose","CAR","R","36","1982-03-27","Fraser","MI","USA","USA","70","181","-","-","-","-","-"
"647","Chris Bourque","WSH","L","32","1986-01-29","Boston","MA","USA","USA","68","174","2004","WSH","2","3","33"
"749","Chris Butler","BUF","D","32","1986-10-27","St. Louis","MO","USA","USA","73","196","2005","BUF","4","5","96"
"519","Chris Campoli","NYI, OTT","D","34","1984-07-09","Mississauga","ON","CAN","CAN","72","200","2004","NYI","7","34","227"
"4","Chris Chelios","DET","D","56","1962-01-25","Chicago","IL","USA","USA","72","191","1981","MTL","2","19","40"
"110","Chris Clark","WSH","R","42","1976-03-08","South Windsor","CT","USA","USA","72","191","1994","CGY","3","25","77"
"778","Chris Conner","DAL","R","34","1983-12-23","Westland","MI","USA","USA","67","181","-","-","-","-","-"
"109","Chris Drury","NYR","C","42","1976-08-20","Trumbull","CT","USA","USA","70","191","1994","QUE","3","20","72"
"775","Chris Durno","COL","L","38","1980-10-31","Scarborough","ON","CAN","CAN","76","223","-","-","-","-","-"
"65","Chris Gratton","CBJ, T.B","C","43","1975-07-05","Brantford","ON","CAN","CAN","76","226","1993","T.B","1","3","3"
"503","Chris Higgins","MTL","L","35","1983-06-02","Smithtown","NY","USA","USA","72","205","2002","MTL","1","14","14"
"291","Chris Kelly","OTT","C","38","1980-11-11","Toronto","ON","CAN","CAN","72","190","1999","OTT","3","28","94"
"524","Chris Kunitz","ANA, PIT","L","39","1979-09-26","Regina","SK","CAN","CAN","72","188","-","-","-","-","-"
"523","Chris Minard","PIT","L","37","1981-11-18","Owen sound","ON","CAN","CAN","73","190","-","-","-","-","-"
"257","Chris Neil","OTT","R","39","1979-06-18","Flesherton","ON","CAN","CAN","73","209","1998","OTT","6","16","161"
"140","Chris Phillips","OTT","D","40","1978-03-09","Calgary","AB","CAN","CAN","75","219","1996","OTT","1","1","1"
"609","Chris Porter","STL","L","34","1984-05-29","Toronto","ON","CAN","CAN","73","206","2003","CHI","9","21","282"
"64","Chris Pronger","ANA","D","44","1974-10-10","Dryden","ON","CAN","CAN","78","188","1993","HFD","1","2","2"
"795","Chris Stewart","COL","R","31","1987-10-30","Toronto","ON","CAN","CAN","74","242","2006","COL","1","18","18"
"397","Chris Thorburn","ATL","R","35","1983-06-03","Sault Ste. Marie","ON","CAN","CAN","75","235","2001","BUF","2","20","50"
"227","Christian Backman","CBJ","D","38","1980-04-28","Gothenburg","","SWE","SWE","76","210","1998","STL","1","24","24"
"411","Christian Ehrhoff","S.J","D","36","1982-07-06","Moers","","DEU","DEU","74","201","2001","S.J","4","10","106"
"884","Christian Hanson","TOR","C","32","1986-03-10","Glens Falls,","NY","USA","USA","76","228","-","-","-","-","-"
"413","Christoph Schubert","OTT","D","36","1982-02-05","Munich","","DEU","DEU","75","230","2001","OTT","4","31","127"
"382","Chuck Kobasew","BOS","R","36","1982-04-17","Vancouver","BC","CAN","CAN","72","192","2001","CGY","1","14","14"
"575","Clarke MacArthur","BUF","L","33","1985-04-06","Lloydminster","AB","CAN","CAN","72","192","2003","BUF","3","6","74"
"802","Claude Giroux","PHI","C","30","1988-01-12","Hearst","ON","CAN","CAN","71","185","2006","PHI","1","22","22"
"8","Claude Lemieux","S.J","R","53","1965-07-16","Buckingham","QC","CAN","CAN","73","215","1983","MTL","2","5","26"
"774","Clay Wilson","ATL, CBJ","D","35","1983-04-05","Sturgeon Lake","MN","USA","USA","72","195","-","-","-","-","-"
"748","Cody Bass","OTT","C","31","1987-01-07","Owen sound","ON","CAN","CAN","72","205","2005","OTT","4","4","95"
"418","Cody McCormick","COL","C","35","1983-04-18","London","ON","CAN","CAN","74","222","2001","COL","5","13","144"
"708","Cody McLeod","COL","L","34","1984-06-26","Binscarth","MB","CAN","CAN","74","204","-","-","-","-","-"
"387","Colby Armstrong","ATL","R","36","1982-11-23","Lloydminster","SK","CAN","CAN","74","185","2001","PIT","1","21","21"
"573","Colin Fraser","CHI","C","33","1985-01-28","Sicamous","BC","CAN","CAN","73","190","2003","PHI","3","1","69"
"415","Colin Stuart","ATL","L","36","1982-07-08","Rochester","MN","USA","USA","74","205","2001","ATL","5","4","135"
"153","Colin White","N.J","D","40","1977-12-12","New glasgow","NS","CAN","CAN","76","215","1996","N.J","2","23","49"
"848","Colton Gillies","MIN","C","29","1989-02-12","White Rock","BC","CAN","CAN","76","208","2007","MIN","1","16","16"
"362","Colton Orr","NYR","R","36","1982-03-03","Winnipeg","MB","CAN","CAN","75","222","-","-","-","-","-"
"509","Connor James","PIT","L","36","1982-08-25","Calgary","AB","CAN","CAN","70","180","2002","L.A","9","19","279"
"554","Corey Perry","ANA","R","33","1985-05-16","Peterborough","ON","CAN","CAN","75","206","2003","ANA","1","28","28"
"585","Corey Potter","NYR","D","34","1984-01-05","Lansing","MI","USA","USA","75","204","2003","NYR","4","21","122"
"832","Cory Murphy","FLA, T.B","D","40","1978-02-13","Kanata","ON","CAN","CAN","69","175","-","-","-","-","-"
"149","Cory Sarich","CGY","D","40","1978-08-16","Saskatoon","SK","CAN","CAN","76","207","1996","BUF","2","1","27"
"50","Cory Stillman","FLA","L","44","1973-12-20","Peterborough","ON","CAN","CAN","72","193","1992","CGY","1","6","6"
"169","Craig Adams","CHI, PIT","R","41","1977-04-26","Seria","","BRN","CAN","72","200","1996","HFD","9","8","223"
"21","Craig Conroy","CGY","C","47","1971-09-04","Potsdam","NY","USA","USA","74","193","1990","MTL","6","18","123"
"160","Craig MacDonald","CBJ","C","41","1977-04-07","Antigonish","NS","CAN","CAN","73","201","1996","HFD","4","8","88"
"56","Craig Rivet","BUF","D","44","1974-09-13","North Bay","ON","CAN","CAN","74","207","1992","MTL","3","20","68"
"355","Craig Weller","MIN","R","37","1981-03-17","Calgary","AB","CAN","CAN","76","220","2000","STL","5","37","167"
"620","Curtis Glencross","CGY","L","35","1982-12-28","Kindersley","SK","CAN","CAN","73","197","-","-","-","-","-"
"147","Dainius Zubrus","N.J","C","40","1978-06-16","Elektrenai","","LTU","LTU","77","225","1996","PHI","1","15","15"
"215","Dan Boyle","S.J","D","42","1976-07-12","Ottawa","ON","CAN","CAN","71","194","-","-","-","-","-"
"564","Dan Fritsche","MIN, NYR","C","33","1985-07-13","Parma","OH","USA","USA","73","204","2003","CBJ","2","16","46"
"769","Dan Girardi","NYR","D","34","1984-04-29","Welland","ON","CAN","CAN","73","212","-","-","-","-","-"
"380","Dan Hamhuis","NSH","D","35","1982-12-13","Smithers","BC","CAN","CAN","73","204","2001","NSH","1","12","12"
"171","Dan Hinote","STL","R","41","1977-01-30","Leesburg","FL","USA","USA","72","187","1996","COL","7","5","167"
"286","Dan Jancevski","DAL","D","37","1981-06-15","Windsor","ON","CAN","CAN","75","222","1999","DAL","2","38","66"
"150","Dan Lacouture","CAR","L","41","1977-04-18","Hyannis","MA","USA","USA","74","215","1996","NYI","2","3","29"
"113","Daniel Alfredsson","OTT","R","45","1972-12-11","Gothenburg","","SWE","SWE","71","203","1994","OTT","6","3","133"
"146","Daniel Briere","PHI","C","41","1977-10-06","Gatineau","QC","CAN","CAN","69","174","1996","PHX","1","24","24"
"574","Daniel Carcillo","PHI, PHX","L","33","1985-01-28","King City","ON","CAN","CAN","72","200","2003","PIT","3","5","73"
"191","Daniel Cleary","DET","R","39","1978-12-18","Carbonear","NL","CAN","CAN","73","205","1997","CHI","1","13","13"
"497","Daniel Paille","BUF","L","34","1984-04-15","Welland","ON","CAN","CAN","73","188","2002","BUF","1","20","20"
"270","Daniel Sedin","VAN","L","38","1980-09-26","Ornskoldsvik","","SWE","SWE","73","190","1999","VAN","1","2","2"
"131","Daniel Tjarnqvist","COL","D","42","1976-10-14","Umea","","SWE","SWE","73","207","1995","FLA","4","10","88"
"696","Daniel Winnik","PHX","L","33","1985-03-06","Toronto","ON","CAN","CAN","74","210","2004","PHX","9","7","265"
"617","Danny Syvret","PHI","D","33","1985-06-13","Millgrove","ON","CAN","CAN","72","205","2005","EDM","3","20","81"
"316","Dany Heatley","OTT","L","37","1981-01-21","Freiburg","","DEU","CAN","75","212","2000","ATL","1","2","2"
"357","Darcy Hordichuk","VAN","L","38","1980-08-10","Kamsack","SK","CAN","CAN","73","215","2000","ATL","6","13","180"
"85","Darcy Tucker","COL","R","43","1975-03-15","Castor","AB","CAN","CAN","70","178","1993","MTL","6","21","151"
"756","Darren Helm","DET","C","31","1987-01-21","St. Andrews","MB","CAN","CAN","72","196","2005","DET","5","7","132"
"54","Darren McCarty","DET","R","46","1972-04-01","Burnaby","BC","CAN","CAN","73","210","1992","DET","2","22","46"
"833","Darroll Powe","PHI","C","33","1985-06-22","Saskatoon","SK","CAN","CAN","71","212","-","-","-","-","-"
"32","Darryl Sydor","DAL, PIT","D","46","1972-05-13","Edmonton","AB","CAN","CAN","73","211","1990","L.A","1","7","7"
"646","Dave Bolland","CHI","C","32","1986-06-05","Mimico","ON","CAN","CAN","72","188","2004","CHI","2","2","32"
"571","David Backes","STL","R","34","1984-05-01","Minneapolis","MN","USA","USA","75","215","2003","STL","2","32","62"
"652","David Booth","FLA","L","34","1984-11-24","Detroit","MI","USA","USA","72","212","2004","FLA","2","23","53"
"614","David Clarkson","N.J","R","34","1984-03-31","Toronto","ON","CAN","CAN","72","207","-","-","-","-","-"
"326","David Hale","PHX","D","37","1981-06-18","Colorado Springs","CO","USA","USA","73","222","2000","N.J","1","22","22"
