"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"181","Aaron Downey","DET","R","44","1974-08-27","Shelburne","ON","CAN","CAN","73","215","-","-","-","-","-"
"406","Aaron Johnson","CHI","D","35","1983-04-30","Port Hawkesbury","NS","CAN","CAN","73","204","2001","CBJ","3","22","85"
"618","Aaron MacKenzie","COL","D","37","1981-03-07","Terrace bay","ON","CAN","CAN","73","195","-","-","-","-","-"
"514","Aaron Rome","CBJ","D","35","1983-09-27","Nesbitt","MB","CAN","CAN","73","220","2002","L.A","4","8","104"
"432","Aaron Voros","NYR","L","37","1981-07-02","Vancouver","BC","CAN","CAN","74","210","2001","N.J","8","2","229"
"37","Aaron Ward","BOS","D","45","1973-01-17","Windsor","ON","CAN","CAN","74","209","1991","WIN","1","5","5"
"459","Adam Burish","CHI","R","35","1983-01-06","Madison","WI","USA","USA","73","195","2002","CHI","9","22","282"
"22","Adam Foote","COL","D","47","1971-07-10","Toronto","ON","CAN","CAN","74","220","1989","QUE","2","1","22"
"281","Adam Hall","T.B","R","38","1980-08-14","Kalamazoo","MI","USA","USA","74","212","1999","NSH","2","24","52"
"199","Adam Mair","BUF","C","39","1979-02-15","Hamilton","ON","CAN","CAN","73","208","1997","TOR","4","4","84"
"684","Adam Pardy","CGY","D","34","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"58","Adrian Aucoin","CGY","D","45","1973-07-03","Ottawa","ON","CAN","CAN","74","215","1992","VAN","5","21","117"
"381","Ales Hemsky","EDM","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"259","Ales Kotalik","BUF, EDM","R","39","1978-12-23","Jindrichuv Hradec","","CZE","CZE","73","225","1998","BUF","6","19","164"
