"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"221","Henrik Sedin","VAN","C","82","1614.5666666667","29","83","46","37","112","83.58","166","17.47","262","208","180","102","5","20","48","24","24","0","0","25","42","44","13","63","13","756","771","49.51"
"540","Alex Ovechkin","WSH","L","72","1569.4166666667","50","59","37","22","109","73.65","368","13.59","822","540","364","88","27","43","89","28","22","3","3","33","76","66","185","119","20","10","12","45.45"
"634","Sidney Crosby","PIT","C","81","1778.3166666667","51","58","36","22","109","78.99","298","17.11","498","401","305","128","22","28","71","34","33","1","0","36","77","43","63","96","43","1001","789","55.92"
"753","Nicklas Backstrom","WSH","C","82","1676.5833333333","33","68","42","26","101","67.33","222","14.86","364","299","215","89","5","21","50","21","20","0","1","20","52","54","90","110","62","667","669","49.93"
"837","Steven Stamkos","T.B","C","82","1683.7666666667","51","44","27","17","95","74.80","297","17.17","534","420","283","88","14","16","38","19","19","0","0","23","55","47","68","61","38","481","523","47.91"
"166","Martin St. Louis","T.B","R","82","1787.2333333333","29","65","34","31","94","77.69","242","11.98","408","343","256","98","14","21","12","6","6","0","0","33","59","62","20","73","40","71","86","45.22"
"190","Brad Richards","DAL","C","80","1669.15","24","67","43","24","91","74.59","284","8.45","571","426","183","54","12","30","14","7","7","0","0","10","73","57","16","62","22","587","553","51.49"
"142","Joe Thornton","S.J","C","79","1568.6","20","69","43","26","89","77.39","141","14.18","233","185","143","72","5","16","54","27","27","0","0","32","88","71","113","72","29","662","566","53.91"
"807","Patrick Kane","CHI","R","82","1575.0666666667","30","58","33","25","88","83.02","261","11.49","474","367","285","97","11","23","20","10","10","0","0","34","41","51","17","118","17","9","13","40.91"
"260","Marian Gaborik","NYR","R","76","1614.7333333333","42","44","31","13","86","77.48","272","15.44","478","383","366","165","16","27","37","17","16","1","0","18","46","25","59","99","31","2","5","28.57"
"220","Daniel Sedin","VAN","L","63","1205.75","29","56","35","21","85","78.70","225","12.89","396","324","233","117","4","23","28","14","14","0","0","7","28","25","8","47","3","11","22","33.33"
"309","Ilya Kovalchuk","ATL, N.J","R","76","1674.7","41","44","28","16","85","74.56","290","14.14","562","407","250","70","12","29","43","16","14","1","1","32","73","34","30","53","20","7","23","23.33"
"392","Alexander Semin","WSH","R","73","1396","40","44","26","18","84","67.20","278","14.39","539","386","291","91","23","30","66","33","33","0","0","36","58","61","30","77","21","6","10","37.50"
"143","Patrick Marleau","S.J","C, L","82","1738.8833333333","44","39","22","17","83","70.94","275","16.00","473","384","297","130","27","34","22","11","11","0","0","23","69","53","76","90","33","316","299","51.38"
"259","Dany Heatley","S.J","L","82","1658.7166666667","39","43","26","17","82","72.57","280","13.93","518","397","332","154","20","46","54","26","26","0","0","18","55","38","81","161","35","14","21","40.00"
"456","Zach Parise","N.J","L","81","1601.75","38","44","27","17","82","74.55","347","10.95","514","445","310","152","25","29","32","16","16","0","0","47","30","49","108","149","34","18","30","37.50"
"642","Anze Kopitar","L.A","C","82","1786.4166666667","34","47","22","25","81","72.32","259","13.13","453","369","234","91","14","28","16","8","8","0","0","20","46","36","80","174","51","602","609","49.71"
"631","Paul Stastny","COL","C","81","1732.9666666667","20","59","39","20","79","71.17","199","10.05","319","259","232","132","12","34","50","23","23","0","0","26","35","59","42","68","53","851","852","49.97"
"541","Evgeni Malkin","PIT","C","67","1396.75","28","49","32","17","77","74.76","268","10.45","463","367","276","99","15","27","100","49","49","0","0","50","51","56","58","116","25","199","299","39.96"
"466","Corey Perry","ANA","R","82","1726.95","27","49","28","21","76","61.79","270","10.00","450","376","299","164","19","19","111","43","38","3","2","40","54","38","93","128","34","6","22","21.43"
"559","Mike Green","WSH","D","75","1911.2","19","57","30","27","76","47.20","205","9.27","458","308","136","24","12","26","54","27","27","0","0","31","73","44","133","149","105","0","0","-"
"462","Ryan Kesler","VAN","C","82","1609.45","25","50","29","21","75","76.53","214","11.68","387","314","228","111","7","30","104","38","32","4","2","63","28","83","95","140","73","772","629","55.10"
"84","Daniel Alfredsson","OTT","R","70","1376.5833333333","20","51","25","26","71","78.89","169","11.83","317","236","156","58","6","12","22","11","11","0","0","9","45","76","42","61","36","14","26","35.00"
"312","Mikko Koivu","MIN","C","80","1659.5","22","49","22","27","71","77.17","246","8.94","413","346","225","84","9","15","50","25","25","0","0","20","60","55","50","50","52","864","654","56.92"
"470","Loui Eriksson","DAL","L","82","1620.3166666667","29","42","17","25","71","69.61","214","13.55","352","297","237","143","17","20","26","12","12","0","0","28","33","46","31","177","48","4","7","36.36"
"172","Vincent Lecavalier","T.B","C","82","1622.0166666667","24","46","23","23","70","73.68","295","8.14","491","392","277","108","11","31","63","26","24","1","1","22","47","33","80","36","21","771","678","53.21"
"210","Pavel Datsyuk","DET","C","80","1627.8333333333","27","43","26","17","70","72.92","203","13.30","369","274","220","76","16","14","18","9","9","0","0","37","73","132","89","113","33","590","480","55.14"
"238","Henrik Zetterberg","DET","L","74","1485.0333333333","23","47","26","21","70","72.92","309","7.44","530","424","300","104","15","13","26","13","13","0","0","22","49","53","45","99","34","544","554","49.54"
"337","Tomas Plekanec","MTL","C","82","1637.0666666667","25","45","26","19","70","77.78","216","11.57","379","283","199","75","17","23","50","25","25","0","0","26","58","46","51","60","63","791","824","48.98"
"443","Eric Staal","CAR","C","70","1449.7","29","41","25","16","70","69.31","277","10.47","511","388","291","147","19","37","68","26","24","0","2","24","42","45","75","76","18","486","676","41.82"
"95","Jarome Iginla","CGY","R","82","1689.3333333333","32","37","21","16","69","78.41","258","12.40","500","361","228","82","21","14","58","20","14","6","0","36","54","45","86","95","36","152","171","47.06"
"328","Derek Roy","BUF","C","80","1550.7833333333","26","43","29","14","69","81.18","215","12.09","395","304","211","90","13","25","48","24","24","0","0","35","68","51","27","68","47","617","608","50.37"
"422","Duncan Keith","CHI","D","82","2181.3166666667","14","55","23","32","69","53.91","213","6.57","447","302","93","15","6","25","51","24","23","1","0","13","59","45","46","91","143","0","0","-"
"458","Ryan Getzlaf","ANA","C","66","1430.3333333333","19","50","34","16","69","71.13","149","12.75","284","217","159","46","5","14","79","35","32","3","0","19","54","39","178","69","49","533","591","47.42"
"765","Jonathan Toews","CHI","C","76","1520.7","25","43","30","13","68","62.96","202","12.38","297","257","213","128","8","15","47","22","21","1","0","34","24","69","56","107","33","801","596","57.34"
"183","Nik Antropov","ATL","C","76","1385.2833333333","24","43","23","20","67","68.37","126","19.05","205","166","125","71","5","10","44","22","22","0","0","20","40","30","82","35","35","481","627","43.41"
"377","Rick Nash","CBJ","R","76","1591.4166666667","33","34","24","10","67","68.37","254","12.99","413","320","213","91","18","18","58","25","23","2","0","39","26","41","121","59","25","11","11","50.00"
"435","Alexandre Burrows","VAN","L","82","1464.6","35","32","20","12","67","71.28","209","16.75","325","271","208","118","13","16","121","51","48","1","2","48","23","68","97","117","54","14","20","41.18"
"553","Travis Zajac","N.J","C","82","1657.6833333333","25","42","22","20","67","69.79","210","11.90","328","271","190","85","8","18","24","12","12","0","0","17","28","51","64","73","29","726","647","52.88"
