Sep. 10,Prospect,Team,type,Prospect Rating,Aug. 10,July 10
128,Adam Mascherin,DAL,os,48.3,126,126
129,Sasha Chmelevski,SJS,o,48.3,127,127
130,Ryan McLeod,EDM,o,48.3,128,128
131,Ty Rattie,EDM,o,47.7,129,133
132,Mason Appleton,WPG,o,47.5,130,130
133,Shane Gersich,WAS,o,47.5,168,169
134,Jeremy Bracco,TOR,o,47.3,131,131
135,Nikita Gusev,VGK,os,47.2,132,132
136,Mike Amadio,LAK,o,47.1,133,120
137,David Pope,DET,o,46.7,135,135
138,Filip Chlapik,OTT,o,46.5,136,136
139,Mathieu Joseph,TBL,t,46.5,137,137
140,Mike Vecchione,PHI,os,46.4,138,138
141,Samuel Blais,STL,o,46.4,139,139
142,AJ Greer,COL,p,46.4,140,140
143,Justin Bailey,BUF,o,46.4,141,141
144,Mitchell Stephens,TBL,t,46.4,142,142
145,Travis Boyd,WAS,o,46.2,143,143
146,Alexandre Texier,CBJ,o,46.2,145,145
147,Erik Foley,STL,o,46,146,147
148,Kerby Rychel,MON,p,45.9,148,146
149,Matthew Highmore,CHI,o,45.9,225,223
150,Adam Brooks,TOR,o,45.9,150,150
151,Wade Allison,PHI,o,45.8,151,151
152,Dillon Dube,CGY,o,45.8,152,152
153,Henrik Haapala,FLA,o,45.8,153,164
154,Dmytro Timashov,TOR,o,45.6,154,153
155,Riley Tufte,DAL,p,45.5,155,154
156,Sergei Shumakov,WAS,o,45.4,NR,NR
157,Lukas Jasek,VAN,t,45.4,156,156
158,Jonatan Berggren,DET,o,45.4,157,157
159,Michael Lindqvist,NYR,o,45.3,144,144
160,Nikita Soshnikov,STL,o,45.2,158,158
161,Alexander Volkov,TBL,o,45,159,159
162,Maxime Comtois,ANA,p,45,160,160
163,Victor Ejdsell,CHI,p,44.9,161,161
164,Mikhail Vorobyov,PHI,o,44.8,163,163
165,Kalle Kossila,ANA,o,44.7,164,165
166,Ville Meskanen,NYR,o,44.6,NR,NR
167,Axel Holmstrom,DET,o,44.5,165,166
168,Brendan Lemieux,WPG,p,44.5,166,167
169,C.J. Smith,BUF,o,44.4,167,168
170,Tanner Laczynski,PHI,o,44.4,169,170
171,Rourke Chartier,SJS,o,44.1,171,172
172,Oskar Sundqvist,STL,t,44.1,172,173
173,Taylor Leier,PHI,o,44.1,173,174
174,Tyler Lewis,COL,o,44,174,176
175,Rem Pitlick,NSH,p,44,175,177
176,Jonny Brodzinski,LAK,o,43.9,177,155
177,Francis Perron,OTT,o,43.7,178,178
178,Dmitry Sokolov,MIN,o,43.7,179,179
179,Nicholas Baptiste,BUF,o,43.4,180,180
180,Tyler Benson,EDM,o,43.4,181,181
181,Calvin Thurkauf,CBJ,p,43.4,182,182
182,Joey Anderson,NJD,o,43.3,183,183
183,Zach Sanford,STL,o,43.1,184,184
184,Akil Thomas,LAK,o,43.1,185,175
185,Michael Dal Colle,NYI,o,43.1,186,185
186,Marcus Davidsson,BUF,t,43,187,186
187,Stelio Mattheos,CAR,o,43,188,187
188,Jay O'Brien,PHI,t,43,189,188
189,Tomas Hyka,VGK,o,42.9,190,189
190,Joseph Blandisi,ANA,o,42.9,191,190
191,Peter Cehlarik,BOS,o,42.7,192,191
192,Laurent Dauphin,ARI,o,42.7,193,192
193,Michael Spacek,WPG,o,42.7,194,193
194,Martins Dzierkals,TOR,o,42.6,162,162
195,Alexander Khokhlachev,BOS,o,42.6,195,194
196,Jonah Gadjovich,VAN,p,42.5,196,195
197,Jack Drury,CAR,t,42.5,197,196
198,Antoine Morand,ANA,o,42.5,198,197
199,Nolan Stevens,STL,o,42.4,199,198
200,Alex Barre-Boulet,TBL,os,42.2,200,199
