;Last Name_18;First Name_18;Team(s)_18;GP_18;W_18;OTL_18;SO_18;PTS_18;PTS/G_18;END;SALARY;Cap_Hit
SATERIHARRI;Sateri;Harri;FLA;9;4;0;0;8;0.8888888888888888;;;
GLASSJEFF;Glass;Jeff;CHI;15;3;3;0;9;0.6;;;
RITTICHDAVID;Rittich;David;CGY;21;8;3;0;19;0.9047619047619048;;;
JONESMARTIN;Jones;Martin;SJS;60;30;6;4;70;1.1666666666666667;;3000000.0;5750000.0
GREISSTHOMAS;Greiss;Thomas;NYI;27;13;2;1;29;1.0740740740740742;20.0;3333333.0;3333333.0
DEMKOTHATCHER;Demko;Thatcher;VAN;1;1;0;0;2;2.0;;;
HELLEBUYCKCONNOR;Hellebuyck;Connor;WPG;67;44;9;6;103;1.537313432835821;;2250000.0;6166666.0
GIBSONJOHN;Gibson;John;ANA;60;31;7;4;73;1.2166666666666666;19.0;2300000.0;2300000.0
JARRYTRISTAN;Jarry;Tristan;PIT;26;14;2;2;32;1.2307692307692308;;;
GIBSONCHRISTOPHER;Gibson;Christopher;NYI;8;2;2;0;6;0.75;;;
HILLADIN;Hill;Adin;ARI;4;1;0;0;2;0.5;;;
HALVERSONBRANDON;Halverson;Brandon;NYR;1;0;0;0;0;0.0;;;
COMRIEERIC;Comrie;Eric;WPG;3;1;0;0;2;0.6666666666666666;;;
WARDCAM;Ward;Cam;CAR;43;23;4;2;52;1.2093023255813953;;3300000.0;3000000.0
NEUVIRTHMICHAL;Neuvirth;Michal;PHI;22;9;3;1;22;1.0;19.0;2500000.0;2500000.0
LANGHAMERMAREK;Langhamer;Marek;ARI;1;0;0;0;0;0.0;;;
ULLMARKLINUS;Ullmark;Linus;BUF;5;1;0;0;2;0.4;19.0;750000.0;750000.0
HALAKJAROSLAV;Halak;Jaroslav;NYI;54;20;6;1;47;0.8703703703703703;;4500000.0;2750000.0
JOHNSONCHAD;Johnson;Chad;BUF;36;10;3;0;23;0.6388888888888888;;2500000.0;1750000.0
LAGACEMAXIME;Lagace;Maxime;VGK;16;6;1;0;13;0.8125;;;
ELLIOTTBRIAN;Elliott;Brian;PHI;43;23;7;1;54;1.255813953488372;19.0;2750000.0;2750000.0
MASONSTEVE;Mason;Steve;WPG;13;5;1;1;12;0.9230769230769231;19.0;4100000.0;
KHUDOBINANTON;Khudobin;Anton;BOS;31;16;7;1;40;1.2903225806451613;;1200000.0;2500000.0
TAYLORDANIEL;Taylor;Daniel;OTT;1;0;0;0;0;0.0;;;
BERRARETO;Berra;Reto;ANA;5;1;0;0;2;0.4;;700000.0;
REIMERJAMES;Reimer;James;FLA;44;22;6;4;54;1.2272727272727273;21.0;3400000.0;3400000.0
FOSTERSCOTT;Foster;Scott;CHI;1;0;0;0;0;0.0;;;
RINNEPEKKA;Rinne;Pekka;NSH;59;42;4;8;96;1.6271186440677967;19.0;7000000.0;7000000.0
NIEMIANTTI;Niemi;Antti;MTL;24;7;4;1;19;0.7916666666666666;;700000.0;950000.0
BERNIERJONATHAN;Bernier;Jonathan;COL;37;19;3;2;43;1.162162162162162;;2750000.0;3000000.0
DESMITHCASEY;DeSmith;Casey;PIT;14;6;1;1;14;1.0;;;675000.0
MARKSTROMJACOB;Markstrom;Jacob;VAN;60;23;7;2;55;0.9166666666666666;20.0;3666667.0;3666667.0
ALLENJAKE;Allen;Jake;STL;59;27;3;1;58;0.9830508474576272;21.0;4350000.0;4350000.0
HUTTONCARTER;Hutton;Carter;STL;32;17;3;3;40;1.25;;1125000.0;2750000.0
VARLAMOVSEMYON;Varlamov;Semyon;COL;51;24;6;2;56;1.0980392156862746;19.0;5900000.0;5900000.0
ANDERSONCRAIG;Anderson;Craig;OTT;58;23;6;2;54;0.9310344827586207;;4200000.0;4750000.0
DELLAARON;Dell;Aaron;SJS;29;15;4;2;36;1.2413793103448276;;;1900000.0
