"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"815","Ville Koistinen","NSH","D","48","806.23333333333","4","13","7","6","17","30.91","60","6.67","131","89","24","2","1","7","18","9","9","0","0","12","14","7","37","49","30","0","0","-"
"842","Cory Murphy","FLA","D","47","723.4","2","15","7","8","17","39.53","65","3.08","135","94","24","2","4","6","22","11","11","0","0","5","16","7","11","31","39","0","0","-"
"31","Adam Foote","CBJ, COL","D","75","1754.25","1","15","3","12","16","30.77","66","1.52","139","96","19","4","3","7","107","40","36","1","3","26","18","18","93","72","148","0","0","-"
"61","Martin Rucinsky","STL","L","40","600.43333333333","5","11","8","3","16","66.67","67","7.46","107","92","57","25","4","3","40","20","20","0","0","11","8","8","19","33","8","7","6","53.85"
"64","Steve Staios","EDM","D","82","1805.5833333333","7","9","2","7","16","26.23","73","9.59","170","117","37","6","3","12","121","49","43","5","1","27","84","33","81","92","187","1","0","100.00"
"66","Sandis Ozolinsh","S.J","D","39","662.26666666667","3","13","9","4","16","42.11","39","7.69","103","64","32","4","3","9","24","12","12","0","0","5","28","6","28","44","32","0","0","-"
"79","Sergei Brylin","N.J","L","82","1110.6833333333","6","10","4","6","16","59.26","65","9.23","119","85","65","29","1","4","20","10","10","0","0","11","13","25","58","72","26","88","104","45.83"
"93","Rob Niedermayer","ANA","C","78","1381.8","8","8","5","3","16","61.54","111","7.21","179","151","110","45","10","6","54","26","26","0","0","34","45","33","61","98","28","23","46","33.33"
"119","Todd Marchant","ANA","C","75","1111.7833333333","9","7","4","3","16","69.57","93","9.68","149","131","93","41","8","6","48","23","23","0","0","14","16","28","82","78","52","331","342","49.18"
"276","Bryan Allen","FLA","D","73","1554.0833333333","2","14","4","10","16","28.57","67","2.99","164","102","25","1","2","8","65","28","25","3","0","16","25","27","112","146","119","0","0","-"
"299","Jarkko Ruutu","PIT","L","71","724.7","6","10","7","3","16","80.00","55","10.91","106","83","56","26","4","5","138","48","39","6","3","35","12","21","134","90","19","4","6","40.00"
"338","Barret Jackman","STL","D","78","1747.2333333333","2","14","6","8","16","27.59","80","2.50","164","112","32","3","4","5","91","38","33","5","0","37","40","31","135","92","124","0","0","-"
"371","Jerred Smithson","NSH","C","81","978.61666666667","7","9","6","3","16","84.21","61","11.48","107","79","50","15","3","4","50","18","15","2","1","18","18","36","128","59","44","298","274","52.10"
"403","Andy Hilbert","NYI","L","70","943.35","8","8","5","3","16","57.14","127","6.30","201","167","102","45","10","11","18","9","9","0","0","17","24","46","39","88","50","99","121","45.00"
"550","Boyd Gordon","WSH","C","67","1054.1666666667","7","9","4","5","16","61.54","100","7.00","166","138","99","42","5","8","12","6","6","0","0","13","15","28","19","109","50","504","400","55.75"
"816","Bryan Little","ATL","C","48","749.25","6","10","9","1","16","53.33","76","7.89","120","95","80","31","4","4","18","8","8","0","0","13","12","26","15","24","8","228","277","45.15"
"822","Jiri Tlusty","TOR","L","58","633.08333333333","10","6","3","3","16","72.73","69","14.49","127","100","69","24","4","5","14","7","7","0","0","9","8","17","39","102","16","1","1","50.00"
"16","Gary Roberts","PIT","L","38","506.75","3","12","9","3","15","78.95","41","7.32","64","54","51","29","1","6","40","17","15","2","0","14","9","11","43","29","5","5","2","71.43"
"127","Greg De Vries","NSH","D","77","1452.1833333333","4","11","3","8","15","24.19","66","6.06","121","90","23","3","2","7","71","26","23","1","2","11","24","27","72","92","94","0","0","-"
"218","Samuel Pahlsson","ANA","C","56","1051.3666666667","6","9","3","6","15","68.18","94","6.38","152","126","73","18","8","5","34","17","17","0","0","23","22","33","114","41","24","586","480","54.97"
"259","Andrew Ference","BOS","D","59","1312.4166666667","1","14","9","5","15","37.50","71","1.41","178","105","42","3","2","10","50","21","19","2","0","17","29","10","79","73","65","1","0","100.00"
"366","Radek Martinek","NYI","D","69","1577.9","0","15","6","9","15","37.50","98","0.00","175","120","32","10","3","12","40","20","20","0","0","10","48","66","80","58","134","0","0","-"
"392","Anton Volchenkov","OTT","D","67","1374.1666666667","1","14","4","10","15","29.41","71","1.41","169","110","50","6","2","8","55","22","20","1","1","17","32","23","153","98","209","0","0","-"
"401","Nick Schultz","MIN","D","81","1632.8833333333","2","13","1","12","15","25.86","52","3.85","132","92","29","7","3","7","42","18","16","2","0","15","37","20","101","124","147","0","0","-"
"492","Dennis Seidenberg","CAR","D","47","885.2","0","15","7","8","15","33.33","80","0.00","178","110","39","4","3","8","18","9","9","0","0","13","12","7","110","110","81","1","0","100.00"
"624","Patrick Eaves","CAR, OTT","R","37","472.2","5","10","6","4","15","68.18","81","6.17","137","112","85","36","6","9","10","5","5","0","0","14","11","18","42","51","12","1","2","33.33"
"635","Matt Carle","S.J","D","62","1026.3333333333","2","13","8","5","15","32.61","63","3.17","120","87","35","4","3","7","26","13","13","0","0","5","43","17","29","67","62","1","0","100.00"
"648","Clarke MacArthur","BUF","L","37","538.83333333333","8","7","5","2","15","53.57","51","15.69","83","66","48","18","5","3","20","10","10","0","0","5","13","9","36","45","11","4","10","28.57"
"720","Blake Comeau","NYI","L","51","595.4","8","7","6","1","15","60.00","67","11.94","120","89","63","30","10","3","22","10","10","0","0","16","16","28","60","37","6","8","19","29.63"
