"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"850","Aaron Ekblad","FLA","D","22","1996-02-07","Windsor","ON","CAN","CAN","76","220","2014","FLA","1","1","1"
"390","Aaron Ness","WSH","D","28","1990-05-18","Roseau","MN","USA","USA","70","184","2008","NYI","2","10","40"
"647","Adam Clendening","EDM, PIT","D","26","1992-10-26","Niagara Falls","NY","USA","USA","72","196","2011","CHI","2","6","36"
"205","Adam Cracknell","EDM, VAN","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","209","2004","CGY","9","21","279"
"401","Adam Henrique","N.J","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","197","2008","N.J","3","21","82"
"667","Adam Larsson","N.J","D","26","1992-11-12","Skellefteå","","SWE","SWE","75","208","2011","N.J","1","4","4"
"628","Adam Lowry","WPG","C","25","1993-03-29","St. Louis","MO","USA","USA","77","210","2011","WPG","3","6","67"
"229","Adam McQuaid","BOS","D","32","1986-10-12","Charlottetown","PE","CAN","CAN","76","210","2005","CBJ","2","25","55"
"199","Adam Pardy","EDM, WPG","D","34","1984-03-29","Bonavista","NL","CAN","CAN","76","227","2004","CGY","6","10","173"
"743","Adam Pelech","NYI","D","24","1994-08-16","Toronto","ON","CAN","CAN","75","218","2012","NYI","3","4","65"
"636","Alan Quine","NYI","C","25","1993-02-25","Belleville","ON","CAN","CAN","72","203","2013","NYI","6","15","166"
"354","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","209","2007","L.A","4","4","95"
"808","Aleksander Barkov","FLA","C","23","1995-09-02","Tampere","","FIN","FIN","75","213","2013","FLA","1","2","2"
"67","Ales Hemsky","DAL","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"258","Alex Biega","VAN","D","30","1988-04-04","Montreal","QC","CAN","CAN","70","199","2006","BUF","5","24","147"
"443","Alex Chiasson","OTT","R","28","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"577","Alex Friesen","VAN","C","27","1991-01-30","St. Catharines","ON","CAN","CAN","69","186","2010","VAN","6","22","172"
"708","Alex Galchenyuk","MTL","C","24","1994-02-12","Milwaukee","WI","USA","USA","73","207","2012","MTL","1","3","3"
"184","Alex Goligoski","DAL","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"314","Alex Grant","ARI","D","29","1989-01-20","Antigonish","NS","CAN","CAN","75","210","2007","PIT","4","27","118"
"649","Alex Khokhlachev","BOS","C","25","1993-09-09","Moscow","","RUS","RUS","70","181","2011","BOS","2","10","40"
"308","Alex Killorn","T.B","L","29","1989-09-14","Halifax","NS","CAN","CAN","73","196","2007","T.B","3","16","77"
"167","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"535","Alex Petrovic","FLA","D","26","1992-03-03","Edmonton","AB","CAN","CAN","76","216","2010","FLA","2","6","36"
"370","Alex Pietrangelo","STL","D","28","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"23","Alex Tanguay","ARI, COL","L","39","1979-11-21","Ste-Justine","QC","CAN","CAN","73","194","1998","COL","1","12","12"
"557","Alexander Burmistrov","WPG","C","27","1991-10-21","Kazan","","RUS","RUS","73","180","2010","ATL","1","8","8"
"189","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","212","2004","VAN","3","26","91"
"96","Alexander Semin","MTL","R","34","1984-03-03","Krasnojarsk","","RUS","RUS","74","211","2002","WSH","1","13","13"
"110","Alexander Steen","STL","L","34","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"819","Alexander Wennberg","CBJ","C","24","1994-09-22","Stockholm","","SWE","SWE","74","196","2013","CBJ","1","14","14"
"116","Alexandre Burrows","VAN","L","37","1981-04-11","Pincourt","QC","CAN","CAN","73","197","-","-","-","-","-"
"638","Alexandre Grenier","VAN","R","27","1991-09-05","Laval","QC","CAN","CAN","77","200","2011","VAN","3","29","90"
"188","Alexei Emelin","MTL","D","32","1986-04-25","Togliatti","","RUS","RUS","74","218","2004","MTL","3","19","84"
"606","Alexey Marchenko","DET","D","26","1992-01-02","Moscow","","RUS","RUS","75","210","2011","DET","7","24","205"
