"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"340","Stephane Veilleux","T.B","L","77","946.06666666667","626","868","41.90","475","645","42.41","351","478","42.34","14","45","23.73","281","424","39.86","105","190","35.59","4","28","12.50","176","234","42.93","2","9","18.18","289","387","42.75","8","8","50.00","3.99","90.59","0.946","107","229","220","857","32.72","174","322","345","33.53"
"61","Mike Grier","BUF","R","73","1152.8833333333","845","1172","41.89","649","904","41.79","488","639","43.30","33","49","40.24","401","516","43.73","187","226","45.28","22","30","42.31","214","290","42.46","2","14","12.50","383","584","39.61","8","5","61.54","6.76","92.33","0.991","160","262","289","778","35.63","245","349","438","35.87"
"428","Patrick Dwyer","CAR","R","58","725.4","562","780","41.88","406","589","40.80","285","410","41.01","18","35","33.96","264","391","40.31","104","179","36.75","9","24","27.27","160","212","43.01","5","5","50.00","242","337","41.80","4","6","40.00","6.32","91.46","0.978","95","152","143","648","39.92","168","219","220","43.30"
"488","Ryan O'Byrne","MTL","D","55","839.38333333333","655","910","41.85","479","654","42.28","341","487","41.18","24","34","41.38","296","419","41.40","118","166","41.55","13","22","37.14","178","253","41.30","7","8","46.67","300","404","42.61","4","4","50.00","7.04","93.02","1.001","74","160","131","772","36.10","192","273","243","44.14"
"566","Raymond Sawada","DAL","R","5","40.766666666667","23","32","41.82","19","23","45.24","15","15","50.00","2","1","66.67","12","14","46.15","6","8","42.86","1","1","50.00","6","6","50.00","1","0","100.00","7","12","36.84","0","0","-","13.33","93.33","1.067","4","9","4","42","50.00","4","12","10","28.57"
"605","Derek Peltier","COL","D","3","27.016666666667","23","32","41.82","19","22","46.34","13","17","43.33","1","1","50.00","10","16","38.46","6","6","50.00","1","1","50.00","4","10","28.57","0","0","-","12","11","52.17","0","0","-","7.69","94.12","1.018","5","6","5","26","50.00","14","10","7","66.67"
"409","Steve Eminger","ANA","D","63","1227.1833333333","921","1282","41.81","715","1018","41.26","503","698","41.88","49","57","46.23","441","598","42.44","176","242","42.11","25","32","43.86","265","356","42.67","17","14","54.84","412","610","40.31","6","11","35.29","9.74","91.83","1.016","184","251","212","779","46.46","347","408","393","46.89"
"264","Ron Hainsey","ATL","D","80","1771.6833333333","1351","1884","41.76","1034","1424","42.07","778","1089","41.67","69","104","39.88","638","894","41.64","253","376","40.22","32","50","39.02","385","518","42.64","24","27","47.06","616","871","41.43","11","23","32.35","8.87","90.45","0.993","229","420","452","1000","33.63","463","637","850","35.26"
"701","Dan Girardi","NYR","D","82","1761.55","1395","1946","41.75","1027","1429","41.82","726","994","42.21","72","98","42.35","791","1056","42.83","326","461","41.42","42","51","45.16","465","595","43.87","17","23","42.50","526","772","40.52","9","23","28.13","9.92","90.14","1.001","204","351","360","1085","36.17","441","603","769","36.45"
"42","Rob Niedermayer","N.J","C","71","1193.7833333333","769","1075","41.70","593","815","42.12","431","591","42.17","40","44","47.62","365","492","42.59","135","190","41.54","21","17","55.26","230","302","43.23","9","13","40.91","341","516","39.79","8","14","36.36","9.28","92.55","1.018","173","272","208","1026","45.41","268","395","365","42.34"
"199","Krys Barch","DAL","R","63","443.83333333333","298","417","41.68","226","322","41.24","173","213","44.82","10","10","50.00","117","165","41.49","30","70","30.00","2","4","33.33","87","95","47.80","6","1","85.71","150","223","40.21","2","5","28.57","5.78","95.31","1.011","98","117","57","416","63.23","125","148","97","56.31"
"665","Marc-Andre Cliche","L.A","C","1","7.3833333333333","5","7","41.67","5","5","50.00","3","4","42.86","1","1","50.00","3","4","42.86","2","3","40.00","1","1","50.00","1","1","50.00","0","0","-","2","2","50.00","0","0","-","33.33","75.00","1.083","0","4","2","8","0.00","0","4","2","0.00"
"247","Jerred Smithson","NSH","C","69","964.1","661","928","41.60","516","705","42.26","363","518","41.20","29","59","32.95","257","432","37.30","101","194","34.24","14","39","26.42","156","238","39.59","8","15","34.78","335","430","43.79","5","5","50.00","7.99","88.61","0.966","135","250","358","736","27.38","211","349","537","28.21"
"424","Jim Slater","ATL","C","61","744.55","591","831","41.56","442","626","41.39","328","472","41.00","29","37","43.94","295","419","41.32","124","178","41.06","17","23","42.50","171","241","41.50","9","9","50.00","248","349","41.54","3","5","37.50","8.84","92.16","1.010","92","196","181","506","33.70","148","262","305","32.67"
"473","Matt Smaby","T.B","D","33","444.8","335","471","41.56","268","346","43.65","204","246","45.33","15","24","38.46","170","226","42.93","78","79","49.68","11","13","45.83","92","147","38.49","1","7","12.50","137","216","38.81","3","4","42.86","7.35","90.24","0.976","39","86","65","431","37.50","88","135","126","41.12"
"627","Cody McLeod","COL","L","74","956.65","686","965","41.55","543","700","43.68","398","515","43.59","27","49","35.53","322","402","44.48","138","170","44.81","18","30","37.50","184","232","44.23","6","11","35.29","324","478","40.40","3","8","27.27","6.78","90.49","0.973","118","226","101","918","53.88","206","296","190","52.02"
"626","Tim Sestito","N.J","L","9","110.45","67","95","41.36","47","63","42.73","35","51","40.70","2","5","28.57","25","35","41.67","13","10","56.52","0","2","0.00","12","25","32.43","2","2","50.00","36","47","43.37","0","1","0.00","5.71","90.20","0.959","11","22","10","117","52.38","20","31","26","43.48"
"683","Tom Pyatt","MTL","L","40","442.95","332","471","41.34","247","321","43.49","180","232","43.69","12","19","38.71","165","172","48.96","70","76","47.95","7","15","31.82","95","96","49.74","5","2","71.43","145","246","37.08","0","2","0.00","6.67","91.81","0.985","52","93","66","452","44.07","105","143","113","48.17"
"64","Scott Nichol","S.J","C","79","1032.0166666667","749","1065","41.29","560","812","40.82","403","559","41.89","35","46","43.21","338","492","40.72","130","179","42.07","16","24","40.00","208","313","39.92","15","13","53.57","358","496","41.92","3","9","25.00","8.68","91.77","1.005","141","227","309","894","31.33","229","353","477","32.44"
