"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"339","Sidney Crosby","PIT","C","80","1757.7833333333","36","68","34","34","104","75.91","259","13.90","421","344","256","113","13","28","46","22","22","0","0","32","56","41","47","90","28","991","896","52.52"
"231","Ryan Getzlaf","ANA","C","77","1638.9666666667","31","56","35","21","87","79.82","204","15.20","373","287","196","73","10","23","31","11","8","3","0","22","76","53","110","90","87","692","719","49.04"
"415","Claude Giroux","PHI","C","82","1675.6333333333","28","58","26","32","86","72.88","223","12.56","436","311","203","69","13","20","46","23","23","0","0","37","34","43","90","70","46","931","829","52.90"
"742","Tyler Seguin","DAL","C","80","1547.8166666667","37","47","33","14","84","78.50","294","12.59","522","417","268","106","9","33","18","5","4","0","1","26","60","67","48","47","24","281","396","41.51"
"237","Corey Perry","ANA","R","81","1577.9833333333","43","39","27","12","82","72.57","280","15.36","492","401","327","185","15","31","65","31","30","1","0","45","56","31","81","131","28","9","16","36.00"
"424","Phil Kessel","TOR","R","82","1694.6333333333","37","43","30","13","80","76.19","305","12.13","556","405","275","91","23","34","27","12","11","1","0","16","88","37","25","70","30","2","12","14.29"
"739","Taylor Hall","EDM","L","75","1500.3166666667","27","53","25","28","80","82.47","250","10.80","427","327","235","90","13","19","44","21","21","0","0","27","100","76","54","161","41","37","44","45.68"
"263","Joe Pavelski","S.J","C","82","1627.7166666667","41","38","28","10","79","77.45","225","18.22","462","353","273","122","11","33","32","15","15","0","0","26","57","56","47","72","68","675","531","55.97"
"279","Alex Ovechkin","WSH","L","78","1602.5333333333","51","28","17","11","79","73.83","386","13.21","767","567","315","72","21","26","48","24","24","0","0","25","48","32","204","104","22","2","1","66.67"
"427","Nicklas Backstrom","WSH","C","82","1624.0833333333","18","61","24","37","79","75.24","196","9.18","336","270","191","73","4","13","54","27","27","0","0","22","24","54","89","116","54","714","701","50.46"
"462","Jamie Benn","DAL","L","81","1551.3333333333","34","45","23","22","79","69.30","279","12.19","515","407","315","125","14","31","64","25","22","2","1","29","68","70","118","113","60","411","367","52.83"
"149","Patrick Sharp","CHI","L","82","1548.7","34","44","27","17","78","72.22","313","10.86","567","419","228","92","12","23","40","18","18","0","0","19","25","41","55","125","27","83","69","54.61"
"35","Joe Thornton","S.J","C","82","1552.35","11","65","36","29","76","67.86","122","9.02","226","166","129","51","5","20","32","16","16","0","0","21","96","76","54","36","34","617","482","56.14"
"542","Erik Karlsson","OTT","D","82","2217.9","20","54","26","28","74","60.66","257","7.78","589","383","130","17","8","32","36","18","18","0","0","22","115","68","122","130","101","0","0","-"
"280","Evgeni Malkin","PIT","C","60","1203.7666666667","23","49","35","14","72","71.29","191","12.04","340","252","178","73","7","15","62","31","31","0","0","36","58","37","27","100","18","303","318","48.79"
"36","Patrick Marleau","S.J","C, L","82","1682.8","33","37","23","14","70","66.67","285","11.58","482","383","298","131","21","36","18","9","9","0","0","11","65","50","85","91","29","163","145","52.92"
"346","Anze Kopitar","L.A","C","82","1713.0666666667","29","41","24","17","70","70.71","200","14.50","340","275","201","101","6","25","24","12","12","0","0","22","41","52","90","117","44","773","678","53.27"
"625","Matt Duchene","COL","C","71","1313.2666666667","23","47","31","16","70","78.65","217","10.60","374","293","240","110","12","27","19","8","7","1","0","32","36","40","53","101","44","532","526","50.28"
"49","Martin St. Louis","NYR, T.B","R","81","1696.1833333333","30","39","23","16","69","73.40","204","14.71","370","293","211","96","9","17","10","5","5","0","0","20","53","65","24","77","38","68","99","40.72"
"282","Blake Wheeler","WPG","R","82","1532.4666666667","28","41","27","14","69","81.18","225","12.44","408","324","207","88","18","30","63","26","24","1","1","30","32","36","150","145","68","15","25","37.50"
"300","David Krejci","BOS","C","80","1529.6666666667","19","50","24","26","69","66.99","169","11.24","286","230","171","71","6","9","28","14","14","0","0","22","48","45","75","101","56","618","590","51.16"
"403","Kyle Okposo","NYI","R","71","1450.7666666667","27","42","22","20","69","69.00","195","13.85","381","275","231","98","7","17","47","18","16","1","1","20","39","44","43","105","35","97","107","47.55"
"503","Patrick Kane","CHI","R","69","1353.1","29","40","24","16","69","77.53","227","12.78","402","314","236","102","15","19","22","11","11","0","0","15","23","44","16","99","15","4","4","50.00"
"217","Chris Kunitz","PIT","L","78","1494.2833333333","35","33","17","16","68","55.74","218","16.06","355","287","221","104","10","17","66","33","33","0","0","20","45","24","157","105","25","3","1","75.00"
"220","Thomas Vanek","BUF, MTL, NYI","L","78","1509.3833333333","27","41","26","15","68","70.10","248","10.89","424","328","275","142","11","29","46","23","23","0","0","12","50","31","30","39","17","20","26","43.48"
"438","Jonathan Toews","CHI","C","76","1555.4666666667","28","40","25","15","68","60.18","194","14.43","285","243","195","112","7","16","34","13","12","0","1","22","30","51","29","144","20","884","660","57.25"
"1","Jaromir Jagr","N.J","R","82","1570.9833333333","24","43","23","20","67","69.07","231","10.39","385","309","256","100","12","19","46","23","23","0","0","14","59","36","4","84","9","0","2","0.00"
"126","Jason Spezza","OTT","C","75","1365.1333333333","23","43","26","17","66","78.57","223","10.31","392","305","170","64","9","23","46","23","23","0","0","7","68","47","17","54","26","775","661","53.97"
"623","John Tavares","NYI","C","59","1253.2666666667","24","42","26","16","66","74.16","188","12.77","334","249","236","99","5","17","40","16","15","0","1","16","56","55","23","70","19","554","575","49.07"
"547","Jordan Eberle","EDM","R","80","1563.7833333333","28","37","23","14","65","73.03","200","14.00","360","273","245","89","11","24","18","9","9","0","0","19","71","61","51","131","40","8","13","38.10"
"808","Gabriel Landeskog","COL","L","81","1512.3333333333","26","39","28","11","65","69.15","222","11.71","384","294","203","94","13","30","69","33","32","1","0","26","35","64","176","134","52","13","5","72.22"
"397","Bryan Little","WPG","C","82","1640.3","23","41","24","17","64","70.33","170","13.53","291","228","201","103","10","18","48","20","19","0","1","22","31","38","84","70","38","785","868","47.49"
"616","Ryan O'Reilly","COL","C","80","1585.6333333333","28","36","16","20","64","68.82","201","13.93","320","251","195","84","12","23","2","1","1","0","0","16","33","83","22","65","43","192","179","51.75"
"741","Ryan Johansen","CBJ","C","82","1447.0166666667","33","30","18","12","63","75.90","237","13.92","391","319","213","85","15","17","43","20","19","1","0","12","40","39","114","81","39","692","619","52.78"
"872","Nathan MacKinnon","COL","C","82","1422.2166666667","24","39","22","17","63","67.02","241","9.96","388","320","233","101","8","30","26","13","13","0","0","33","28","51","57","128","45","194","258","42.92"
"202","Alexander Steen","STL","L","68","1379.1333333333","33","29","16","13","62","66.67","211","15.64","443","313","202","66","11","26","46","23","23","0","0","39","12","42","43","102","28","265","276","48.98"
"241","Patrice Bergeron","BOS","C","80","1439.3","30","32","19","13","62","65.96","243","12.35","430","336","257","103","14","14","43","20","19","1","0","17","28","49","52","97","57","1015","717","58.60"
"508","Jakub Voracek","PHI","R","82","1414.9166666667","23","39","22","17","62","60.19","235","9.79","444","305","194","61","7","30","22","11","11","0","0","21","30","33","19","96","20","4","2","66.67"
"17","Jarome Iginla","BOS","R","78","1420.8333333333","30","31","19","12","61","62.89","209","14.35","395","300","231","78","11","23","47","16","11","5","0","17","29","30","142","92","27","8","29","21.62"
