"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"389","Jamie Benn","DAL","L","82","1635.7333333333","35","52","32","20","87","72.50","253","13.83","466","356","295","141","20","34","64","26","22","4","0","34","50","76","120","101","50","298","278","51.74"
"538","John Tavares","NYI","C","82","1695.2","38","48","30","18","86","72.88","278","13.67","471","374","348","169","19","32","46","23","23","0","0","22","109","94","48","103","37","753","689","52.22"
"278","Sidney Crosby","PIT","C","77","1538.5333333333","28","56","31","25","84","80.00","237","11.81","380","315","239","107","8","25","47","18","16","1","1","29","53","37","66","117","29","797","800","49.91"
"225","Alex Ovechkin","WSH","L","81","1646.4","53","28","21","7","81","69.23","395","13.42","825","597","375","109","23","33","58","29","29","0","0","32","58","45","259","108","32","2","3","40.00"
"431","Jakub Voracek","PHI","R","82","1524.6333333333","22","59","31","28","81","76.42","221","9.95","424","291","186","75","8","29","78","28","24","2","2","30","42","34","55","139","28","6","3","66.67"
"359","Nicklas Backstrom","WSH","C","82","1683.4666666667","18","60","31","29","78","74.29","153","11.76","283","231","162","61","13","13","40","19","19","0","0","14","36","55","91","100","52","862","747","53.57"
"658","Tyler Seguin","DAL","C","71","1388.1333333333","37","40","33","7","77","76.24","280","13.21","529","390","255","77","10","36","20","10","10","0","0","17","45","45","63","34","26","275","236","53.82"
"55","Daniel Sedin","VAN","L","82","1505.2833333333","20","56","35","21","76","78.35","226","8.85","370","300","211","88","10","23","18","9","9","0","0","15","36","19","21","87","16","2","3","40.00"
"152","Jiri Hudler","CGY","R","78","1404.7333333333","31","45","29","16","76","73.79","158","19.62","270","223","191","89","12","8","14","7","7","0","0","15","32","43","27","39","14","21","25","45.65"
"56","Henrik Sedin","VAN","C","82","1526.1833333333","18","55","28","27","73","70.87","101","17.82","165","130","108","56","8","6","22","11","11","0","0","14","38","33","25","67","24","704","861","44.98"
"332","Nick Foligno","CBJ","L","79","1487.55","31","42","22","20","73","70.19","182","17.03","273","225","191","124","8","14","50","22","20","2","0","28","23","51","193","126","52","125","138","47.53"
"348","Claude Giroux","PHI","C","81","1665.7666666667","25","48","20","28","73","70.19","279","8.96","512","360","229","58","8","23","36","17","17","0","0","22","36","40","110","84","28","1063","815","56.60"
"645","Vladimir Tarasenko","STL","R","77","1356.5666666667","37","36","17","19","73","73.00","264","14.02","531","384","323","74","18","22","31","14","13","1","0","28","19","35","32","93","18","0","3","0.00"
