"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"797","Blair Jones","T.B","C","4","7.6666666666667","15","4","78.95","8","3","72.73","4","3","57.14","0","0","-","8","3","72.73","1","0","100.00","0","0","-","7","3","70.00","0","0","-","5","1","83.33","0","0","-","0.00","100.00","1.000","2","3","0","7","100.00","4","4","1","80.00"
"844","Antti Pihlstrom","NSH","L","1","9.1333333333333","10","3","76.92","8","2","80.00","7","2","77.78","0","1","0.00","5","2","71.43","3","0","100.00","0","0","-","2","2","50.00","0","1","0.00","5","1","83.33","0","0","-","0.00","50.00","0.500","1","1","0","11","100.00","5","1","1","83.33"
"416","Olli Malmivaara","N.J","D","2","17.6","15","5","75.00","13","4","76.47","8","2","80.00","2","0","100.00","9","3","75.00","6","0","100.00","1","0","100.00","3","3","50.00","1","0","100.00","6","2","75.00","0","0","-","25.00","100.00","1.250","3","3","3","21","50.00","7","3","4","63.64"
"761","Mike Iggulden","S.J","C","1","6.6666666666667","8","3","72.73","2","1","66.67","1","1","50.00","0","1","0.00","3","0","100.00","1","0","100.00","0","0","-","2","0","100.00","0","0","-","0","1","0.00","0","1","0.00","0.00","0.00","0.000","4","0","0","8","100.00","6","0","0","100.00"
"807","Clay Wilson","CBJ","D","7","118.43333333333","157","62","71.69","121","46","72.46","94","33","74.02","8","2","80.00","85","35","70.83","43","15","74.14","3","0","100.00","42","20","67.74","2","1","66.67","65","20","76.47","3","0","100.00","8.51","93.94","1.025","32","27","5","85","86.49","60","39","15","80.00"
"155","Tomas Holmstrom","DET","L","59","1035.1333333333","1388","549","71.66","1097","443","71.23","785","328","70.53","80","31","72.07","678","269","71.59","256","96","72.73","41","16","71.93","422","173","70.92","21","7","75.00","617","230","72.85","17","8","68.00","10.19","90.55","1.007","244","256","91","662","72.84","432","366","172","71.52"
"699","Alexandre Picard","CBJ","L","3","20.3","21","10","67.74","13","7","65.00","8","3","72.73","1","0","100.00","11","4","73.33","2","2","50.00","0","0","-","9","2","81.82","0","0","-","8","5","61.54","1","0","100.00","12.50","100.00","1.125","2","5","1","25","66.67","3","5","2","60.00"
"717","Bryan Bickell","CHI","L","4","36.533333333333","33","16","67.35","28","13","68.29","22","10","68.75","0","1","0.00","12","8","60.00","5","1","83.33","0","0","-","7","7","50.00","0","1","0.00","18","5","78.26","0","0","-","0.00","90.00","0.900","6","6","1","40","85.71","9","8","4","69.23"
"321","Pavel Datsyuk","DET","C","82","1753.4333333333","2128","1037","67.24","1667","800","67.57","1212","580","67.63","144","57","71.64","997","483","67.36","384","182","67.84","69","27","71.88","613","301","67.07","41","15","73.21","964","456","67.89","31","14","68.89","11.88","90.17","1.021","353","440","239","1100","59.63","634","623","387","62.10"
"561","Jiri Hudler","DET","R","81","1066.65","1180","576","67.20","942","462","67.09","698","325","68.23","57","27","67.86","531","287","64.91","203","126","61.70","30","8","78.95","328","161","67.08","16","11","59.26","561","217","72.11","11","5","68.75","8.17","91.69","0.999","270","216","66","849","80.36","397","303","134","74.76"
"362","Henrik Zetterberg","DET","L","75","1654.65","2033","1012","66.77","1596","795","66.75","1185","573","67.41","127","64","66.49","949","477","66.55","353","186","65.49","67","36","65.05","596","291","67.19","32","12","72.73","920","446","67.35","26","14","65.00","10.72","88.83","0.995","299","408","240","1034","55.47","577","587","380","60.29"
"711","Rob Schremp","EDM","C","2","13.683333333333","20","10","66.67","15","9","62.50","9","8","52.94","0","1","0.00","8","4","66.67","2","3","40.00","0","1","0.00","6","1","85.71","0","0","-","10","4","71.43","0","0","-","0.00","87.50","0.875","7","4","0","8","100.00","7","6","1","87.50"
"201","Jon Sim","NYI","L","2","28.616666666667","29","15","65.91","25","9","73.53","21","7","75.00","2","2","50.00","17","8","68.00","9","2","81.82","1","0","100.00","8","6","57.14","0","2","0.00","11","7","61.11","1","0","100.00","9.52","71.43","0.810","3","7","2","22","60.00","6","14","11","35.29"
"313","Mikael Samuelsson","DET","R","73","1187.15","1318","682","65.90","1044","530","66.33","795","377","67.83","69","24","74.19","584","338","63.34","203","123","62.27","37","11","77.08","381","215","63.93","17","10","62.96","644","272","70.31","15","2","88.24","8.68","93.63","1.023","240","270","93","930","72.07","412","373","183","69.24"
"655","Martin Lojek","FLA","D","2","12.266666666667","17","9","65.38","15","7","68.18","13","7","65.00","0","1","0.00","8","5","61.54","4","2","66.67","0","1","0.00","4","3","57.14","0","0","-","9","3","75.00","0","0","-","0.00","85.71","0.857","5","0","1","13","83.33","5","2","3","62.50"
"9","Jaromir Jagr","NYR","R","82","1678.35","1954","1043","65.20","1517","821","64.88","1089","583","65.13","94","50","65.28","1061","560","65.45","446","260","63.17","56","28","66.67","615","300","67.21","25","12","67.57","754","394","65.68","13","10","56.52","8.63","91.42","1.001","259","355","101","902","71.94","631","592","241","72.36"
"694","Alex Ovechkin","WSH","L","82","1894.3166666667","2357","1263","65.11","1761","968","64.53","1246","716","63.51","150","67","69.12","1227","594","67.38","419","233","64.26","66","36","64.71","808","361","69.12","58","17","77.33","1009","560","64.31","22","12","64.71","12.04","90.64","1.027","288","366","125","934","69.73","738","630","319","69.82"
"426","Ryan Caldwell","PHX","D","2","12.25","13","7","65.00","11","4","73.33","9","3","75.00","0","0","-","8","3","72.73","4","2","66.67","0","0","-","4","1","80.00","0","0","-","5","3","62.50","0","0","-","0.00","100.00","1.000","2","3","3","13","40.00","2","4","4","33.33"
"833","Nicklas Backstrom","WSH","C","82","1557.4166666667","1839","992","64.96","1395","760","64.73","969","559","63.42","115","57","66.86","938","457","67.24","327","179","64.62","51","34","60.00","611","278","68.73","45","8","84.91","812","443","64.70","17","13","56.67","11.87","89.80","1.017","251","342","97","916","72.13","547","539","242","69.33"
"431","Micki Dupont","STL","D","2","25.133333333333","24","13","64.86","21","7","75.00","17","6","73.91","1","0","100.00","14","6","70.00","7","1","87.50","1","0","100.00","7","5","58.33","0","0","-","9","3","75.00","0","0","-","5.88","100.00","1.059","7","5","4","16","63.64","14","6","9","60.87"
"542","Alexander Semin","WSH","R","63","1065.4","1244","682","64.59","957","526","64.53","669","386","63.41","68","49","58.12","637","338","65.33","235","121","66.01","41","28","59.42","402","217","64.94","18","14","56.25","551","288","65.67","8","6","57.14","10.16","87.31","0.975","238","219","70","543","77.27","447","344","178","71.52"
"330","Brian Rafalski","DET","D","73","1756.3166666667","2010","1111","64.40","1564","885","63.86","1140","628","64.48","119","49","70.83","937","510","64.75","359","199","64.34","62","23","72.94","578","311","65.02","34","10","77.27","905","500","64.41","22","14","61.11","10.44","92.20","1.026","349","437","189","1035","64.87","669","650","334","66.70"
"716","Chris Bourque","WSH","L","4","34.766666666667","47","26","64.38","31","18","63.27","22","12","64.71","0","0","-","20","11","64.52","6","3","66.67","0","0","-","14","8","63.64","0","0","-","25","10","71.43","0","0","-","0.00","100.00","1.000","11","6","3","27","78.57","15","7","6","71.43"
"291","Jonathan Cheechoo","S.J","R","69","1143.3333333333","1207","669","64.34","920","516","64.07","664","377","63.78","64","26","71.11","633","302","67.70","293","128","69.60","41","17","70.69","340","174","66.15","15","6","71.43","514","303","62.91","8","2","80.00","9.64","93.10","1.027","194","276","107","822","64.45","422","418","203","67.52"
"272","Mark Mowers","ANA","R","17","153.66666666667","128","71","64.32","95","59","61.69","66","48","57.89","5","3","62.50","60","35","63.16","15","11","57.69","2","0","100.00","45","24","65.22","2","1","66.67","59","33","64.13","1","2","33.33","7.58","93.75","1.013","34","48","12","130","73.91","42","65","30","58.33"
"244","Kristian Huselius","CGY","L","81","1433.8333333333","1588","890","64.08","1216","738","62.23","864","549","61.15","98","47","67.59","750","400","65.22","307","158","66.02","50","24","67.57","443","242","64.67","29","16","64.44","699","417","62.63","18","7","72.00","11.34","91.44","1.028","255","301","129","997","66.41","488","433","258","65.42"
"161","Daymond Langkow","CGY","C","80","1506.25","1639","926","63.90","1258","751","62.62","907","542","62.59","106","50","67.95","756","411","64.78","320","177","64.39","57","27","67.86","436","234","65.07","29","11","72.50","733","425","63.30","19","11","63.33","11.69","90.77","1.025","269","325","133","1030","66.92","544","478","269","66.91"
"232","Joe Thornton","S.J","C","82","1754.65","1864","1057","63.81","1434","808","63.96","1048","579","64.41","118","49","70.66","1006","463","68.48","456","170","72.84","71","27","72.45","550","293","65.24","29","14","67.44","777","489","61.37","18","6","75.00","11.26","91.54","1.028","279","433","153","1145","64.58","656","682","326","66.80"
"500","Jason King","ANA","R","4","43.783333333333","42","24","63.64","27","21","56.25","15","13","53.57","1","3","25.00","15","12","55.56","4","4","50.00","1","3","25.00","11","8","57.89","0","0","-","24","12","66.67","0","0","-","6.67","76.92","0.836","9","10","8","38","52.94","16","17","9","64.00"
"295","Mike Ribeiro","DAL","C","76","1400.3666666667","1455","835","63.54","1110","650","63.07","779","470","62.37","105","41","71.92","715","413","63.39","303","147","67.33","61","19","76.25","412","266","60.77","28","13","68.29","658","363","64.45","16","7","69.57","13.48","91.28","1.048","261","269","49","841","84.19","505","419","127","79.91"
"248","Joe Corvo","CAR, OTT","D","74","1379.9333333333","1618","932","63.45","1180","762","60.76","863","548","61.16","101","44","69.66","761","477","61.47","298","197","60.20","45","24","65.22","463","280","62.31","34","14","70.83","730","374","66.12","20","4","83.33","11.70","91.97","1.037","276","330","113","883","70.95","561","514","237","70.30"
"612","Zach Parise","N.J","L","81","1462.75","1629","939","63.43","1253","724","63.38","898","532","62.80","90","48","65.22","788","439","64.22","340","180","65.38","53","24","68.83","448","259","63.37","19","8","70.37","730","414","63.81","16","14","53.33","10.02","90.98","1.010","277","351","86","1023","76.31","520","542","212","71.04"
"69","Michael Nylander","WSH","C","40","766.26666666667","913","527","63.40","663","417","61.39","482","300","61.64","51","43","54.26","446","286","60.93","144","121","54.34","24","22","52.17","302","165","64.67","16","13","55.17","422","204","67.41","11","6","64.71","10.58","85.67","0.962","146","147","52","422","73.74","319","224","131","70.89"
