"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","MDCF","MDCA","MDCF%","MDGF","MDGA","MDGF%","LDCF","LDCA","LDCF%","LDGF","LDGA","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"675","Milan Kytnar","EDM","C","1","5.5166666666667","3","0","100.00","2","0","100.00","1","0","100.00","0","0","-","1","0","100.00","1","0","100.00","0","0","-","0","0","-","0","0","-","1","0","100.00","0","0","-","0.00","-","0.00","0","0","0","6","-","0","1","0","-"
"562","Jon Matsumoto","FLA","C","1","5.0666666666667","10","2","83.33","5","1","83.33","4","0","100.00","0","0","-","4","1","80.00","0","0","-","0","0","-","4","1","80.00","0","0","-","5","1","83.33","0","0","-","0.00","-","0.00","1","0","0","8","100.00","1","0","0","100.00"
"810","Scott Glennie","DAL","R","1","9.5833333333333","11","4","73.33","7","4","63.64","4","2","66.67","0","0","-","5","3","62.50","0","1","0.00","0","0","-","5","2","71.43","0","0","-","4","1","80.00","0","0","-","0.00","100.00","1.000","1","0","1","11","50.00","1","0","2","33.33"
"586","Carl Sneep","PIT","D","1","16.316666666667","17","7","70.83","13","4","76.47","7","4","63.64","2","1","66.67","8","1","88.89","2","0","100.00","0","0","-","6","1","85.71","1","1","50.00","8","4","66.67","1","0","100.00","28.57","75.00","1.036","2","3","1","14","66.67","6","6","5","54.55"
"367","Brett Sterling","STL","L","4","30.25","44","19","69.84","34","13","72.34","25","10","71.43","1","2","33.33","20","12","62.50","10","6","62.50","0","1","0.00","10","6","62.50","1","1","50.00","21","4","84.00","0","0","-","4.00","80.00","0.840","11","2","1","34","91.67","17","6","2","89.47"
"814","Calvin de Haan","NYI","D","1","13.016666666667","18","8","69.23","13","7","65.00","10","6","62.50","1","0","100.00","9","3","75.00","4","2","66.67","1","0","100.00","5","1","83.33","0","0","-","8","4","66.67","0","0","-","10.00","100.00","1.100","1","2","2","11","33.33","5","5","4","55.56"
"799","Carl Klingberg","WPG","L","6","32.983333333333","40","19","67.80","32","15","68.09","24","11","68.57","0","1","0.00","20","10","66.67","9","3","75.00","0","1","0.00","11","7","61.11","0","0","-","16","7","69.57","0","0","-","0.00","90.91","0.909","3","11","0","33","100.00","7","11","2","77.78"
"858","Mats Zuccarello","NYR","R","10","100.43333333333","113","54","67.66","82","41","66.67","57","28","67.06","7","3","70.00","77","35","68.75","41","12","77.36","5","2","71.43","36","23","61.02","0","0","-","30","18","62.50","2","0","100.00","12.28","89.29","1.016","23","21","9","70","71.88","38","30","12","76.00"
"715","Fabian Brunnstrom","DET","L","5","45.316666666667","52","25","67.53","35","21","62.50","22","16","57.89","1","3","25.00","17","12","58.62","8","6","57.14","0","2","0.00","9","6","60.00","0","0","-","26","13","66.67","1","1","50.00","4.55","81.25","0.858","13","11","2","32","86.67","25","15","6","80.65"
"132","Daniel Sedin","VAN","L","72","1354.6833333333","1740","860","66.92","1279","687","65.06","894","532","62.69","92","41","69.17","778","442","63.77","344","199","63.35","46","24","65.71","434","243","64.11","24","7","77.42","828","356","69.93","21","9","70.00","10.29","92.29","1.026","450","304","38","947","92.21","774","448","126","86.00"
