"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"411","Jeremy Colliton","NYI","C","15","178.31666666667","2","1","1","0","3","50.00","7","28.57","20","13","13","4","3","0","10","5","5","0","0","1","4","11","23","24","9","52","32","61.90"
"436","John Mitchell","TOR","C","23","287.8","2","1","0","1","3","60.00","28","7.14","53","36","29","9","1","1","12","6","6","0","0","4","5","8","31","20","17","83","66","55.70"
"449","Jay Rosehill","TOR","L","26","135.38333333333","1","2","2","0","3","100.00","12","8.33","16","13","9","4","2","0","71","17","8","7","2","18","4","3","36","16","4","0","0","-"
"492","Victor Oreskovich","VAN","R","16","126.43333333333","0","3","2","1","3","100.00","19","0.00","24","22","12","9","1","1","8","4","4","0","0","0","3","3","28","13","7","1","1","50.00"
"498","Nick Johnson","PIT","R","4","66.95","1","2","1","1","3","75.00","10","10.00","14","13","10","6","0","0","5","1","0","1","0","1","1","1","4","7","2","0","0","-"
"561","Brian Lee","OTT","D","50","864.56666666667","0","3","1","2","3","11.54","35","0.00","90","65","18","1","3","3","24","9","7","2","0","4","20","5","88","80","77","0","0","-"
"593","Marc-Andre Gragnani","BUF","D","9","137.58333333333","1","2","0","2","3","42.86","11","9.09","21","15","10","4","0","3","2","1","1","0","0","0","3","6","6","11","6","0","0","-"
"594","T.J. Hensick","STL","C","13","118.08333333333","1","2","2","0","3","42.86","12","8.33","22","18","12","8","1","1","2","1","1","0","0","0","0","2","1","3","1","11","18","37.93"
"600","Blair Jones","T.B","C","18","144.25","1","2","2","0","3","75.00","20","5.00","32","23","17","9","3","1","2","1","1","0","0","4","5","5","12","25","6","46","40","53.49"
"624","Andrew Desjardins","S.J","L","17","121.38333333333","1","2","1","1","3","60.00","12","8.33","23","15","11","5","0","2","4","2","2","0","0","0","1","6","34","20","5","31","25","55.36"
"699","Kevin Westgarth","L.A","R","56","304.43333333333","0","3","1","2","3","37.50","20","0.00","34","31","18","12","1","3","105","26","10","15","1","16","11","5","59","34","5","2","2","50.00"
"710","Justin Falk","MIN","D","22","311.45","0","3","2","1","3","30.00","7","0.00","21","10","5","1","0","1","6","3","3","0","0","3","7","3","22","36","17","0","0","-"
