"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"347","Patrick Kane","CHI","R","82","1672.8833333333","46","60","41","19","106","82.81","287","16.03","461","367","230","81","12","19","30","15","15","0","0","23","37","34","37","130","21","11","40","21.57"
"312","Jamie Benn","DAL","L","82","1641.8","41","48","26","22","89","70.08","247","16.60","431","343","288","152","12","27","64","28","26","2","0","33","80","65","156","94","55","226","252","47.28"
"212","Sidney Crosby","PIT","C","80","1637.55","36","49","28","21","85","74.56","248","14.52","446","342","263","109","16","33","42","21","21","0","0","25","47","40","90","117","35","986","921","51.70"
"12","Joe Thornton","S.J","C","82","1505.7166666667","19","63","34","29","82","66.67","121","15.70","211","170","109","48","5","10","54","23","22","0","1","19","98","69","48","63","30","399","354","52.99"
"379","Erik Karlsson","OTT","D","82","2375.9166666667","16","66","35","31","82","62.60","248","6.45","586","380","148","26","15","35","50","25","25","0","0","17","96","61","84","147","175","0","1","0.00"
"156","Joe Pavelski","S.J","C","82","1624.9","38","40","24","16","78","62.40","224","16.96","394","316","277","123","6","21","30","14","14","0","0","18","82","46","147","92","67","516","422","55.01"
"170","Blake Wheeler","WPG","R","82","1621.8166666667","26","52","37","15","78","76.47","256","10.16","459","363","222","95","14","26","49","23","22","1","0","28","46","38","92","101","56","10","18","35.71"
"617","Johnny Gaudreau","CGY","L","79","1573.3166666667","30","48","31","17","78","75.73","217","13.82","371","287","208","80","5","21","20","10","10","0","0","31","90","41","26","63","10","2","3","40.00"
"528","Evgeny Kuznetsov","WSH","C","82","1428.05","20","57","43","14","77","73.33","193","10.36","318","251","189","67","3","11","32","16","16","0","0","22","54","61","73","54","29","543","594","47.76"
"884","Artemi Panarin","CHI","L","80","1480.8666666667","30","47","29","18","77","71.30","187","16.04","333","251","183","59","7","13","32","15","15","0","0","19","35","29","46","121","14","0","0","-"
"132","Brent Burns","S.J","D","82","2120.85","27","48","25","23","75","59.52","353","7.65","750","498","169","34","12","35","53","25","24","1","0","17","102","53","101","91","145","1","0","100.00"
"217","Anze Kopitar","L.A","C","81","1690.2","25","49","24","25","74","70.48","177","14.12","311","244","199","94","12","17","16","8","8","0","0","25","45","43","78","124","65","950","826","53.49"
"545","Vladimir Tarasenko","STL","R","80","1491.0166666667","40","34","16","18","74","76.29","292","13.70","551","394","320","95","14","21","37","16","15","1","0","26","34","38","32","83","28","0","1","0.00"
"562","Tyler Seguin","DAL","C","72","1399.85","33","40","26","14","73","65.18","278","11.87","513","383","274","86","21","26","16","8","8","0","0","16","46","21","80","32","27","470","376","55.56"
"167","Alex Ovechkin","WSH","L","79","1604.3666666667","50","21","6","15","71","58.20","398","12.56","779","564","356","105","25","34","53","25","24","1","0","23","50","24","225","81","34","0","0","-"
"288","Nicklas Backstrom","WSH","C","75","1438.6333333333","20","50","29","21","70","78.65","129","15.50","222","176","107","46","7","12","36","18","18","0","0","13","27","42","51","82","50","659","698","48.56"
"446","John Tavares","NYI","C","78","1559.5666666667","33","37","31","6","70","70.71","250","13.20","457","333","298","125","13","37","38","15","14","0","1","27","82","69","51","83","29","741","629","54.09"
"141","Patrice Bergeron","BOS","C","80","1586.7833333333","32","36","16","20","68","71.58","282","11.35","455","381","260","100","14","25","49","23","22","1","0","10","34","67","77","88","56","1130","848","57.13"
"230","Kris Letang","PIT","D","71","1913.1","16","51","23","28","67","62.62","218","7.34","417","271","109","21","7","20","66","33","33","0","0","22","69","47","135","143","122","0","0","-"
"277","Claude Giroux","PHI","C","78","1602.6166666667","22","45","25","20","67","73.63","241","9.13","419","309","191","62","13","29","53","20","18","1","1","33","45","41","83","82","36","1081","800","57.47"
