"","Player","Team","Position","Age","Date of Birth","Birth City","Birth State/Province","Birth Country","Nationality","Height (in)","Weight (lbs)","Draft Year","Draft Team","Draft Round","Round Pick","Overall Draft Position"
"776","A.J. Greer","COL","L","21","1996-12-14","Joliette","QC","CAN","CAN","75","210","2015","COL","2","9","39"
"701","Aaron Ekblad","FLA","D","22","1996-02-07","Windsor","ON","CAN","CAN","76","220","2014","FLA","1","1","1"
"254","Aaron Ness","WSH","D","28","1990-05-18","Roseau","MN","USA","USA","70","184","2008","NYI","2","10","40"
"470","Adam Clendening","ARI","D","26","1992-10-26","Niagara Falls","NY","USA","USA","72","196","2011","CHI","2","6","36"
"114","Adam Cracknell","DAL, NYR","R","33","1985-07-15","Prince Albert","SK","CAN","CAN","74","209","2004","CGY","9","21","279"
"640","Adam Erne","T.B","L","23","1995-04-20","New Haven","CT","USA","USA","73","214","2013","T.B","2","3","33"
"819","Adam Gaudette","VAN","C","22","1996-10-03","Braintree","MA","USA","USA","73","170","2015","VAN","5","28","149"
"262","Adam Henrique","ANA, N.J","C","28","1990-02-06","Brantford","ON","CAN","CAN","72","197","2008","N.J","3","21","82"
"488","Adam Larsson","EDM","D","26","1992-11-12","Skellefteå","","SWE","SWE","75","208","2011","N.J","1","4","4"
"449","Adam Lowry","WPG","C","25","1993-03-29","St. Louis","MO","USA","USA","77","210","2011","WPG","3","6","67"
"133","Adam McQuaid","BOS","D","32","1986-10-12","Charlottetown","PE","CAN","CAN","76","210","2005","CBJ","2","25","55"
"559","Adam Pelech","NYI","D","24","1994-08-16","Toronto","ON","CAN","CAN","75","218","2012","NYI","3","4","65"
"727","Adrian Kempe","L.A","L","22","1996-09-13","Kramfors","","SWE","SWE","74","201","2014","L.A","1","29","29"
"460","Alan Quine","NYI","C","25","1993-02-25","Belleville","ON","CAN","CAN","72","203","2013","NYI","6","15","166"
"226","Alec Martinez","L.A","D","31","1987-07-26","Rochester Hills","MI","USA","USA","73","209","2007","L.A","4","4","95"
"660","Aleksander Barkov","FLA","C","23","1995-09-02","Tampere","","FIN","FIN","75","213","2013","FLA","1","2","2"
"32","Ales Hemsky","MTL","R","35","1983-08-13","Pardubice","","CZE","CZE","72","177","2001","EDM","1","13","13"
"153","Alex Biega","VAN","D","30","1988-04-04","Montreal","QC","CAN","CAN","70","199","2006","BUF","5","24","147"
"424","Alex Broadhurst","CBJ","C","25","1993-03-07","New Lenox","IL","USA","USA","72","178","2011","CHI","7","18","199"
"294","Alex Chiasson","WSH","R","28","1990-10-01","Montreal","QC","CAN","CAN","76","208","2009","DAL","2","8","38"
"834","Alex DeBrincat","CHI","R","20","1997-12-18","Farmington Hills","MI","USA","USA","67","165","2016","CHI","2","9","39"
"869","Alex Formenton","OTT","L","19","1999-09-13","Barrie","ON","CAN","CAN","74","165","2017","OTT","2","16","47"
"522","Alex Galchenyuk","MTL","L","24","1994-02-12","Milwaukee","WI","USA","USA","73","207","2012","MTL","1","3","3"
"102","Alex Goligoski","ARI","D","33","1985-07-30","Grand Rapids","MN","USA","USA","71","185","2004","PIT","2","31","61"
"874","Alex Iafallo","L.A","C","24","1993-12-21","Eden","NY","USA","USA","72","188","-","-","-","-","-"
"187","Alex Killorn","T.B","L","29","1989-09-14","Halifax","NS","CAN","CAN","73","196","2007","T.B","3","16","77"
"90","Alex Ovechkin","WSH","L","33","1985-09-17","Moscow","","RUS","RUS","75","235","2004","WSH","1","1","1"
"375","Alex Petrovic","FLA","D","26","1992-03-03","Edmonton","AB","CAN","CAN","76","216","2010","FLA","2","6","36"
"238","Alex Pietrangelo","STL","D","28","1990-01-18","King City","ON","CAN","CAN","75","210","2008","STL","1","4","4"
"718","Alex Tuch","VGK","R","22","1996-05-10","Syracuse","NY","USA","USA","76","222","2014","MIN","1","18","18"
"389","Alexander Burmistrov","VAN","C","27","1991-10-21","Kazan","","RUS","RUS","73","180","2010","ATL","1","8","8"
"106","Alexander Edler","VAN","D","32","1986-04-21","Ostersund","","SWE","SWE","75","212","2004","VAN","3","26","91"
"591","Alexander Kerfoot","COL","C","24","1994-08-11","Vancouver","BC","CAN","CAN","70","175","2012","N.J","5","29","150"
"848","Alexander Nylander","BUF","R","20","1998-03-02","Calgary","AB","CAN","CAN","73","192","2016","BUF","1","8","8"
"95","Alexander Radulov","DAL","R","32","1986-07-05","Nizhny Tagil","","RUS","RUS","73","205","2004","NSH","1","15","15"
"51","Alexander Steen","STL","L","34","1984-03-01","Winnipeg","MB","CAN","SWE","72","211","2002","TOR","1","24","24"
"671","Alexander Wennberg","CBJ","C","24","1994-09-22","Stockholm","","SWE","SWE","74","196","2013","CBJ","1","14","14"
"55","Alexandre Burrows","OTT","R","37","1981-04-11","Pincourt","QC","CAN","CAN","73","197","-","-","-","-","-"
"105","Alexei Emelin","NSH","D","32","1986-04-25","Togliatti","","RUS","RUS","74","218","2004","MTL","3","19","84"
