"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"625","Evgeni Malkin","PIT","C","82","1846.4","35","78","47","31","113","79.02","290","12.07","548","405","293","95","9","30","80","39","39","0","0","62","81","94","80","179","39","283","385","42.37"
"624","Alex Ovechkin","WSH","L","79","1817.3666666667","56","54","32","22","110","67.90","528","10.61","1027","748","467","135","36","56","72","35","35","0","0","42","107","60","243","154","32","8","24","25.00"
"712","Sidney Crosby","PIT","C","77","1690.0833333333","33","70","51","19","103","79.84","238","13.87","388","319","274","122","7","25","76","30","27","2","1","43","80","56","80","109","42","829","786","51.33"
"260","Pavel Datsyuk","DET","C","81","1556.25","32","65","37","28","97","70.80","248","12.90","443","341","231","77","9","20","22","11","11","0","0","30","50","89","76","93","33","636","499","56.04"
"543","Zach Parise","N.J","L","82","1538.1","45","49","25","24","94","82.46","364","12.36","544","476","332","167","19","36","24","12","12","0","0","32","17","34","65","106","17","54","66","45.00"
"373","Ilya Kovalchuk","ATL","R","79","1721.7","43","48","30","18","91","71.65","275","15.64","587","407","262","81","19","28","50","22","20","2","0","30","87","48","43","40","15","5","9","35.71"
"545","Ryan Getzlaf","ANA","C","81","1630.6","25","66","34","32","91","73.39","227","11.01","392","320","208","83","9","20","107","48","45","3","0","36","70","55","134","69","43","566","562","50.18"
"126","Jarome Iginla","CGY","R","82","1772.2333333333","35","54","35","19","89","71.77","289","12.11","520","406","294","96","19","22","37","14","11","3","0","49","49","35","82","82","15","263","238","52.50"
"132","Marc Savard","BOS","C","82","1602.05","25","63","37","26","88","71.54","213","11.74","351","274","165","69","15","20","70","31","30","0","1","29","52","55","25","79","19","643","646","49.88"
"811","Nicklas Backstrom","WSH","C","82","1635.3833333333","22","66","41","25","88","63.77","174","12.64","312","241","179","73","6","15","46","23","23","0","0","14","62","77","52","83","46","570","601","48.68"
"183","Joe Thornton","S.J","C","82","1595.9166666667","25","61","37","24","86","78.90","139","17.99","257","192","139","64","7","14","54","24","22","2","0","42","86","64","81","65","24","718","577","55.44"
"538","Jeff Carter","PHI","C","82","1718.5833333333","46","38","23","15","84","74.34","342","13.45","587","458","289","112","31","28","68","34","34","0","0","19","65","72","54","66","53","833","892","48.29"
"270","Daniel Sedin","VAN","L","82","1541.05","31","51","32","19","82","77.36","285","10.88","488","388","300","169","15","27","36","18","18","0","0","35","42","35","13","60","15","14","21","40.00"
"271","Henrik Sedin","VAN","C","82","1601.0333333333","22","60","31","29","82","76.64","143","15.38","224","182","150","78","9","9","48","24","24","0","0","31","62","42","18","54","16","677","687","49.63"
"396","Mike Cammalleri","CGY","C","81","1422.05","39","43","22","21","82","78.85","255","15.29","402","330","229","95","6","20","44","18","17","0","1","28","56","32","22","54","19","222","146","60.33"
"210","Martin St. Louis","T.B","R","82","1745.45","30","50","27","23","80","72.07","262","11.45","453","384","263","114","16","22","12","6","6","0","0","32","68","74","17","78","48","14","16","46.67"
"550","Mike Richards","PHI","C","79","1717.15","30","50","35","15","80","72.73","238","12.61","461","338","225","87","21","26","63","24","19","5","0","44","94","83","147","96","90","813","847","48.98"
"454","Rick Nash","CBJ","R","78","1650.35","40","39","25","14","79","86.81","264","15.15","472","369","233","118","25","13","52","26","26","0","0","47","34","70","71","87","29","5","13","27.78"
"471","Alexander Semin","WSH","R","62","1192.95","34","45","32","13","79","71.82","223","15.25","435","327","246","80","14","21","77","33","31","1","1","30","66","73","22","72","10","12","12","50.00"
"105","Patrik Elias","N.J","C","77","1430.1833333333","31","47","26","21","78","80.41","247","12.55","395","320","198","76","13","17","32","16","16","0","0","29","31","30","51","46","17","26","61","29.89"
"238","Mike Ribeiro","DAL","C","82","1718.0166666667","22","56","33","23","78","78.00","163","13.50","273","226","142","73","9","15","52","25","25","0","0","42","78","67","117","163","28","564","676","45.48"
"43","Ray Whitney","CAR","L","82","1509.65","24","53","34","19","77","75.49","219","10.96","377","296","172","93","14","26","32","15","15","0","0","23","41","62","27","39","26","2","2","50.00"
"276","Martin Havlat","CHI","R","81","1410.2166666667","29","48","33","15","77","71.96","249","11.65","352","291","185","79","11","21","30","13","13","0","0","23","16","30","19","66","12","2","6","25.00"
"27","Vyacheslav Kozlov","ATL","L","82","1411.4166666667","26","50","26","24","76","75.25","165","15.76","279","226","140","53","6","20","44","22","22","0","0","18","53","41","37","55","17","3","5","37.50"
"529","Eric Staal","CAR","C","82","1725.8166666667","40","35","21","14","75","67.57","372","10.75","643","509","346","171","33","56","50","24","24","0","0","45","37","55","61","88","37","718","868","45.27"
"113","Daniel Alfredsson","OTT","R","79","1649.2666666667","24","50","28","22","74","72.55","204","11.76","350","267","186","61","16","18","24","12","12","0","0","23","56","72","57","70","33","4","13","23.53"
"226","Simon Gagne","PHI","L","79","1502.95","34","40","23","17","74","74.75","221","15.38","392","305","196","95","12","15","42","20","20","0","0","16","50","32","27","53","28","3","7","30.00"
"124","Shane Doan","PHX","R","82","1659.8166666667","31","42","31","11","73","74.49","230","13.48","394","317","212","95","12","20","72","25","21","2","2","23","31","48","188","116","33","160","202","44.20"
"211","Todd White","ATL","C","82","1480.8166666667","22","51","31","20","73","63.48","150","14.67","206","178","141","78","2","18","24","12","12","0","0","18","36","57","39","35","33","673","656","50.64"
"296","Henrik Zetterberg","DET","L","77","1530.6166666667","31","42","27","15","73","69.52","309","10.03","511","409","265","93","7","14","36","18","18","0","0","40","42","42","56","86","32","634","555","53.32"
"374","Jason Spezza","OTT","C","82","1614.5333333333","32","41","28","13","73","74.49","246","13.01","413","339","212","81","9","17","79","34","32","1","1","31","81","73","26","70","22","787","690","53.28"
