"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"156","Adam Mair","BUF","C","69","637.28333333333","9.2359903381643","50.75","50.65","50.05","37.85","40.01","48.61","28.24","29.19","49.18","2.17","2.26","48.94","22.69","23.54","49.08","9.41","9.7","49.26","1.22","1.41","46.43","17.7","18.45","48.96","0.38","0.63","37.50","35.9","34.13","51.26","0.95","0.54","63.64","7.67","92.26","0.999","10.26","15.35","10.45","50.84","49.55","16.29","21.94","16.38","49.86"
"828","Jesse Winchester","OTT","C","52","521.21666666667","10.023397435897","52.61","50.65","50.95","41.1","37.99","51.97","31.08","27.51","53.05","2.3","3.11","42.55","24.17","22.56","51.72","10.36","10.48","49.72","1.5","1.84","44.83","18.42","16.12","53.33","0.61","0.77","44.44","36.91","37.58","49.55","0.33","1","25.00","7.41","88.70","0.961","10.13","10.82","14.16","44.78","41.71","17.04","16.58","21.53","44.18"
"166","Martin St. Louis","T.B","R","82","1787.2333333333","21.795528455285","65.67","50.63","56.47","50.19","38.94","56.31","36.39","27.09","57.32","4.06","3.06","57.08","31.89","25.01","56.05","12.69","9.57","57.01","2.05","1.81","53.04","25.6","20.59","55.43","1.61","0.98","62.07","43.69","31.33","58.24","1.07","0.58","64.71","11.16","88.72","0.999","12.76","12.89","5.27","38.37","70.76","24.91","20.04","9.57","72.25"
"632","Guillaume Latendresse","MIN, MTL","L","78","1166.3833333333","14.953632478632","58.23","50.62","53.50","43.52","36.83","54.16","30.04","27.16","52.52","3.04","2.31","56.73","27.32","20.52","57.10","12.55","7.25","63.38","2.16","1.13","65.63","19.68","17.7","52.66","0.82","0.69","54.55","38.12","35.74","51.61","0.37","0.82","31.25","10.10","91.48","1.016","9.62","10.91","6.07","49.9","61.31","18.26","16.92","13.63","57.26"
"476","Matt Carle","PHI","D","80","1870.9833333333","23.387291666667","59.33","50.6","53.97","44.38","35.92","55.27","32.07","25.59","55.62","3.3","2.02","62.05","28.48","22.58","55.78","12.31","9.01","57.74","1.86","1.38","57.43","21.55","18.09","54.37","0.77","0.51","60.00","37.57","33.72","52.70","1.16","0.32","78.13","10.30","92.11","1.024","9.46","12.38","8.66","43.32","52.21","17.48","19.91","15.87","52.40"
"82","Milan Hejduk","COL","R","56","1065.05","19.01875","56.96","50.59","52.96","42.98","37.24","53.58","32.84","26.42","55.42","3.77","2.14","63.81","28.56","22.98","55.41","11.44","9.58","54.42","2.14","1.18","64.41","22.83","17.88","56.09","1.2","0.83","59.26","34.42","33.04","51.03","0.98","0.41","70.59","11.49","91.90","1.034","14.08","15.27","8.45","38.31","62.50","24.39","21.46","16.34","59.89"
"651","T.J. Oshie","STL","R","76","1392.2166666667","18.318640350877","58.09","50.55","53.47","44.3","37.84","53.93","29.61","27.19","52.12","2.97","2.54","53.91","27.8","23.23","54.48","11.42","8.88","56.26","1.51","1.42","51.47","21.84","19.13","53.30","1.15","0.69","62.50","38.22","33.8","53.07","0.87","0.87","50.00","10.04","90.65","1.007","11.64","13.1","8.88","46.5","56.72","19.65","19.61","16.81","53.90"
"621","Rene Bourque","CGY","R","73","1337.1166666667","18.316666666667","57.89","50.53","53.39","42.27","38.19","52.54","29.17","27.69","51.30","3.23","2.56","55.81","24.19","20.06","54.67","9.74","8.97","52.04","1.75","1.44","54.93","19.27","14.78","56.59","1.08","0.78","58.06","41.48","37.07","52.81","0.91","0.78","53.85","11.08","90.76","1.018","10.63","12.21","8.88","44.74","54.48","19.61","18.67","17.1","53.42"
"149","Daniel Cleary","DET","R","64","1102.7666666667","17.230729166667","66.16","50.49","56.72","49.62","39.83","55.47","35.96","29.38","55.04","3.26","2.77","54.05","30.96","23.12","57.24","11.86","9.96","54.36","1.47","1.52","49.09","25.46","17.56","59.19","1.02","1.09","48.28","44.09","33.79","56.61","1.26","0.63","66.67","9.08","90.56","0.996","13.17","15.02","8.49","45.59","60.80","22.2","20.19","14.96","59.74"
"587","Ryan Jones","EDM, NSH","L","49","521.81666666667","10.649319727891","54.96","50.48","52.13","39.78","38.4","50.88","27.6","27.6","50.00","2.18","1.84","54.29","23.34","23.57","49.75","9.66","10.35","48.28","1.03","1.38","42.86","18.24","17.63","50.85","1.07","0.61","63.64","36.71","31.06","54.17","0.5","0","100.00","7.92","93.33","1.013","10.81","11.5","6.44","51.05","62.67","18.17","18.74","14.49","55.63"
