"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"91","Brian Willsie","WSH","R","1","6.25","6.25","0","9.6","0","9.6","9.6","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","9.6","0","0","0","9.6","19.2","0","0","-"
"728","Zach Hamill","BOS","C","3","31.416666666667","10.472222222222","0","1.91","0","1.91","1.91","100.00","1.91","0.00","7.64","3.82","1.91","0","0","0","0","0","0","0","0","0","3.82","1.91","0","0","5.73","9.55","21.01","59.68"
"520","Scott Parse","L.A","L","5","68.95","13.79","0.87","2.61","0.87","1.74","3.48","50.00","5.22","16.67","10.44","8.7","6.96","4.35","0.87","0.87","0","0","0","0","0","0","4.35","1.74","1.74","7.83","3.48","0","0","-"
"738","Carson McMillan","MIN","R","4","37.35","9.3375","1.61","1.61","0","1.61","3.21","66.67","8.03","20.00","14.46","8.03","9.64","6.43","0","1.61","0","0","0","0","0","0","1.61","0","9.64","11.24","1.61","14.46","22.49","62.86"
"828","Philip Larsen","DAL","D","6","80.6","13.433333333333","0","1.49","0","1.49","1.49","28.57","8.19","0.00","13.4","12.66","2.98","0","0","0.74","0","0","0","0","0","2.23","0.74","0.74","0.74","2.98","2.23","0","0","-"
"359","DJ King","WSH","L","16","90.95","5.684375","0","1.32","0","1.32","1.32","66.67","3.96","0.00","4.62","3.96","3.3","1.98","0","0","19.79","3.96","0","3.96","0","3.96","1.32","2.64","13.19","11.87","0","0","0","-"
"545","Rick Rypien","VAN","C","9","46.083333333333","5.1203703703704","0","1.3","0","1.3","1.3","100.00","7.81","0.00","10.42","9.11","2.6","1.3","1.3","0","40.36","9.11","3.91","3.91","1.3","6.51","1.3","2.6","16.93","3.91","3.91","11.72","6.51","83.70"
"390","Ryan Getzlaf","ANA","C","67","1464.15","21.852985074627","0.78","2.34","1.11","1.23","3.11","68.47","4.79","16.24","9.67","7.46","5.61","2.05","0.2","0.45","1.43","0.66","0.61","0.04","0","0.57","3.32","1.43","7.75","3.11","2.34","22.21","26.27","1.88"
"171","Brian Rafalski","DET","D","63","1286.6333333333","20.422751322751","0.19","2.05","0.84","1.21","2.24","48.00","4.94","3.77","10.17","6.67","2.15","0.09","0.09","0.37","1.03","0.51","0.51","0","0","0.19","2.66","0.56","2.29","5.92","2.52","0","0","-"
"621","Kyle Cumiskey","COL","D","18","353.96666666667","19.664814814815","0.17","1.19","0","1.19","1.36","42.11","3.56","4.76","6.61","5.25","2.2","0.68","0","0.68","1.7","0.85","0.85","0","0","0.34","1.19","2.37","1.53","3.73","4.58","0","0","-"
