"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"651","Joonas Nattinen","MTL","C","1","1.75","1.75","0","171.43","0.00","0","102.86","0.00","0","102.86","0.00","0","0","-","0","34.29","0.00","0","0","-","0","0","-","0","45.71","0.00","0","0","-","0","148.57","0.00","0","0","-","-","100.00","1.00","0","34.29","34.29","0","0.00","0","34.29","34.29","0.00"
"833","Spencer Abbott","TOR","L","1","5.2666666666667","5.2666666666667","56.96","136.71","29.41","34.18","125.32","21.43","34.18","102.53","25.00","0","22.78","0.00","22.78","56.96","28.57","11.39","11.39","50.00","0","0","-","15.19","60.76","20.00","0","30.38","0.00","49.37","115.19","30.00","0","0","-","0.00","77.78","0.778","0","22.78","22.78","68.35","0.00","11.39","22.78","22.78","33.33"
"324","Pierre-Luc Letourneau-Leblond","PIT","R","1","4.5666666666667","4.5666666666667","26.28","118.25","18.18","13.14","78.83","14.29","13.14","65.69","16.67","0","0","-","26.28","52.55","33.33","13.14","13.14","50.00","0","0","-","17.52","52.55","25.00","0","0","-","0","56.93","0.00","0","0","-","0.00","100.00","1.000","13.14","0","13.14","52.55","50.00","13.14","0","26.28","33.33"
"676","Roman Horak","CGY, EDM","C","3","28.25","9.4166666666667","44.6","99.82","30.88","27.61","72.21","27.66","14.87","55.22","21.21","2.12","4.25","33.33","12.74","38.23","25.00","6.37","21.24","23.08","0","2.12","0.00","8.5","22.65","27.27","2.83","0","100.00","39.88","64.42","38.24","0","3.07","0.00","14.29","92.31","1.066","19.12","10.62","2.12","55.22","90.00","25.49","16.99","4.25","85.71"
"718","Christian Thomas","MTL","L","2","14.366666666667","7.1833333333333","37.59","91.88","29.03","25.06","62.65","28.57","12.53","41.76","23.08","0","4.18","0.00","16.71","29.23","36.36","4.18","16.71","20.00","0","4.18","0.00","16.71","16.71","50.00","0","0","-","30.16","78.42","27.78","0","0","-","0.00","90.00","0.900","8.35","16.71","4.18","54.29","66.67","8.35","29.23","12.53","40.00"
"832","Cameron Schilling","WSH","D","1","17.75","17.75","47.32","91.27","34.15","37.18","81.13","31.43","23.66","60.85","28.00","0","6.76","0.00","16.9","43.94","27.78","3.38","10.14","25.00","0","6.76","0.00","18.03","45.07","28.57","0","0","-","34.18","68.36","33.33","0","0","-","0.00","88.89","0.889","6.76","3.38","3.38","50.7","66.67","13.52","13.52","20.28","40.00"
"735","Petter Granberg","TOR","D","1","11.766666666667","11.766666666667","20.4","86.69","19.05","20.4","71.39","22.22","15.3","30.59","33.33","0","0","-","5.1","25.5","16.67","0","10.2","0.00","0","0","-","6.8","20.4","25.00","0","0","-","22.1","73.65","23.08","0","0","-","0.00","100.00","1.000","0","0","0","0","-","10.2","10.2","35.69","22.22"
"336","Mike Blunden","MTL","R","7","42.933333333333","6.1333333333333","26.55","85.25","23.75","16.77","58.7","22.22","12.58","41.93","23.08","1.4","4.19","25.00","12.58","34.94","26.47","5.59","16.77","25.00","1.4","2.8","33.33","9.32","24.22","27.78","0","1.86","0.00","12.11","66.61","15.38","0","0","-","11.11","90.00","1.011","13.98","15.37","11.18","48.91","55.56","15.37","16.77","20.96","42.31"
"789","Jonathan Racine","FLA","D","1","15.583333333333","15.583333333333","46.2","84.71","35.29","30.8","61.6","33.33","23.1","53.9","30.00","0","3.85","0.00","11.55","50.05","18.75","7.7","38.5","16.67","0","3.85","0.00","5.13","15.4","25.00","0","0","-","33.37","38.93","46.15","0","0","-","0.00","92.86","0.929","15.4","7.7","3.85","69.3","80.00","30.8","26.95","11.55","72.73"
"413","Peter LeBlanc","WSH","C","1","9.4333333333333","9.4333333333333","25.44","82.69","23.53","19.08","63.6","23.08","0","44.52","0.00","0","0","-","25.44","50.88","33.33","6.36","25.44","20.00","0","0","-","25.44","33.92","42.86","0","0","-","0","27.56","0.00","0","0","-","-","100.00","1.00","19.08","6.36","0","44.52","100.00","19.08","12.72","12.72","60.00"
