"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"201","Jon Sim","NYI","L","2","28.616666666667","14.308333333333","0","2.1","0","2.1","2.1","50.00","16.77","0.00","16.77","16.77","14.68","6.29","2.1","2.1","4.19","2.1","2.1","0","0","2.1","0","2.1","8.39","2.1","0","0","0","-"
"54","Peter Forsberg","COL","C","9","173.2","19.244444444444","0.35","4.5","2.77","1.73","4.85","87.50","5.2","6.67","7.27","5.89","4.16","2.08","0.35","0.69","2.77","1.39","1.39","0","0","2.77","5.2","3.46","3.12","6.93","0","1.39","0","34.64"
"685","Drew Larman","FLA","C","6","35.95","5.9916666666667","0","1.67","0","1.67","1.67","100.00","1.67","0.00","6.68","5.01","3.34","0","0","0","3.34","1.67","1.67","0","0","0","0","1.67","8.34","11.68","1.67","16.69","26.7","64.19"
"626","Ryan Stone","PIT","C","6","38.5","6.4166666666667","0","1.56","0","1.56","1.56","100.00","4.68","0.00","9.35","7.79","4.68","1.56","0","0","7.79","1.56","0","1.56","0","4.68","0","1.56","10.91","6.23","4.68","4.68","3.12","93.51"
"725","Alex Goligoski","PIT","D","3","41.816666666667","13.938888888889","0","2.87","1.43","1.43","2.87","100.00","2.87","0.00","4.3","2.87","2.87","1.43","0","0","2.87","1.43","1.43","0","0","0","0","1.43","1.43","5.74","5.74","0","0","-"
"476","Brandon Nolan","CAR","C","6","43.533333333333","7.2555555555556","0","1.38","0","1.38","1.38","100.00","2.76","0.00","6.89","5.51","4.13","2.76","1.38","0","0","0","0","0","0","0","0","4.13","11.03","9.65","1.38","0","0","-"
"750","Petri Kontiola","CHI","C","12","174.61666666667","14.551388888889","0","1.72","0.34","1.37","1.72","62.50","4.47","0.00","5.84","5.5","4.12","2.41","0","0.34","2.06","0.69","0.69","0","0","1.03","1.72","2.06","4.47","4.12","0","10.65","4.81","23.67"
"175","Marc Savard","BOS","C","74","1518.6","20.521621621622","0.59","2.49","1.19","1.3","3.08","82.98","7.74","7.65","13.43","10.04","6.16","1.74","0.43","0.55","2.61","1.3","1.3","0","0","0.71","3","1.86","1.5","2.65","0.43","31.69","29.75","2.04"
"432","Simon Gamache","TOR","L","11","105.53333333333","9.5939393939394","1.14","1.14","0","1.14","2.27","66.67","6.25","18.18","13.08","10.23","9.1","2.84","1.14","0.57","3.41","1.71","1.71","0","0","1.71","1.14","1.71","5.69","5.69","0.57","0","0","-"
"637","B.J. Crombeen","DAL","R","8","53.05","6.63125","0","2.26","1.13","1.13","2.26","40.00","10.18","0.00","11.31","10.18","6.79","3.39","0","1.13","44.11","9.05","2.26","5.66","1.13","6.79","1.13","3.39","7.92","10.18","1.13","0","1.13","0.00"
"765","Paul Stastny","COL","C","66","1391.1","21.077272727273","1.04","2.03","0.91","1.12","3.06","73.96","5.95","17.39","9.53","8.07","6.77","4.01","0.09","1.16","1.04","0.52","0.52","0","0","1.04","1.42","2.33","0.69","1.85","1.34","24.2","23.29","2.20"
"358","Brian McGrattan","OTT","R","38","109.1","2.8710526315789","0","1.65","0.55","1.1","1.65","100.00","6.05","0.00","8.25","8.25","2.75","0.55","0","0","25.3","6.05","1.65","4.4","0","6.05","1.1","2.2","9.9","6.6","1.1","0","0","-"
"377","Mark Streit","MTL","D","81","1419.1666666667","17.520576131687","0.55","2.07","0.97","1.1","2.62","56.36","6.98","7.88","13.28","9.47","3.93","1.01","0.51","0.68","1.18","0.59","0.59","0","0","0.59","1.78","1.69","2.49","3.55","2.62","0","0.04","0.00"
"804","David Brine","FLA","C","9","54.35","6.0388888888889","0","1.1","0","1.1","1.1","100.00","3.31","0.00","8.83","4.42","3.31","0","0","0","4.42","2.21","2.21","0","0","4.42","1.1","2.21","3.31","4.42","4.42","18.77","29.81","42.65"
"195","Matt Cullen","CAR","C","59","995.58333333333","16.874293785311","0.78","2.17","1.08","1.08","2.95","69.01","8.26","9.49","15.37","11.69","7.41","3.37","0.6","1.33","1.93","0.96","0.96","0","0","1.21","1.69","1.63","1.99","2.65","1.81","21.94","17.18","3.38"
"614","Ryan Getzlaf","ANA","C","77","1512.8666666667","19.647619047619","0.95","2.3","1.23","1.07","3.25","69.49","7.34","12.97","11.98","10.11","6.54","2.5","0.2","0.48","3.65","1.71","1.63","0.08","0","1.31","2.66","1.75","5","3.69","1.82","21.61","24.07","1.88"
"330","Brian Rafalski","DET","D","73","1756.3166666667","24.059132420091","0.44","1.43","0.38","1.06","1.88","46.22","5.98","7.43","12.2","7.75","3.31","0.65","0.2","0.34","1.16","0.58","0.58","0","0","0.34","1.78","0.92","1.3","5.26","2.39","0","0","-"
"40","Nicklas Lidstrom","DET","D","76","2030.0833333333","26.711622807018","0.3","1.77","0.74","1.03","2.07","50.00","5.56","5.32","11.47","8.19","2.19","0.27","0.06","0.33","1.18","0.59","0.59","0","0","0.12","1.15","0.68","0.68","1.3","2.07","0","0","-"
"257","Ladislav Nagy","L.A","L","38","524.31666666667","13.797807017544","1.03","1.95","0.92","1.03","2.98","81.25","8.93","11.54","15.45","12.36","10.53","4.01","0","1.49","2.06","1.03","1.03","0","0","1.6","1.49","0.8","3.2","5.38","1.26","5.04","4.46","6.07"
"592","Chris Minard","PIT","L","15","58.15","3.8766666666667","1.03","1.03","0","1.03","2.06","66.67","9.29","11.11","13.41","12.38","6.19","2.06","0","1.03","10.32","1.03","0","0","1.03","2.06","0","2.06","16.51","3.1","0","0","0","-"
"95","Jason Arnott","NSH","C","79","1499.8","18.984810126582","1.12","1.76","0.76","1","2.88","69.90","9.92","11.29","16.44","13.76","9.84","4.28","0.6","1.16","2.16","1.08","1.08","0","0","0.52","1.2","2","1.68","2.12","0.92","24.56","25.84","1.95"
"213","Joel Kwiatkowski","ATL","D","18","301.33333333333","16.740740740741","0","1","0","1","1","50.00","4.78","0.00","8.96","6.57","1.99","0.8","0.2","0.4","3.98","1.99","1.99","0","0","0.4","1.39","1.19","1.79","3.19","3.58","0","0","-"
