"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"880","Chay Genoway","MIN","D","1","18.266666666667","18.266666666667","0","3.28","0","3.28","3.28","100.00","3.28","0.00","3.28","3.28","0","0","0","0","0","0","0","0","0","3.28","3.28","6.57","0","0","3.28","0","0","-"
"783","Jordie Benn","DAL","D","3","41.866666666667","13.955555555556","0","2.87","0","2.87","2.87","200.00","1.43","0.00","4.3","2.87","0","0","0","0","0","0","0","0","0","0","0","0","4.3","1.43","2.87","0","0","-"
"768","Philippe Cornet","EDM","L","2","21.15","10.575","0","2.84","0","2.84","2.84","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","5.67","0","5.67","8.51","0","0","0","-"
"656","Brett MacLean","WPG","L","5","42.416666666667","8.4833333333333","0","2.83","0","2.83","2.83","50.00","8.49","0.00","12.73","11.32","5.66","1.41","1.41","0","2.83","1.41","1.41","0","0","1.41","0","2.83","4.24","2.83","1.41","0","0","-"
"655","Akim Aliu","CGY","R","2","22.066666666667","11.033333333333","5.44","2.72","0","2.72","8.16","100.00","8.16","66.67","10.88","8.16","5.44","2.72","0","0","32.63","5.44","2.72","0","2.72","16.31","2.72","0","16.31","5.44","0","0","0","-"
"556","Ryan Hamilton","TOR","L","2","26.266666666667","13.133333333333","0","2.28","0","2.28","2.28","100.00","2.28","0.00","2.28","2.28","0","0","0","0","4.57","2.28","2.28","0","0","0","0","4.57","11.42","4.57","0","0","0","-"
"478","Sidney Crosby","PIT","C","22","406.38333333333","18.47196969697","1.18","4.28","2.36","1.92","5.46","80.43","11.07","10.67","18.6","14.32","11.96","5.02","0.74","0.74","2.07","1.03","1.03","0","0","0.89","2.21","1.48","1.62","3.4","1.03","33.52","33.37","7.40"
"684","Spencer Machacek","WPG","R","13","97.583333333333","7.5064102564103","1.23","4.3","2.46","1.84","5.53","90.00","7.38","16.67","14.76","9.84","7.99","3.07","0","0.61","4.3","1.23","0.61","0.61","0","1.23","0.61","2.46","14.76","9.22","0.61","0.61","0","61.49"
"861","Brett Bulmer","MIN","R","9","99.283333333333","11.031481481481","0","1.81","0","1.81","1.81","100.00","4.23","0.00","7.86","6.04","4.23","0.6","0","0.6","3.63","1.81","1.81","0","0","1.81","0","0","10.27","9.67","1.21","0","0","-"
"827","Brandon Pirri","CHI","R","5","67.583333333333","13.516666666667","0","1.78","0","1.78","1.78","50.00","4.44","0.00","10.65","6.21","7.1","0.89","0","0","0","0","0","0","0","0.89","1.78","4.44","4.44","3.55","1.78","23.08","24.86","42.75"
"892","Torey Krug","BOS","D","2","34.25","17.125","0","1.75","0","1.75","1.75","50.00","5.26","0.00","12.26","10.51","1.75","0","0","0","0","0","0","0","0","0","0","0","0","5.26","7.01","0","0","-"
"12","Chris Pronger","PHI","D","13","292.18333333333","22.475641025641","0.21","2.26","0.62","1.64","2.46","66.67","4.72","4.35","9.45","5.54","1.03","0.21","0.21","0.82","2.05","1.03","1.03","0","0","0.62","1.44","1.44","3.08","1.23","5.54","0","0","-"
"832","Marcus Foligno","BUF","L","14","221.41666666667","15.815476190476","1.63","1.9","0.27","1.63","3.52","61.90","6.23","26.09","11.65","9.76","7.59","4.88","0.27","0.27","2.44","0.81","0.54","0.27","0","1.08","0.54","1.9","11.92","6.77","2.98","0","0.81","0.00"
"767","Matt Calvert","CBJ","L","13","118.66666666667","9.1282051282051","0","1.52","0","1.52","1.52","75.00","2.02","0.00","6.07","3.54","4.55","1.01","0","0","8.09","2.02","1.52","0","0.51","1.52","1.01","1.52","4.04","4.55","0.51","0","0","-"
"701","Pierre-Cedric Labrie","T.B","L","14","82.6","5.9","0","1.45","0","1.45","1.45","100.00","3.63","0.00","12.35","8.72","7.26","2.18","0","0.73","10.9","2.18","0","2.18","0","3.63","1.45","2.91","26.15","4.36","3.63","2.18","1.45","43.58"
"715","Fabian Brunnstrom","DET","L","5","45.316666666667","9.0633333333333","0","1.32","0","1.32","1.32","100.00","7.94","0.00","14.56","9.27","3.97","1.32","0","0","5.3","2.65","2.65","0","0","1.32","1.32","3.97","5.3","13.24","1.32","0","0","-"
"729","Joe Colborne","TOR","C","10","136.88333333333","13.688333333333","0.44","1.75","0.44","1.31","2.19","55.56","3.07","14.29","3.51","3.51","2.19","0.88","0","0","1.75","0.88","0.88","0","0","0.88","2.19","1.75","8.77","8.77","3.51","12.27","21.92","15.73"
"260","Mark Cullen","FLA","C","6","47.983333333333","7.9972222222222","0","1.25","0","1.25","1.25","50.00","1.25","0.00","6.25","5","6.25","2.5","0","0","2.5","1.25","1.25","0","0","2.5","1.25","2.5","2.5","12.5","1.25","18.76","15.01","69.47"
"304","Andre Deveaux","NYR","C","9","48.383333333333","5.3759259259259","0","1.24","0","1.24","1.24","25.00","2.48","0.00","4.96","4.96","4.96","1.24","2.48","0","35.96","7.44","2.48","3.72","1.24","4.96","0","0","19.84","7.44","0","1.24","0","124.01"
"643","Cade Fairchild","STL","D","5","48.266666666667","9.6533333333333","0","1.24","0","1.24","1.24","100.00","1.24","0.00","6.22","4.97","1.24","0","0","0","0","0","0","0","0","0","0","0","1.24","2.49","4.97","0","0","-"
"74","Joe Thornton","S.J","C","82","1678.4833333333","20.469308943089","0.64","2.11","1.04","1.07","2.75","77.00","5.58","11.54","9.26","7.47","5.68","2.93","0.29","0.86","1.11","0.5","0.46","0.04","0","1.04","3.4","3.43","1.5","2.65","0.93","19.91","15.59","2.01"
"149","Martin Erat","NSH","R","71","1312.1833333333","18.481455399061","0.87","1.78","0.78","1.01","2.65","70.73","4.89","17.76","8.92","6.63","5.03","1.78","0.37","0.37","1.37","0.69","0.69","0","0","0.82","2.24","2.74","2.38","2.51","1.69","2.74","3.02","2.18"
"580","Claude Giroux","PHI","C","77","1657.8","21.52987012987","1.01","2.35","1.34","1.01","3.37","84.55","8.76","11.57","16.5","12.23","9.16","3.58","0.72","1.12","1.05","0.47","0.43","0.04","0","1.27","1.59","1.81","2.53","3.37","1.59","29.97","25.88","1.94"
"848","Casey Wellman","MIN","C","14","178.3","12.735714285714","0.67","1.68","0.67","1.01","2.36","116.67","8.41","8.00","15.82","12.45","8.08","3.7","1.01","0","0","0","0","0","0","1.35","2.36","1.68","2.02","9.09","2.36","2.02","1.01","22.43"
"634","Jamie Benn","DAL","L","71","1283.3166666667","18.074882629108","1.22","1.73","0.75","0.98","2.95","82.89","9.49","12.81","17.11","13.28","9.02","3.74","0.65","0.65","2.57","1.22","1.17","0.05","0","1.17","2.38","2.62","6.36","4.39","2.43","16.22","18.89","2.16"
"593","Nicklas Backstrom","WSH","C","42","804.9","19.164285714286","1.04","2.24","1.27","0.97","3.28","81.48","7.08","14.74","12","9.77","6.56","2.01","0.3","0.52","1.79","0.89","0.89","0","0","0.45","1.34","2.09","2.31","3.88","1.86","26.31","25.2","3.81"
"178","Jeff Taffe","MIN","L","5","64.55","12.91","0","1.86","0.93","0.93","1.86","50.00","6.51","0.00","12.08","8.37","5.58","1.86","0","0","0","0","0","0","0","0","0.93","0","6.51","9.3","1.86","0.93","4.65","15.49"
"486","Anze Kopitar","L.A","C","82","1749.7833333333","21.338821138211","0.86","1.75","0.82","0.93","2.61","75.25","7.89","10.87","14.33","11.42","8.57","3.57","0.51","0.72","0.69","0.34","0.34","0","0","0.79","1.92","2.61","2.47","5.04","1.82","26.16","22.46","1.85"
"162","Andy McDonald","STL","L","25","463.13333333333","18.525333333333","1.3","1.55","0.65","0.91","2.85","78.57","8.29","15.63","13.99","11.01","8.68","4.53","0.39","0.78","0.26","0.13","0.13","0","0","0.91","1.55","1.43","0.39","4.15","0.65","8.55","6.48","7.37"
