"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"320","Andrew Desjardins","CHI, S.J","L","69","741","10.739130434783","0.4","0.4","0","0.4","0.81","58.82","4.78","8.47","8.18","5.75","4.29","2.02","0.16","0.16","4.62","1.46","0.89","0.57","0","0.89","1.46","1.13","10.36","7.29","2.83","12.79","12.47","4.10"
"338","Leo Komarov","TOR","C","62","911.38333333333","14.699731182796","0.53","1.19","0.79","0.4","1.71","76.47","5.53","9.52","9.09","7.18","4.61","1.91","0.59","0.2","1.19","0.59","0.59","0","0","0.79","1.19","3.36","16.46","3.49","1.65","6.25","6.39","3.26"
"353","Viktor Stalberg","NSH","L","25","297.11666666667","11.884666666667","0.4","1.62","1.21","0.4","2.02","71.43","5.45","7.41","10.3","7.88","4.64","2.22","0","0.2","3.63","1.82","1.82","0","0","1.41","1.01","1.41","10.9","5.65","2.02","0.2","0","20.19"
"492","Michal Jordan","CAR","D","38","605.91666666667","15.945175438596","0.2","0.4","0","0.4","0.59","30.00","4.36","4.55","8.42","5.15","1.98","0.69","0","0.4","0.4","0.2","0.2","0","0","0.89","1.88","0.79","3.47","8.02","6.04","0","0","-"
"688","Ryan Garbutt","DAL","C","67","908.91666666667","13.56592039801","0.53","1.12","0.73","0.4","1.65","67.57","9.44","5.59","17.43","14.13","8.58","3.5","0.59","1.19","3.63","1.72","1.65","0.07","0","1.25","1.39","1.78","5.41","6.34","3.17","1.06","0.59","4.22"
"856","Alexander Wennberg","CBJ","C","68","1062.4666666667","15.624509803922","0.23","0.9","0.51","0.4","1.13","54.05","4.8","4.71","8.13","6.04","5.25","2.6","0.11","0.56","1.24","0.56","0.56","0","0","1.07","0.62","1.41","3.28","3.84","2.54","16.26","21.8","2.41"
"25","Daniel Cleary","DET","R","17","155.26666666667","9.1333333333333","0.39","0.39","0","0.39","0.77","100.00","6.57","5.88","10.82","8.5","4.64","1.16","0","0.39","2.32","1.16","1.16","0","0","0.39","0.39","0.77","8.12","10.05","3.48","0.77","0.77","19.32"
"106","Mike Cammalleri","N.J","C, L","68","1246.5166666667","18.33112745098","1.3","0.72","0.34","0.39","2.02","67.74","7.56","17.20","12.47","9.82","7.36","2.65","0.39","0.43","1.35","0.67","0.67","0","0","0.43","1.59","1.4","1.44","1.97","0.82","5.73","7.85","2.03"
"157","Chris Higgins","VAN","L","77","1215.9166666667","15.791125541126","0.59","1.18","0.79","0.39","1.78","67.92","8.44","7.02","13.96","11.5","8.78","3.9","0.49","0.89","0.79","0.39","0.39","0","0","0.79","0.94","1.38","3.6","2.62","1.68","0.15","0.3","1.64"
"205","John Mitchell","COL","C","68","1078.25","15.856617647059","0.61","0.83","0.45","0.39","1.45","60.47","5.84","10.48","11.3","8.01","6.07","2.06","0.22","0.56","1.78","0.89","0.89","0","0","0.89","1","2.11","7.96","3.84","3.12","20.81","20.09","2.83"
