"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"379","Anton Rodin","VAN","R","3","26.733333333333","8.9111111111111","0","2.24","0","2.24","2.24","100.00","4.49","0.00","11.22","6.73","4.49","0","0","2.24","0","0","0","0","0","0","2.24","4.49","0","4.49","2.24","0","0","-"
"813","Matt Lorito","DET","L","2","28.866666666667","14.433333333333","0","2.08","0","2.08","2.08","50.00","12.47","0.00","16.63","14.55","12.47","4.16","0","0","0","0","0","0","0","0","0","2.08","0","4.16","0","0","0","-"
"593","Barclay Goodrow","S.J","R","3","33.916666666667","11.305555555556","0","1.77","0","1.77","1.77","inf","5.31","0.00","10.61","7.08","7.08","0","0","0","0","0","0","0","0","1.77","1.77","1.77","5.31","5.31","1.77","0","0","-"
"847","Gabriel Carlsson","CBJ","D","2","34.25","17.125","0","1.75","0","1.75","1.75","50.00","5.26","0.00","10.51","7.01","0","0","0","0","0","0","0","0","0","0","0","0","8.76","5.26","3.5","0","0","-"
"653","Charles Hudon","MTL","L","3","35.783333333333","11.927777777778","0","3.35","1.68","1.68","3.35","100.00","5.03","0.00","5.03","5.03","1.68","1.68","0","0","3.35","1.68","1.68","0","0","0","3.35","5.03","18.44","5.03","0","0","0","-"
"873","Clayton Keller","ARI","C","3","38","12.666666666667","0","3.16","1.58","1.58","3.16","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","1.58","0","4.74","0","0","0","-"
"308","Zac Dalpe","MIN","C","9","77","8.5555555555556","0.78","1.56","0","1.56","2.34","60.00","6.23","12.50","10.91","8.57","5.45","2.34","0.78","1.56","7.01","2.34","1.56","0.78","0","2.34","0","2.34","3.9","3.12","3.9","21.04","24.94","35.66"
"746","Mirco Mueller","S.J","D","4","38.366666666667","9.5916666666667","1.56","1.56","0","1.56","3.13","66.67","4.69","33.33","10.95","4.69","0","0","1.56","0","0","0","0","0","0","4.69","3.13","3.13","3.13","3.13","4.69","0","0","-"
"711","Ian McCoshen","FLA","D","3","39.766666666667","13.255555555556","0","1.51","0","1.51","1.51","100.00","0","-","1.51","0","0","0","0","0","0","0","0","0","0","0","0","0","4.53","4.53","3.02","0","0","-"
"667","Christoph Bertschy","MIN","C","5","40.666666666667","8.1333333333333","0","1.48","0","1.48","1.48","100.00","7.38","0.00","7.38","7.38","5.9","2.95","0","1.48","5.9","2.95","2.95","0","0","0","0","0","10.33","8.85","4.43","0","0","-"
"804","Lucas Wallmark","CAR","C","8","86.933333333333","10.866666666667","0","1.38","0","1.38","1.38","66.67","7.59","0.00","13.11","9.66","8.28","4.83","0","2.07","1.38","0.69","0.69","0","0","0","0.69","2.07","9.66","2.76","2.07","21.4","18.63","36.89"
