"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"836","Jack Roslovic","WPG","C","1","8.4","8.4","50","92.86","35.00","42.86","71.43","37.50","35.71","64.29","35.71","0","7.14","0.00","7.14","78.57","8.33","7.14","21.43","25.00","0","7.14","0.00","0","76.19","0.00","0","0","-","51.59","20.63","71.43","0","0","-","0.00","88.89","0.889","7.14","14.29","0","78.57","100.00","28.57","21.43","0","100.00"
"839","Thomas Chabot","OTT","D","1","7.15","7.15","75.52","92.31","45.00","67.13","83.92","44.44","41.96","67.13","38.46","0","16.78","0.00","16.78","58.74","22.22","16.78","16.78","50.00","0","0","-","0","55.94","0.00","0","22.38","0.00","72.73","48.48","60.00","0","0","-","0.00","75.00","0.750","8.39","41.96","8.39","50.35","50.00","16.78","41.96","16.78","50.00"
"236","Trevor Smith","NSH","C","1","7.3333333333333","7.3333333333333","0","90","0.00","0","49.09","0.00","0","40.91","0.00","0","0","-","0","40.91","0.00","0","16.36","0.00","0","0","-","0","32.73","0.00","0","0","-","0","47.27","0.00","0","0","-","-","100.00","1.00","24.55","24.55","16.36","32.73","60.00","32.73","32.73","24.55","57.14"
"595","Bobby Farnham","MTL","R","3","24.816666666667","8.2722222222222","41.1","87.04","32.08","33.85","60.44","35.90","26.6","50.77","34.38","0","0","-","26.6","41.1","39.29","12.09","12.09","50.00","0","0","-","19.34","38.68","33.33","0","0","-","17.46","55.88","23.81","0","0","-","0.00","100.00","1.000","14.51","14.51","0","74.95","100.00","14.51","24.18","4.84","75.00"
"613","Nicolas Kerdiles","ANA","L","1","11.133333333333","11.133333333333","48.5","86.23","36.00","43.11","53.89","44.44","26.95","37.72","41.67","10.78","5.39","66.67","37.72","48.5","43.75","26.95","26.95","50.00","10.78","0","100.00","14.37","28.74","33.33","0","7.19","0.00","15.57","46.71","25.00","0","0","-","40.00","85.71","1.257","10.78","5.39","16.17","59.28","40.00","16.17","16.17","26.95","37.50"
"835","Mathew Barzal","NYI","C","2","19.5","9.75","36.92","86.15","30.00","33.85","55.38","37.93","24.62","43.08","36.36","0","6.15","0.00","12.31","43.08","22.22","6.15","21.54","22.22","0","6.15","0.00","8.21","28.72","22.22","0","0","-","26.67","44.44","37.50","0","0","-","0.00","85.71","0.857","18.46","9.23","0","70.77","100.00","21.54","15.38","9.23","70.00"
"887","C.J. Smith","BUF","L","2","23.066666666667","11.533333333333","59.83","85.84","41.07","49.42","67.63","42.22","31.21","49.42","38.71","5.2","7.8","40.00","13.01","15.61","45.45","2.6","5.2","33.33","2.6","2.6","50.00","13.87","13.87","50.00","3.47","0","100.00","45.09","71.39","38.71","0","7.51","0.00","16.67","84.21","1.009","7.8","15.61","2.6","52.02","75.00","13.01","28.61","18.21","41.67"
"646","Cristoval Nieves","NYR","C","1","11.733333333333","11.733333333333","40.91","81.82","33.33","25.57","56.25","31.25","20.45","46.02","30.77","5.11","5.11","50.00","15.34","40.91","27.27","0","25.57","0.00","0","0","-","20.45","20.45","50.00","0","0","-","29.55","36.93","44.44","7.39","7.39","50.00","25.00","88.89","1.139","10.23","20.45","5.11","51.14","66.67","15.34","40.91","10.23","60.00"
"863","Andrew Poturalski","CAR","C","2","24.533333333333","12.266666666667","41.58","80.71","34.00","31.79","66.03","32.50","17.12","44.02","28.00","0","7.34","0.00","17.12","44.02","28.00","0","29.35","0.00","0","4.89","0.00","22.83","19.57","53.85","0","3.26","0.00","35.33","49.46","41.67","0","0","-","0.00","83.33","0.833","14.67","14.67","4.89","48.91","75.00","17.12","22.01","19.57","46.67"
"193","Bracken Kearns","NYI","C","2","22.383333333333","11.191666666667","26.81","80.42","25.00","26.81","53.61","33.33","21.44","40.21","34.78","0","2.68","0.00","8.04","34.85","18.75","5.36","13.4","28.57","0","2.68","0.00","3.57","28.59","11.11","0","0","-","27.1","46.46","36.84","0","0","-","0.00","93.33","0.933","8.04","16.08","5.36","53.61","60.00","13.4","21.44","13.4","50.00"
