"","Player","Team","Position","GP","TOI","TOI/GP","CF/60","CA/60","CF%","FF/60","FA/60","FF%","SF/60","SA/60","SF%","GF/60","GA/60","GF%","SCF/60","SCA/60","SCF%","HDCF/60","HDCA/60","HDCF%","HDGF/60","HDGA/60","HDGF%","MDCF/60","MDCA/60","MDCF%","MDGF/60","MDGA/60","MDGF%","LDCF/60","LDCA/60","LDCF%","LDGF/60","LDGA/60","LDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts/60","Neu. Zone Starts/60","Def. Zone Starts/60","On The Fly Starts/60","Off. Zone Start %","Off. Zone Faceoffs/60","Neu. Zone Faceoffs/60","Def. Zone Faceoffs/60","Off. Zone Faceoff %"
"630","Michael Paliotta","CBJ","D","1","7.5333333333333","7.5333333333333","47.79","127.43","27.27","39.82","111.5","26.32","31.86","55.75","36.36","7.96","7.96","50.00","23.89","87.61","21.43","15.93","63.72","20.00","7.96","7.96","50.00","10.62","31.86","25.00","0","0","-","34.51","57.52","37.50","0","0","-","25.00","85.71","1.107","23.89","15.93","0","55.75","100.00","47.79","15.93","0","100.00"
"287","John McCarthy","S.J","C","1","7.0833333333333","7.0833333333333","0","118.59","0.00","0","67.76","0.00","0","42.35","0.00","0","0","-","0","33.88","0.00","0","16.94","0.00","0","0","-","0","22.59","0.00","0","0","-","0","85.65","0.00","0","0","-","-","100.00","1.00","8.47","8.47","8.47","76.24","50.00","16.94","8.47","16.94","50.00"
"763","Christoph Bertschy","MIN","C","3","20.833333333333","6.9444444444444","28.8","106.56","21.28","25.92","72","26.47","17.28","34.56","33.33","0","0","-","5.76","34.56","14.29","0","17.28","0.00","0","0","-","7.68","23.04","25.00","0","0","-","29.12","91.52","24.14","0","0","-","0.00","100.00","1.000","8.64","11.52","8.64","63.36","50.00","8.64","17.28","11.52","42.86"
"878","Mikko Rantanen","COL","R","9","80.616666666667","8.9574074074074","52.84","85.59","38.17","39.45","60.29","39.55","28.28","35.72","44.19","0","5.21","0.00","24.56","39.45","38.37","12.65","17.86","41.46","0","2.98","0.00","15.88","28.78","35.56","0","0.99","0.00","27.95","53.75","34.21","0","2.15","0.00","0.00","85.42","0.854","7.44","18.61","11.16","47.63","40.00","15.63","24.56","17.12","47.73"
"613","Josh Archibald","PIT","R","1","5.0333333333333","5.0333333333333","11.92","83.44","12.50","0","59.6","0.00","0","59.6","0.00","0","0","-","11.92","0","100.00","0","0","-","0","0","-","15.89","0","100.00","0","0","-","0","86.09","0.00","0","0","-","-","100.00","1.00","11.92","23.84","11.92","47.68","50.00","11.92","23.84","11.92","50.00"
"867","Brett Lernout","MTL","D","1","6.5","6.5","36.92","83.08","30.77","36.92","64.62","36.36","36.92","46.15","44.44","0","0","-","18.46","27.69","40.00","9.23","9.23","50.00","0","0","-","12.31","24.62","33.33","0","0","-","26.67","80","25.00","0","0","-","0.00","100.00","1.000","9.23","9.23","9.23","46.15","50.00","9.23","9.23","18.46","33.33"
"797","Ryan Hartman","CHI","L","3","27.716666666667","9.2388888888889","67.11","80.1","45.59","51.95","56.28","48.00","38.97","47.62","45.00","2.16","4.33","33.33","34.64","45.46","43.24","10.82","15.15","41.67","0","0","-","31.75","40.41","44.00","2.89","2.89","50.00","46.9","37.52","55.56","0","3.13","0.00","5.56","90.91","0.965","21.65","19.48","2.16","49.79","90.91","36.8","25.98","10.82","77.27"
"844","Borna Rendulic","COL","R","3","22.583333333333","7.5277777777778","29.23","79.7","26.83","26.57","58.45","31.25","10.63","37.2","22.22","0","5.31","0.00","15.94","47.82","25.00","5.31","21.25","20.00","0","5.31","0.00","14.17","35.42","28.57","0","0","-","15.35","34.54","30.77","0","0","-","0.00","85.71","0.857","10.63","26.57","7.97","39.85","57.14","15.94","31.88","15.94","50.00"
"593","Ben Street","COL","C","7","51.416666666667","7.3452380952381","54.85","79.35","40.87","42.01","53.68","43.90","33.84","38.51","46.77","2.33","3.5","40.00","21","30.34","40.91","8.17","9.34","46.67","2.33","2.33","50.00","17.12","28.01","37.93","0","1.56","0.00","33.71","53.94","38.46","0","0","-","6.90","90.91","0.978","5.83","24.51","10.5","60.68","35.71","10.5","26.84","22.17","32.14"
"70","Tim Jackman","ANA","R","2","11.466666666667","5.7333333333333","62.79","78.49","44.44","47.09","52.33","47.37","41.86","36.63","53.33","0","10.47","0.00","26.16","47.09","35.71","15.7","20.93","42.86","0","5.23","0.00","13.95","34.88","28.57","0","6.98","0.00","30.23","37.79","44.44","0","0","-","0.00","71.43","0.714","0","15.7","10.47","68.02","0.00","5.23","15.7","52.33","9.09"
"246","Joe Vitale","ARI","C","1","6.2166666666667","6.2166666666667","77.21","77.21","50.00","48.26","48.26","50.00","19.3","38.61","33.33","9.65","0","100.00","38.61","28.95","57.14","28.95","0","100.00","9.65","0","100.00","12.87","38.61","25.00","0","0","-","55.76","55.76","50.00","0","0","-","50.00","100.00","1.500","19.3","0","9.65","67.56","66.67","28.95","19.3","9.65","75.00"
"898","Brandon Tanev","WPG","L","3","36.133333333333","12.044444444444","48.15","76.38","38.67","28.23","56.46","33.33","18.27","31.55","36.67","0","3.32","0.00","29.89","36.53","45.00","11.62","11.62","50.00","0","0","-","24.35","33.21","42.31","0","0","-","14.39","45.57","24.00","0","4.8","0.00","0.00","89.47","0.895","9.96","16.61","21.59","44.83","31.58","23.25","18.27","33.21","41.18"
"155","Drew Miller","DET","L","28","363.23333333333","12.972619047619","31.22","76.15","29.08","25.6","57.98","30.63","18.67","39.97","31.83","0.99","3.14","24.00","13.55","30.72","30.60","5.12","12.72","28.70","0.17","1.32","11.11","11.23","24.01","31.88","0.44","1.54","22.22","21.24","59.65","26.25","0.48","0.95","33.33","5.31","92.15","0.975","5.95","14.21","19.49","47.41","23.38","7.43","19.33","30.72","19.48"
"510","Ryan Stanton","WSH","D","1","8.6833333333333","8.6833333333333","55.28","76.01","42.11","34.55","62.19","35.71","34.55","55.28","38.46","6.91","13.82","33.33","27.64","48.37","36.36","20.73","34.55","37.50","0","13.82","0.00","9.21","18.43","33.33","9.21","0","100.00","39.92","39.92","50.00","0","0","-","20.00","75.00","0.950","13.82","34.55","6.91","76.01","66.67","13.82","48.37","6.91","66.67"
"882","Markus Hannikainen","CBJ","L","4","28.583333333333","7.1458333333333","33.59","75.57","30.77","31.49","60.87","34.09","23.09","41.98","35.48","0","4.2","0.00","12.59","33.59","27.27","8.4","12.59","40.00","0","2.1","0.00","5.6","27.99","16.67","0","2.8","0.00","30.32","57.61","34.48","0","0","-","0.00","90.00","0.900","4.2","12.59","6.3","77.67","40.00","12.59","14.69","18.89","40.00"
"109","Daniel Paille","NYR","L","12","136.9","11.408333333333","32.43","75.38","30.08","24.54","54.35","31.11","19.28","39.88","32.59","0.88","3.51","20.00","15.34","38.57","28.46","6.57","18.85","25.86","0.44","2.63","14.29","11.69","26.3","30.77","0.58","0.58","50.00","20.89","48.75","30.00","0","0.63","0.00","4.55","91.21","0.958","3.51","12.71","15.78","58.73","18.18","6.14","17.53","24.54","20.00"
"842","Dennis Everberg","COL","R","15","134.15","8.9433333333333","36.23","75.14","32.53","30.86","54.57","36.13","24.15","42.04","36.49","0.89","4.03","18.18","16.55","26.39","38.54","8.5","9.39","47.50","0.45","1.79","20.00","10.73","22.66","32.14","0","0.6","0.00","23.9","58.79","28.91","0.65","2.58","20.00","3.70","90.43","0.941","4.92","19.68","15.65","53.67","23.91","9.39","24.15","27.73","25.30"
