"","Player","Team","Position","GP","TOI","TOI/GP","Goals/60","Total Assists/60","First Assists/60","Second Assists/60","Total Points/60","IPP","Shots/60","SH%","iCF/60","iFF/60","iSCF/60","iHDCF/60","Rush Attempts/60","Rebounds Created/60","PIM/60","Total Penalties/60","Minor/60","Major/60","Misconduct/60","Penalties Drawn/60","Giveaways/60","Takeaways/60","Hits/60","Hits Taken/60","Shots Blocked/60","Faceoffs Won/60","Faceoffs Lost/60","Faceoffs %"
"690","Turner Elson","CGY","C","1","14.9","14.9","0","4.03","0","4.03","4.03","100.00","0","-","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8.05","4.03","0","0","0","-"
"874","Pavel Zacha","N.J","C","1","16.85","16.85","0","7.12","3.56","3.56","7.12","50.00","10.68","0.00","14.24","14.24","14.24","3.56","0","0","0","0","0","0","0","0","0","7.12","3.56","0","0","10.68","21.36","118.69"
"766","Viktor Loov","TOR","D","4","41.833333333333","10.458333333333","0","2.87","0","2.87","2.87","50.00","1.43","0.00","10.04","7.17","1.43","0","0","0","0","0","0","0","0","0","0","0","11.47","5.74","1.43","0","0","-"
"280","Tom Sestito","PIT","L","4","23.183333333333","5.7958333333333","0","2.59","0","2.59","2.59","100.00","2.59","0.00","2.59","2.59","2.59","2.59","0","0","49.17","10.35","5.18","2.59","2.59","7.76","2.59","0","33.64","5.18","2.59","0","0","-"
"882","Evan Rodrigues","BUF","L","2","23.5","11.75","2.55","2.55","0","2.55","5.11","100.00","20.43","12.50","30.64","25.53","15.32","2.55","0","0","0","0","0","0","0","0","0","0","7.66","2.55","0","0","0","-"
"770","Buddy Robinson","OTT","R","3","25.8","8.6","2.33","2.33","0","2.33","4.65","66.67","11.63","20.00","16.28","11.63","9.3","4.65","0","0","9.3","4.65","4.65","0","0","0","2.33","0","25.58","4.65","2.33","0","2.33","0.00"
"751","Charles Hudon","MTL","L","3","32.083333333333","10.694444444444","0","3.74","1.87","1.87","3.74","100.00","5.61","0.00","13.09","13.09","7.48","1.87","1.87","1.87","0","0","0","0","0","0","0","3.74","13.09","5.61","1.87","0","1.87","0.00"
"896","Casey Nelson","BUF","D","7","103.75","14.821428571429","0","2.31","0.58","1.73","2.31","50.00","2.89","0.00","8.1","4.05","0.58","0","0","0","4.63","2.31","2.31","0","0","0","1.16","0.58","2.89","5.78","2.31","0","0","-"
"507","Andrew Agozzino","COL","L","9","77.05","8.5611111111111","0","1.56","0","1.56","1.56","100.00","2.34","0.00","8.57","3.89","3.11","2.34","0.78","0","0","0","0","0","0","0.78","0.78","0","6.23","3.89","3.11","18.69","16.35","41.53"
"689","Seth Griffith","BOS","C","4","39.866666666667","9.9666666666667","0","1.51","0","1.51","1.51","50.00","3.01","0.00","6.02","4.52","0","0","0","0","6.02","3.01","3.01","0","0","0","1.51","0","6.02","4.52","0","0","0","-"
"759","Josh Anderson","CBJ","R","12","128.38333333333","10.698611111111","0.47","1.4","0","1.4","1.87","80.00","5.14","9.09","10.28","7.48","6.08","3.74","0.47","0.47","0.93","0.47","0.47","0","0","0.47","0.47","1.87","18.69","5.61","1.87","0","0","-"
"389","Aaron Ness","WSH","D","8","99.1","12.3875","0","1.21","0","1.21","1.21","33.33","4.84","0.00","10.9","7.87","1.82","0","0","0","1.21","0.61","0.61","0","0","0.61","1.21","0","2.42","5.45","4.24","0","0","-"
"12","Joe Thornton","S.J","C","82","1505.7166666667","18.362398373984","0.76","2.51","1.35","1.16","3.27","66.67","4.82","15.70","8.41","6.77","4.34","1.91","0.2","0.4","2.15","0.92","0.88","0","0.04","0.76","3.91","2.75","1.91","2.51","1.2","15.9","14.11","2.11"
"764","Connor Brown","TOR","R","7","104.8","14.971428571429","0.57","2.86","1.72","1.15","3.44","66.67","6.3","9.09","11.45","8.02","4.01","1.72","0.57","0.57","0","0","0","0","0","1.15","0","2.29","0.57","5.73","1.15","0","0","-"
"832","Joel Hanley","MTL","D","10","159.98333333333","15.998333333333","0","2.25","1.13","1.13","2.25","75.00","3.75","0.00","6.38","5.63","0","0","0.38","0","0","0","0","0","0","0.75","1.5","0.75","2.25","6","7.13","0","0","-"
