Name;Prospect;Team;type;value
RUDOLFSBALCERS;Rudolfs Balcers;SJS;o;50.5
DOMINIKBOKK;Dominik Bokk;STL;o;50.4
DENISGURIANOV;Denis Gurianov;DAL;o;50.1
MAXIMMAMIN;Maxim Mamin;FLA;o;50.1
KOLELIND;Kole Lind;VAN;o;50.1
JOSHNORRIS;Josh Norris;SJS;o;50.0
MAXIMLETUNOV;Maxim Letunov;SJS;o;50.0
JAYCEHAWRYLUK;Jayce Hawryluk;FLA;o;49.9
DOMINIKKAHUN;Dominik Kahun;CHI;os;49.8
TYLERSTEENBERGEN;Tyler Steenbergen;ARI;o;49.4
SPENCERFOO;Spencer Foo;CGY;o;49.4
TYLERMOTTE;Tyler Motte;VAN;os;49.2
RILEYBARBER;Riley Barber;WAS;t;49.0
ROOPEHINTZ;Roope Hintz;DAL;o;49.0
COOPERMARODY;Cooper Marody;EDM;o;48.9
KEVINSTENLUND;Kevin Stenlund;CBJ;p;48.9
JANNEKUOKKANEN;Janne Kuokkanen;CAR;o;48.9
ALEXFORMENTON;Alex Formenton;OTT;o;48.7
REMIELIE;Remi Elie;DAL;p;48.6
TRENTFREDERIC;Trent Frederic;BOS;p;48.5
ISACLUNDESTROM;Isac Lundestrom;ANA;o;48.4
SHANEBOWERS;Shane Bowers;COL;t;48.4
JAKEEVANS;Jake Evans;MON;o;48.4
ADAMMASCHERIN;Adam Mascherin;DAL;os;48.3
SASHACHMELEVSKI;Sasha Chmelevski;SJS;o;48.3
RYANMCLEOD;Ryan McLeod;EDM;o;48.3
TYRATTIE;Ty Rattie;EDM;o;47.7
MASONAPPLETON;Mason Appleton;WPG;o;47.5
SHANEGERSICH;Shane Gersich;WAS;o;47.5
JEREMYBRACCO;Jeremy Bracco;TOR;o;47.3
NIKITAGUSEV;Nikita Gusev;VGK;os;47.2
MIKEAMADIO;Mike Amadio;LAK;o;47.1
DAVIDPOPE;David Pope;DET;o;46.7
MATHIEUJOSEPH;Mathieu Joseph;TBL;t;46.5
FILIPCHLAPIK;Filip Chlapik;OTT;o;46.5
MIKEVECCHIONE;Mike Vecchione;PHI;os;46.4
SAMUELBLAIS;Samuel Blais;STL;o;46.4
AJGREER;AJ Greer;COL;p;46.4
JUSTINBAILEY;Justin Bailey;BUF;o;46.4
MITCHELLSTEPHENS;Mitchell Stephens;TBL;t;46.4
TRAVISBOYD;Travis Boyd;WAS;o;46.2
ALEXANDRETEXIER;Alexandre Texier;CBJ;o;46.2
ERIKFOLEY;Erik Foley;STL;o;46.0
KERBYRYCHEL;Kerby Rychel;MON;p;45.9
MATTHEWHIGHMORE;Matthew Highmore;CHI;o;45.9
ADAMBROOKS;Adam Brooks;TOR;o;45.9
HENRIKHAAPALA;Henrik Haapala;FLA;o;45.8
DILLONDUBE;Dillon Dube;CGY;o;45.8
WADEALLISON;Wade Allison;PHI;o;45.8
DMYTROTIMASHOV;Dmytro Timashov;TOR;o;45.6
RILEYTUFTE;Riley Tufte;DAL;p;45.5
SERGEISHUMAKOV;Sergei Shumakov;WAS;o;45.4
LUKASJASEK;Lukas Jasek;VAN;t;45.4
JONATANBERGGREN;Jonatan Berggren;DET;o;45.4
MICHAELLINDQVIST;Michael Lindqvist;NYR;o;45.3
NIKITASOSHNIKOV;Nikita Soshnikov;STL;o;45.2
ALEXANDERVOLKOV;Alexander Volkov;TBL;o;45.0
MAXIMECOMTOIS;Maxime Comtois;ANA;p;45.0
VICTOREJDSELL;Victor Ejdsell;CHI;p;44.9
MIKHAILVOROBYOV;Mikhail Vorobyov;PHI;o;44.8
KALLEKOSSILA;Kalle Kossila;ANA;o;44.7
VILLEMESKANEN;Ville Meskanen;NYR;o;44.6
AXELHOLMSTROM;Axel Holmstrom;DET;o;44.5
BRENDANLEMIEUX;Brendan Lemieux;WPG;p;44.5
CJSMITH;C.J. Smith;BUF;o;44.4
TANNERLACZYNSKI;Tanner Laczynski;PHI;o;44.4
ROURKECHARTIER;Rourke Chartier;SJS;o;44.1
OSKARSUNDQVIST;Oskar Sundqvist;STL;t;44.1
TAYLORLEIER;Taylor Leier;PHI;o;44.1
TYLERLEWIS;Tyler Lewis;COL;o;44.0
REMPITLICK;Rem Pitlick;NSH;p;44.0
JONNYBRODZINSKI;Jonny Brodzinski;LAK;o;43.9
DMITRYSOKOLOV;Dmitry Sokolov;MIN;o;43.7
FRANCISPERRON;Francis Perron;OTT;o;43.7
NICHOLASBAPTISTE;Nicholas Baptiste;BUF;o;43.4
TYLERBENSON;Tyler Benson;EDM;o;43.4
CALVINTHURKAUF;Calvin Thurkauf;CBJ;p;43.4
JOEYANDERSON;Joey Anderson;NJD;o;43.3
ZACHSANFORD;Zach Sanford;STL;o;43.1
AKILTHOMAS;Akil Thomas;LAK;o;43.1
MICHAELDALCOLLE;Michael Dal Colle;NYI;o;43.1
MARCUSDAVIDSSON;Marcus Davidsson;BUF;t;43.0
STELIOMATTHEOS;Stelio Mattheos;CAR;o;43.0
JAYOBRIEN;Jay O'Brien;PHI;t;43.0
JOSEPHBLANDISI;Joseph Blandisi;ANA;o;42.9
TOMASHYKA;Tomas Hyka;VGK;o;42.9
PETERCEHLARIK;Peter Cehlarik;BOS;o;42.7
LAURENTDAUPHIN;Laurent Dauphin;ARI;o;42.7
MICHAELSPACEK;Michael Spacek;WPG;o;42.7
MARTINSDZIERKALS;Martins Dzierkals;TOR;o;42.6
ALEXANDERKHOKHLACHEV;Alexander Khokhlachev;BOS;o;42.6
JONAHGADJOVICH;Jonah Gadjovich;VAN;p;42.5
JACKDRURY;Jack Drury;CAR;t;42.5
ANTOINEMORAND;Antoine Morand;ANA;o;42.5
NOLANSTEVENS;Nolan Stevens;STL;o;42.4
ALEXBARREBOULET;Alex Barre-Boulet;TBL;os;42.2
