,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHL,ESPN,DURABILITE,NHL,ESPN,PRODUCTION,,,,,,CONST/EVOL,,,,,,,GP,PTS,"PTS
/GP","$
/PTS",,,,TOT
,Stalock Alex,MIN,2,30,,2,24,22,13,2,,0,12,8,3,1,,1,2,2,2,0,,0,2,2,0,0,,,28,20,8,2,,,,16,,16 ,,,1.17,0.91,0.62,1.00,"7,927","40,625",,"650,000",19,,1,0.2,6,6,1,3,,17.2
,Kuemper Darcy,LAK,2,27,,6,26,31,21,18,,1,12,14,6,8,,0,4,2,5,3,,0,2,3,2,0,0,2,30,33,19,19,,,,14,,14 ,,0.33,1.15,1.06,0.90,1.06,"7,510","46,429",,"650,000",18,,1,1.9,6,6,3,2,,19.9
,Bachman Richard,VAN,,30,,,,6,1,5,,,,3,1,2,,,,0,0,0,,,,1,0,0,,,,7,2,4,,,,,,0 ,,,,1.17,2.00,0.80,"9,909",#DIV/0!,,"650,000",18,,1,0.4,4,6,2,2,,15.4
,Leighton Michael,TBL,,35,,,,,1,4,,,,,0,2,,,,,0,0,,,,,0,0,,,,,0,4,,,,,,0 ,,,,,0.00,1.00,"7,927",#DIV/0!,,"650,000",18,,1,0.4,6,6,2,2,-4,13.4
,Copley Pheonix,WSH,,25,,,,,1,1,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,,0 ,,,,,0.00,0.00,,#DIV/0!,,"650,000",19,,1,0.0,2,0,2,2,,7.0
,Grosenick Troy,SJS,,28,,,,2,,,,,,1,,,,,,0,,,,,,1,,,,,,3,,,,,,,,0 ,,,,1.50,,,,#DIV/0!,,"650,000",19,,1,0.0,2,0,2,2,,7.0
,Gudlevskis Kristers,NYI,,24,,,,,1,1,,,,,0,0,,,,,1,0,,,,,0,0,,,,,1,0,,,,,,0 ,,,,,1.00,0.00,,#DIV/0!,,"650,000",18,,1,0.0,2,0,2,2,,7.0
,Mazanec Marek,NSH,,26,,,,2,,4,,,,0,,0,,,,0,,0,,,,0,,0,,,,0,,0,,,,,,0 ,,,,,,0.00,,#DIV/0!,,"650,000",18,,1,0.0,2,0,2,2,,7.0
,McKenna Mike,DAL,,34,,,,1,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,,0 ,,,,,,,,#DIV/0!,,"650,000",18,,1,0.0,2,0,2,2,,7.0
,O'Connor Matt,NSH,,24,,,,,1,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0 ,,,,,0.00,,,#DIV/0!,,"650,000",18,,1,0.0,2,0,2,2,,7.0
x,Subban Malcolm,BOS,,24,,,,1,,1,,,,0,,0,,,1,0,,0,,,3,0,,0,,,,0,,0,,,,,,0 ,,,,,,0.00,,#DIV/0!,,"650,000",18,,1,0.0,2,0,2,2,,7.0
,Wedgewood Scott,NJD,,24,,,,,4,,,,,,2,,,,,,1,,,,,,1,,,,,,6,,,,,,,0 ,,,,,1.50,,,#DIV/0!,,"650,000",18,,1,0.0,2,0,2,2,,7.0
,Lindback Anders,NSH,,29,16,24,23,26,19,,5,10,8,6,5,,0,1,2,2,1,,0,0,1,0,0,,10,21,19,14,11,,,,,,,0 ,0.63,0.88,0.83,0.54,0.58,,,#DIV/0!,,"650,000",18,,1,0.0,2,0,1,1,,5.0
,Kasdorf Jason,BUF,,24,,,,,1,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,,0 ,,,,,0.00,,,#DIV/0!,,"612,500",18,,1,0.0,2,0,2,2,,7.0
,McCollum Thomas,DET,,28,,,,2,,,,,,1,,,,,,0,,,,,,0,,,,,,2,,,,,,,,0 ,,,,1.00,,,,#DIV/0!,,"612,500",18,,1,0.0,2,0,2,2,,7.0
