,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NHL,ESPN,DURABILITE,NHL,ESPN,PRODUCTION,,,,,,CONST/EVOL,,,,,,,GP,PTS,"PTS
/GP","$
/PTS",,,,TOT
,Bernier Jonathan,COL,2,29,16,14,55,58,38,39,5,9,26,21,12,21,2,1,7,7,3,4,1,1,1,2,3,2,13,20,60,51,30,48,,,,18,,18 ,0.81,1.43,1.09,0.88,0.79,1.23,"27,248","152,778",,"2,750,000",18,,2,4.8,6,4.5,1,1,,19.3
,Neuvirth Michal,PHI,2,29,38,13,15,32,32,28,13,4,4,7,18,11,5,2,2,4,4,1,3,0,0,0,3,0,34,10,10,18,43,23,,,,24,,24 ,0.89,0.77,0.67,0.56,1.34,0.82,"37,116","104,167",,"2,500,000",19,,1,2.3,4,4.5,1,4,,16.8
,Johnson Chad,BUF,2,31,16,4,27,19,45,36,6,2,17,8,22,18,2,2,3,1,4,1,0,1,2,0,1,3,14,7,39,17,49,40,,,,22,,22 ,0.88,1.75,1.44,0.89,1.09,1.11,"27,439","113,636",,"2,500,000",18,,1,4.0,6,4.5,1,3,,19.5
,Condon Mike,OTT,2,26,,,,,55,41,,,,,21,19,,,,,6,6,,,,,1,5,,,,,49,49,,,,20,,20 ,,,,,0.89,1.20,"24,490","120,000",,"2,400,000",20,,1,4.9,6,6,2,4,,23.9
x,Gibson John,ANA,1,24,,,,23,40,52,,,,13,21,25,,,,0,4,9,,,,1,4,6,,,,27,50,65,,,,66,50,58 ,,,,1.17,1.25,1.25,"22,439","39,655",,"2,300,000",19,,1,6.5,6,6,4,3,,26.5
x,Hellebuyck Connor,WPG,1/2,23,,,,,26,56,,,,,13,26,,,,,1,4,,,,,2,4,,,,,29,60,,,,40,,40 ,,,,,1.12,1.07,"25,610","56,250",,"2,250,000",18,PTW,1,6.0,6,4.5,3,3,,23.5
,Miller Ryan,ANA,2,37,61,40,59,45,51,54,31,17,25,29,17,18,7,5,4,1,9,6,6,0,1,6,1,3,75,39,55,65,44,45,,,,26,,26 ,1.23,0.98,0.93,1.44,0.86,0.83,"29,268","76,923",,"2,000,000",19,,3,4.5,4,4.5,1,1,,18.0
,Nilsson Anders,VAN,1/2,26,,,,,29,26,,,,,10,10,,,,,2,4,,,,,0,1,,,,,22,25,,,,30,,30 ,,,,,0.76,0.96,"19,024","50,000",,"1,500,000",19,,1,2.5,4,6,2,3,,18.5
,Grubauer Philipp,WSH,2,26,,,,1,22,24,,,,1,8,13,,,,0,1,2,,,,0,0,3,,,,2,17,31,,,,20,27.4,24 ,,,,2.00,0.77,1.29,"14,162","62,500",,"1,500,000",18,,1,3.1,6,6,2,2,,20.1
,Hammond Andrew,OTT,,29,,,,24,24,6,,,,20,7,0,,,,2,4,0,,,,3,1,0,,,,45,19,0,,,,,,0 ,,,,1.88,0.79,0.00,,#DIV/0!,,"1,350,000",18,,1,0.0,2,0,2,2,,7.0
,Pavelec Ondrej,NYR,2,30,68,44,57,50,33,8,29,21,22,22,13,4,9,3,7,8,4,0,4,0,1,5,1,0,71,45,52,57,31,8,,,,20,,20 ,1.04,1.02,0.91,1.14,0.94,1.00,"15,854","65,000",,"1,300,000",18,,2,0.8,6,6,3,2,,19.8
,Kinkaid Keith,NJD,2,28,,,,19,23,26,,,,6,9,8,,,,4,1,3,,,,0,2,1,,,,16,21,20,,,,14,,14 ,,,,0.84,0.91,0.77,"19,817","89,286",,"1,250,000",19,,1,2.0,4,6,3,2,,18.0
,Khudobin Anton,BOS,2,31,1,14,36,34,9,16,1,9,19,8,3,7,0,1,1,6,0,1,0,1,1,1,1,0,2,20,40,23,7,15,,,,16,,16 ,,1.43,1.11,0.68,0.78,0.94,"15,610","75,000",,"1,200,000",18,,1,1.5,4,6,2,4,,18.5
