Scott Cullen's (@tsnscottcullen) 2018-2019 Fantasy Hockey Projections,,,,,,,,,,,,,sheet by @rhysalbrecht
Change these values to your league scoring ,,,,3.5,2.5,0,0,0,0,0,0,0.2,
PLAYER,TEAM,POS,GP,G,A,PTS,+/-,PPP,PIM,HITS,BLOCKS,SOG,FP
Mikael Granlund,Minnesota,RW,79,23,45,68,9,21,18,58,49,181,229.2
William Nylander,Toronto,RW,81,22,44,66,8,21,20,24,18,207,228.4
Jeff Skinner,Buffalo,LW,81,29,27,56,-9,12,36,33,24,290,227.0
Brayden Schenn,St. Louis,C,81,27,37,64,1,22,46,171,36,194,225.8
Eric Staal,Minnesota,C,81,28,33,61,7,17,38,50,43,223,225.1
James van Riemsdyk,Philadelphia,LW,80,32,25,57,2,19,28,62,22,248,224.1
Jonathan Huberdeau,Florida,LW,77,24,41,65,7,16,34,41,36,188,224.1
Sean Monahan,Calgary,C,77,29,33,62,1,19,22,35,22,200,224.0
Mikko Rantanen,Colorado,RW,78,25,41,66,-7,24,28,31,37,166,223.2
Ryan O'Reilly,St. Louis,C,76,22,42,64,-5,23,6,30,46,202,222.4
Ilya Kovalchuk,Los Angeles,LW,75,26,35,61,-8,23,30,23,15,219,222.3
Dylan Larkin,Detroit,C,81,22,38,60,-8,13,53,79,37,240,220.0
Brayden Point,Tampa Bay,C,78,27,33,60,11,14,20,36,48,205,218.0
Teuvo Teravainen,Carolina,RW,81,23,40,63,2,19,16,27,28,184,217.3
Evander Kane,San Jose,LW,73,27,26,53,-6,9,92,150,30,287,216.9
Max Pacioretty,Vegas,LW,73,27,29,56,-5,16,34,101,32,249,216.8
Elias Pettersson,Vancouver,C,78,25,34,59,5,13,22,30,30,220,216.5
Alexander Radulov,Dallas,RW,79,22,41,63,7,19,67,76,52,182,215.9
Ryan Getzlaf,Anaheim,C,69,15,53,68,16,18,47,100,66,144,213.8
Anders Lee,N.Y. Islanders,LW,81,34,21,55,-9,19,51,144,38,209,213.3
Pierre-Luc Dubois,Columbus,C,80,24,36,60,6,17,59,131,42,192,212.4
Jeff Carter,Los Angeles,C,72,27,27,54,9,12,16,75,31,251,212.2
Matt Duchene,Ottawa,C,79,27,31,58,-15,15,20,54,46,196,211.2
Mark Stone,Ottawa,RW,73,23,40,63,6,14,24,56,51,152,210.9
Jonathan Toews,Chicago,C,75,23,36,59,6,13,48,47,29,200,210.5
Mike Hoffman,Florida,LW,79,24,31,55,-6,20,34,32,29,245,210.5
Victor Hedman,Tampa Bay,D,78,15,47,62,17,26,50,109,121,195,209.0
Evgeni Dadonov,Florida,RW,77,26,32,58,3,9,16,59,32,185,208.0
Cam Atkinson,Columbus,RW,76,28,25,53,7,14,20,36,33,232,206.9
Nazem Kadri,Toronto,C,80,26,28,54,-5,17,63,115,32,229,206.8
Ryan Nugent-Hopkins,Edmonton,LW,72,26,30,56,11,11,24,48,41,197,205.4
Sean Couturier,Philadelphia,C,73,23,35,58,17,11,32,58,40,183,204.6
William Karlsson,Vegas,C,81,27,29,56,15,10,10,48,46,184,203.8
Alex DeBrincat,Chicago,RW,80,29,25,54,7,13,10,44,28,199,203.8
Logan Couture,San Jose,C,72,27,28,55,2,18,16,39,64,185,201.5
Jason Zucker,Minnesota,LW,78,27,26,53,13,11,36,84,45,209,201.3
Nico Hischier,New Jersey,C,80,23,32,55,6,11,28,62,43,198,200.1
John Klingberg,Dallas,D,80,10,51,61,11,21,30,43,101,186,199.7
